message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783685;2.078772;0.187187;-0.098361;3.127200;1.504564;
1;0.0520676;0.000000;0.783685;2.078772;0.187187;-0.098361;3.127200;1.504564;
2;0.112065;0.000000;0.783700;2.079140;0.186976;-0.098357;3.127200;1.504402;
3;0.172813;0.000000;0.783766;2.080608;0.185756;-0.098339;3.127199;1.504297;
4;0.232031;0.000000;0.783933;2.083262;0.183857;-0.098308;3.127197;1.503989;
5;0.292094;0.000000;0.784405;2.086722;0.181369;-0.098266;3.127195;1.503920;
6;0.352132;0.000000;0.785026;2.091012;0.178203;-0.098213;3.127193;1.503942;
7;0.413029;0.000000;0.785697;2.095629;0.174817;-0.096740;3.127192;1.505461;
8;0.472042;0.000000;0.786301;2.100092;0.171496;-0.096685;3.127189;1.505678;
9;0.53212;0.000000;0.786911;2.104484;0.168255;-0.096629;3.127186;1.505940;
10;0.592053;0.000000;0.787489;2.108889;0.165091;-0.096572;3.127184;1.506118;
11;0.651983;0.000000;0.788036;2.113215;0.161982;-0.096516;3.127182;1.506296;
12;0.711983;0.000000;0.788604;2.117503;0.158968;-0.096460;3.127179;1.506395;
13;0.772087;0.000000;0.789125;2.121762;0.155955;-0.096403;3.127177;1.506478;
14;0.833091;0.000000;0.789650;2.126026;0.152863;-0.096345;3.127174;1.506509;
15;0.892002;0.000000;0.790149;2.130132;0.149885;-0.096289;3.127172;1.506683;
16;0.952971;0.000000;0.790685;2.134218;0.146960;-0.096232;3.127170;1.506724;
17;1.01205;0.000000;0.791195;2.138275;0.144130;-0.096175;3.127167;1.506762;
18;1.07204;0.000000;0.791678;2.142311;0.141336;-0.096118;3.127165;1.506841;
19;1.13211;0.000000;0.792195;2.146233;0.138648;-0.096061;3.127163;1.506895;
20;1.19209;0.000000;0.792641;2.150106;0.136019;-0.096005;3.127161;1.507008;
21;1.25207;0.000000;0.793094;2.153876;0.133417;-0.097480;3.127168;1.505591;
22;1.31707;0.000000;0.793553;2.157743;0.130786;-0.097425;3.127166;1.505473;
23;1.37406;0.000000;0.794021;2.161374;0.128202;-0.097373;3.127163;1.505586;
24;1.43407;0.000000;0.794481;2.165049;0.125669;-0.095922;3.127165;1.506995;
25;1.49408;0.000000;0.794891;2.168669;0.123173;-0.095870;3.127163;1.507074;
26;1.55709;0.000000;0.795341;2.172246;0.120751;-0.095819;3.127161;1.507125;
27;1.61409;0.000000;0.795761;2.175782;0.118406;-0.095768;3.127159;1.507161;
28;1.67408;0.000000;0.796196;2.179125;0.116185;-0.095719;3.127157;1.507238;
29;1.73406;0.000000;0.796632;2.182429;0.114016;-0.095670;3.127155;1.507365;
30;1.79405;0.000000;0.797030;2.185717;0.111846;-0.095622;3.127154;1.507381;
31;1.85405;0.000000;0.797426;2.188923;0.109717;-0.095574;3.127152;1.507420;
32;1.91405;0.000000;0.797801;2.192144;0.107565;-0.097079;3.127158;1.505874;
33;1.97408;0.000000;0.798152;2.195210;0.105479;-0.098592;3.127164;1.504316;
34;2.03408;0.000000;0.798487;2.198135;0.103497;-0.098550;3.127163;1.504393;
