message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.783715;2.078807;0.187206;2.248935;2.177841;0.014835;
1;0.0521275;0.000000;0.783715;2.078807;0.187206;2.248935;2.177841;0.014835;
2;0.112136;0.000000;0.783745;2.079037;0.186767;2.248761;2.178020;0.014834;
3;0.176085;0.000000;0.783992;2.079935;0.185075;2.248619;2.178165;0.014833;
4;0.236025;0.000000;0.784419;2.081684;0.182407;2.248389;2.178401;0.014833;
5;0.29613;0.000000;0.784984;2.083961;0.178833;2.248282;2.178510;0.014834;
6;0.356115;0.000000;0.785640;2.086521;0.174782;2.248244;2.178548;0.014835;
7;0.416124;0.000000;0.786251;2.089025;0.170750;2.248389;2.178399;0.014838;
8;0.476132;0.000000;0.786859;2.091454;0.166834;2.248525;2.178259;0.014841;
9;0.536123;0.000000;0.787447;2.093827;0.163020;2.248678;2.178102;0.014844;
10;0.600658;0.000000;0.788039;2.096177;0.159327;2.248684;2.178095;0.014846;
11;0.655987;0.000000;0.788576;2.098436;0.155664;2.248799;2.177977;0.014849;
12;0.716081;0.000000;0.789114;2.100680;0.151967;2.248864;2.177910;0.014851;
13;0.786088;0.000000;0.789653;2.102797;0.148431;2.249044;2.177724;0.014854;
14;0.84603;0.000000;0.790186;2.105046;0.144747;2.248883;2.177889;0.014855;
15;0.906027;0.000000;0.790642;2.107172;0.141234;2.248942;2.177820;0.014821;
16;0.966057;0.000000;0.791176;2.109271;0.137908;2.248964;2.177796;0.014822;
17;1.02602;0.000000;0.791672;2.111337;0.134589;2.248995;2.177764;0.014824;
18;1.09265;0.000000;0.792143;2.113389;0.131282;2.248988;2.177771;0.014826;
19;1.14611;0.000000;0.792617;2.115391;0.127945;2.248939;2.177821;0.014827;
20;1.20609;0.000000;0.793052;2.117377;0.124644;2.248912;2.177848;0.014828;
21;1.26597;0.000000;0.793490;2.119322;0.121421;2.248927;2.177832;0.014830;
22;1.32614;0.000000;0.793914;2.121225;0.118293;2.248937;2.177821;0.014831;
23;1.38597;0.000000;0.794326;2.123018;0.115308;2.248994;2.177763;0.014833;
24;1.44605;0.000000;0.794746;2.124813;0.112364;2.248979;2.177778;0.014835;
25;1.50603;0.000000;0.795128;2.126556;0.109439;2.249005;2.177750;0.014836;
26;1.56604;0.000000;0.795518;2.128284;0.106542;2.249018;2.177737;0.014837;
27;1.62598;0.000000;0.795898;2.129953;0.103675;2.249011;2.177743;0.014839;
28;1.68603;0.000000;0.796262;2.131632;0.100814;2.248982;2.177773;0.014840;
29;1.74804;0.000000;0.796639;2.133260;0.098030;2.249006;2.177748;0.014841;
30;1.80808;0.000000;0.797000;2.134933;0.095245;2.248941;2.177815;0.014842;
31;1.87603;0.000000;0.797351;2.136424;0.092746;2.249020;2.177733;0.014844;
32;1.93606;0.000000;0.797656;2.137942;0.090242;2.248936;2.177819;0.014844;
33;1.99615;0.000000;0.797936;2.139382;0.087804;2.248937;2.177817;0.014845;
