message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783656;2.078732;0.187168;-0.110228;3.127286;1.492710;
1;0.0521033;0.000000;0.783671;2.079151;0.187035;-0.110226;3.127286;1.492518;
2;0.11185;0.000000;0.783738;2.080739;0.185989;-0.110217;3.127284;1.492429;
3;0.172626;0.000000;0.783836;2.083396;0.184450;-0.110202;3.127282;1.492125;
4;0.231942;0.000000;0.783990;2.086145;0.182876;-0.110186;3.127280;1.492072;
5;0.291988;0.000000;0.784283;2.088686;0.181353;-0.110171;3.127278;1.492235;
6;0.35182;0.000000;0.784568;2.091152;0.179853;-0.110155;3.127276;1.492389;
7;0.41186;0.000000;0.784843;2.093619;0.178360;-0.110140;3.127274;1.492500;
8;0.472634;0.000000;0.785061;2.096028;0.176902;-0.110124;3.127272;1.492594;
9;0.531847;0.000000;0.785322;2.098301;0.175511;-0.110109;3.127270;1.492727;
10;0.591877;0.000000;0.785570;2.100558;0.174102;-0.110094;3.127269;1.492793;
11;0.651899;0.000000;0.785738;2.102740;0.172735;-0.110079;3.127267;1.492850;
12;0.71182;0.000000;0.785924;2.104879;0.171428;-0.110064;3.127265;1.492859;
13;0.771832;0.000000;0.786106;2.106959;0.170109;-0.110049;3.127264;1.492916;
14;0.831835;0.000000;0.786280;2.109015;0.168814;-0.110034;3.127262;1.492937;
15;0.891749;0.000000;0.786452;2.111002;0.167573;-0.110019;3.127260;1.492973;
16;0.951768;0.000000;0.786626;2.112996;0.166326;-0.108587;3.127261;1.494393;
17;1.01174;0.000000;0.786798;2.114951;0.165128;-0.108573;3.127260;1.494403;
18;1.07176;0.000000;0.786957;2.116829;0.163947;-0.108559;3.127258;1.494425;
19;1.13197;0.000000;0.787110;2.118682;0.162802;-0.108544;3.127257;1.494380;
20;1.19213;0.000000;0.787247;2.120450;0.161651;-0.108531;3.127255;1.494412;
21;1.25197;0.000000;0.787394;2.122203;0.160539;-0.105580;3.127247;1.497378;
22;1.31405;0.000000;0.787535;2.123887;0.159425;-0.105566;3.127246;1.497422;
23;1.37192;0.000000;0.787680;2.125519;0.158340;-0.105552;3.127245;1.497418;
24;1.43186;0.000000;0.787823;2.127101;0.157268;-0.105539;3.127244;1.497461;
25;1.49192;0.000000;0.787936;2.128683;0.156201;-0.105525;3.127242;1.497473;
26;1.55188;0.000000;0.788071;2.130205;0.155135;-0.105512;3.127241;1.497499;
27;1.61182;0.000000;0.788176;2.131702;0.154146;-0.105499;3.127240;1.497500;
28;1.67176;0.000000;0.788307;2.133174;0.153152;-0.105486;3.127239;1.497499;
29;1.73176;0.000000;0.788437;2.134681;0.152157;-0.105472;3.127238;1.497469;
30;1.79178;0.000000;0.788588;2.136069;0.151199;-0.105460;3.127237;1.497501;
31;1.85176;0.000000;0.788669;2.137403;0.150270;-0.105448;3.127236;1.497484;
32;1.91189;0.000000;0.788781;2.138722;0.149348;-0.105436;3.127235;1.497476;
33;1.97185;0.000000;0.788870;2.139989;0.148485;-0.105424;3.127234;1.497538;
34;2.03189;0.000000;0.788986;2.141206;0.147622;-0.105413;3.127233;1.497583;
35;2.09187;0.000000;0.789113;2.142375;0.146811;-0.106937;3.127242;1.496077;
36;2.15189;0.000000;0.789207;2.143531;0.145972;-0.106927;3.127241;1.496081;
37;2.21192;0.000000;0.789280;2.144670;0.145170;-0.106917;3.127240;1.496062;
38;2.27183;0.000000;0.789375;2.145767;0.144403;-0.106907;3.127239;1.496082;
39;2.33184;0.000000;0.789474;2.146864;0.143600;-0.106897;3.127238;1.496112;
40;2.39185;0.000000;0.789564;2.147961;0.142815;-0.106887;3.127238;1.496099;
41;2.4522;0.000000;0.789632;2.148980;0.142066;-0.106878;3.127237;1.496110;
42;2.51188;0.000000;0.789702;2.149965;0.141347;-0.106869;3.127236;1.496117;
43;2.57188;0.000000;0.789762;2.150946;0.140640;-0.105453;3.127239;1.497519;
44;2.6319;0.000000;0.789845;2.151864;0.139939;-0.105445;3.127238;1.497506;
45;2.69184;0.000000;0.789928;2.152772;0.139262;-0.105437;3.127237;1.497492;
46;2.75187;0.000000;0.790003;2.153621;0.138561;-0.105429;3.127237;1.497559;
47;2.81195;0.000000;0.790040;2.154484;0.137891;-0.105421;3.127236;1.497551;
48;2.87194;0.000000;0.790101;2.155341;0.137226;-0.105413;3.127236;1.497543;
49;2.93186;0.000000;0.790173;2.156164;0.136590;-0.105406;3.127235;1.497519;
50;2.99186;0.000000;0.790248;2.156901;0.135949;-0.105399;3.127234;1.497529;
51;3.05217;0.000000;0.790326;2.157664;0.135332;-0.105392;3.127234;1.497510;
52;3.11187;0.000000;0.790364;2.158382;0.134721;-0.105385;3.127233;1.497583;
53;3.17184;0.000000;0.790408;2.159074;0.134128;-0.105379;3.127233;1.497621;
54;3.23198;0.000000;0.790475;2.159803;0.133481;-0.105372;3.127232;1.497608;
55;3.29186;0.000000;0.790517;2.160469;0.132930;-0.105366;3.127232;1.497599;
56;3.3522;0.000000;0.790578;2.161103;0.132337;-0.105360;3.127232;1.497597;
57;3.41399;0.000000;0.790637;2.161745;0.131792;-0.105354;3.127231;1.497607;
58;3.47184;0.000000;0.790678;2.162343;0.131211;-0.105348;3.127231;1.497612;
59;3.534;0.000000;0.790696;2.162931;0.130702;-0.105343;3.127230;1.497605;
60;3.59401;0.000000;0.790700;2.163501;0.130169;-0.105337;3.127230;1.497585;
61;3.65399;0.000000;0.790742;2.164007;0.129640;-0.106882;3.127238;1.496073;
62;3.7118;0.000000;0.790790;2.164528;0.129185;-0.106878;3.127238;1.496079;
63;3.77698;0.000000;0.790834;2.165049;0.128628;-0.106873;3.127237;1.496064;
64;3.83593;0.000000;0.790894;2.165528;0.128184;-0.106869;3.127237;1.496108;
65;3.89589;0.000000;0.790916;2.165957;0.127706;-0.105462;3.127240;1.497528;
66;3.95581;0.000000;0.790928;2.166447;0.127221;-0.104054;3.127243;1.498891;
67;4.01586;0.000000;0.790961;2.166903;0.126813;-0.102646;3.127247;1.500293;
68;4.07583;0.000000;0.790989;2.167325;0.126317;-0.101237;3.127250;1.501680;
69;4.13587;0.000000;0.791026;2.167733;0.125874;-0.101234;3.127250;1.501716;
70;4.19587;0.000000;0.791052;2.168132;0.125454;-0.101231;3.127249;1.501719;
71;4.25585;0.000000;0.791059;2.168513;0.125027;-0.101375;3.127261;1.501561;
72;4.31591;0.000000;0.791090;2.168895;0.124614;-0.101373;3.127261;1.501529;
73;4.37596;0.000000;0.791129;2.169203;0.124222;-0.102925;3.127269;1.500032;
74;4.43576;0.000000;0.791142;2.169541;0.123810;-0.102923;3.127269;1.500027;
75;4.4959;0.000000;0.791160;2.169897;0.123432;-0.102921;3.127269;1.500002;
76;4.5559;0.000000;0.791173;2.170229;0.123065;-0.104476;3.127277;1.498419;
77;4.61579;0.000000;0.791180;2.170532;0.122664;-0.104474;3.127277;1.498442;
78;4.67577;0.000000;0.791192;2.170818;0.122311;-0.104472;3.127277;1.498453;
79;4.7379;0.000000;0.791213;2.171096;0.121958;-0.104471;3.127276;1.498473;
80;4.798;0.000000;0.791229;2.171382;0.121617;-0.104469;3.127276;1.498484;
81;4.85787;0.000000;0.791250;2.171643;0.121258;-0.104468;3.127276;1.498459;
82;4.92262;0.000000;0.791263;2.171920;0.120917;-0.104466;3.127276;1.498469;
83;4.97785;0.000000;0.791279;2.172181;0.120612;-0.104464;3.127276;1.498455;
84;5.03784;0.000000;0.791296;2.172415;0.120289;-0.104463;3.127275;1.498460;
85;5.09787;0.000000;0.791301;2.172640;0.119924;-0.104462;3.127275;1.498475;
86;5.1579;0.000000;0.791335;2.172841;0.119631;-0.104461;3.127275;1.498508;
87;5.21784;0.000000;0.791355;2.173059;0.119331;-0.104459;3.127275;1.498478;
88;5.27791;0.000000;0.791351;2.173274;0.119009;-0.104458;3.127275;1.498481;
89;5.33785;0.000000;0.791350;2.173473;0.118692;-0.104457;3.127275;1.498536;
90;5.39802;0.000000;0.791365;2.173690;0.118399;-0.104456;3.127275;1.498507;
91;5.45798;0.000000;0.791378;2.173873;0.118141;-0.104454;3.127274;1.498484;
92;5.51797;0.000000;0.791375;2.174054;0.117849;-0.104453;3.127274;1.498483;
93;5.57798;0.000000;0.791370;2.174226;0.117526;-0.104452;3.127274;1.498513;
94;5.63798;0.000000;0.791382;2.174400;0.117257;-0.104451;3.127274;1.498490;
95;5.69785;0.000000;0.791382;2.174538;0.117012;-0.104450;3.127274;1.498484;
96;5.75785;0.000000;0.791379;2.174684;0.116743;-0.104450;3.127274;1.498489;
97;5.81786;0.000000;0.791385;2.174823;0.116468;-0.104449;3.127274;1.498516;
98;5.87787;0.000000;0.791403;2.174980;0.116211;-0.104448;3.127274;1.498490;
99;5.94198;0.000000;0.791420;2.175119;0.115984;-0.104447;3.127274;1.498506;
100;6.00224;0.000000;0.791430;2.175258;0.115762;-0.104446;3.127274;1.498489;
101;6.06186;0.000000;0.791416;2.175404;0.115506;-0.104445;3.127273;1.498441;
102;6.12259;0.000000;0.791414;2.175533;0.115284;-0.104444;3.127273;1.498466;
103;6.18186;0.000000;0.791412;2.175645;0.115010;-0.104444;3.127273;1.498490;
104;6.24226;0.000000;0.791401;2.175748;0.114759;-0.104443;3.127273;1.498524;
105;6.30189;0.000000;0.791395;2.175851;0.114562;-0.104442;3.127273;1.498514;
106;6.36187;0.000000;0.791395;2.175963;0.114389;-0.104442;3.127273;1.498472;
107;6.43275;0.000000;0.791392;2.176075;0.114144;-0.104441;3.127273;1.498474;
108;6.48589;0.962755;0.791398;2.176110;0.114108;-0.104441;3.127273;1.498467;
109;6.54587;0.962755;0.791439;2.175594;0.114109;-0.104444;3.127273;1.498800;
110;6.60589;0.964413;0.791559;2.174082;0.114112;-0.081887;3.127330;1.521551;
111;6.66576;0.964413;0.791667;2.172558;0.114109;0.044593;3.127501;1.648131;
112;6.72586;0.959142;0.791724;2.171075;0.114110;0.128694;3.127470;1.732054;
113;6.78584;0.963290;0.791574;2.169571;0.114105;0.238527;3.127263;1.841781;
114;6.84583;0.964778;0.791370;2.168132;0.114093;0.405310;3.126581;2.008519;
115;6.90578;0.966043;0.791261;2.166684;0.114093;0.575332;3.125221;2.178446;
116;6.9658;0.967714;0.791161;2.165279;0.114088;0.740034;3.123036;2.343123;
117;7.02577;0.966234;0.791070;2.163896;0.114056;0.881251;3.120008;2.484298;
118;7.08579;0.966234;0.791007;2.162543;0.114071;0.992043;3.116463;2.594975;
119;7.14576;0.965698;0.790950;2.161143;0.114067;1.073516;3.112812;2.676322;
120;7.2058;0.965577;0.790889;2.159783;0.114052;1.138448;3.108750;2.741221;
121;7.26579;0.965167;0.790836;2.158367;0.113976;1.193082;3.104226;2.795898;
122;7.32578;0.964942;0.790804;2.156997;0.113938;1.236496;3.099362;2.839208;
123;7.38588;0.966262;0.790756;2.155637;0.113861;1.273901;3.094075;2.876649;
124;7.44587;0.963531;0.790698;2.154248;0.113815;1.303113;3.088812;2.905930;
125;7.50586;0.972905;0.790650;2.152911;0.113761;1.327011;3.083299;2.929730;
126;7.56591;0.973281;0.790627;2.151597;0.113673;1.346339;3.077627;2.948913;
127;7.62585;0.975625;0.790624;2.150267;0.113647;1.363067;3.071588;2.965655;
128;7.686;0.975140;0.790560;2.148913;0.113453;1.377577;3.065773;2.980069;
129;7.74787;0.969496;0.790505;2.147506;0.113363;1.389674;3.060127;2.992094;
130;7.80817;0.976508;0.790451;2.146175;0.113279;1.400842;3.053961;3.003233;
131;7.86787;0.974826;0.790409;2.144861;0.113183;1.410091;3.047884;3.012428;
132;7.92786;0.974826;0.790396;2.143639;0.113080;1.418434;3.041430;3.020614;
133;7.98888;0.973052;0.790412;2.142314;0.112983;1.425013;3.035166;3.027132;
134;8.04783;0.977053;0.790384;2.141086;0.112864;1.431155;3.028470;3.033263;
135;8.10786;0.976761;0.790360;2.139762;0.112741;1.437028;3.022025;3.039077;
136;8.16793;0.976761;0.790272;2.138277;0.112524;1.444011;3.016224;3.046081;
137;8.22785;0.981155;0.790200;2.137004;0.112294;1.450268;3.009898;3.052268;
138;8.28787;0.981442;0.790144;2.135747;0.112166;1.455734;3.003604;3.057615;
139;8.34799;0.981936;0.790093;2.134386;0.111978;1.460317;2.997505;3.062155;
140;8.40824;0.982147;0.790031;2.133115;0.111755;1.464845;2.990932;3.066674;
141;8.46787;0.983913;0.789975;2.131778;0.111563;1.468710;2.984372;3.070516;
142;8.52783;0.983913;0.789900;2.130443;0.111345;1.472443;2.977769;3.074224;
143;8.58901;0.987626;0.789827;2.129202;0.111158;1.475758;2.970975;3.077456;
144;8.64786;0.986564;0.789732;2.128018;0.110912;1.479111;2.964058;3.080827;
145;8.70785;0.989617;0.789637;2.126742;0.110706;1.481914;2.957256;3.083508;
146;8.76944;0.989617;0.789558;2.125472;0.110497;1.484343;2.950447;3.086017;
147;8.82782;0.993712;0.789466;2.124184;0.110222;1.486591;2.943676;3.088267;
148;8.88811;0.994911;0.789477;2.122939;0.109984;1.488690;2.936840;3.090369;
149;8.94792;0.996297;0.789518;2.121728;0.109750;1.490603;2.930163;3.092249;
150;9.00783;0.996615;0.789541;2.120531;0.109446;1.492420;2.923380;3.093987;
151;9.06842;0.996534;0.789572;2.119240;0.109193;1.494200;2.916655;3.095728;
152;9.12786;0.995882;0.789555;2.118012;0.108891;1.495860;2.909699;3.097318;
