message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.783725;2.078822;0.187213;2.248946;2.177853;0.014944;
1;0.0541481;0.000000;0.783725;2.078822;0.187213;2.248946;2.177853;0.014944;
2;0.121955;0.000000;0.783782;2.079317;0.187207;2.248696;2.178109;0.014943;
3;0.174091;0.000000;0.784163;2.081102;0.187103;2.248518;2.178291;0.014942;
4;0.234174;0.000000;0.784800;2.083882;0.186532;2.248127;2.178693;0.014941;
5;0.294145;0.000000;0.785431;2.086607;0.185960;2.248132;2.178687;0.014943;
6;0.354146;0.000000;0.786000;2.089199;0.185411;2.248323;2.178491;0.014947;
7;0.414124;0.000000;0.786563;2.091675;0.184940;2.248523;2.178285;0.014950;
8;0.474154;0.000000;0.787116;2.094051;0.184450;2.248676;2.178128;0.014953;
9;0.534113;0.000000;0.787630;2.096404;0.184002;2.248719;2.178084;0.014955;
10;0.594153;0.000000;0.788130;2.098605;0.183576;2.248874;2.177925;0.014958;
11;0.654133;0.000000;0.788630;2.100817;0.183145;2.248923;2.177874;0.014960;
12;0.714159;0.000000;0.789114;2.102964;0.182743;2.248916;2.177881;0.014962;
13;0.774136;0.000000;0.789575;2.105074;0.182390;2.248920;2.177885;0.014999;
14;0.837981;0.000000;0.790045;2.107122;0.181975;2.248985;2.177819;0.015001;
15;0.894161;0.000000;0.790489;2.109145;0.181584;2.248998;2.177805;0.015003;
16;0.954106;0.000000;0.790982;2.111128;0.181258;2.248983;2.177820;0.015004;
17;1.01414;0.000000;0.791437;2.113096;0.180877;2.249002;2.177801;0.015006;
18;1.07409;0.000000;0.791897;2.115006;0.180484;2.248978;2.177826;0.015007;
19;1.13404;0.000000;0.792287;2.116830;0.180229;2.249003;2.177800;0.015008;
20;1.19404;0.000000;0.792685;2.118683;0.179901;2.248995;2.177808;0.015009;
21;1.25397;0.000000;0.793093;2.120450;0.179567;2.248965;2.177838;0.015011;
22;1.31398;0.000000;0.793497;2.122138;0.179265;2.248966;2.177847;0.015048;
23;1.37412;0.000000;0.793900;2.123789;0.178984;2.248969;2.177843;0.015049;
24;1.434;0.000000;0.794248;2.125361;0.178709;2.248976;2.177837;0.015050;
25;1.4941;0.000000;0.794630;2.126945;0.178499;2.249030;2.177781;0.015051;
26;1.55419;0.000000;0.795001;2.128530;0.178175;2.249038;2.177773;0.015053;
27;1.61405;0.000000;0.795353;2.130063;0.177851;2.249039;2.177772;0.015054;
28;1.674;0.000000;0.795724;2.131608;0.177653;2.249006;2.177806;0.015055;
29;1.734;0.000000;0.796061;2.133048;0.177442;2.248996;2.177816;0.015055;
30;1.79396;0.000000;0.796407;2.134430;0.177183;2.249002;2.177810;0.015056;
31;1.85401;0.000000;0.796714;2.135776;0.176931;2.249017;2.177795;0.015057;
32;1.91401;0.000000;0.797028;2.137098;0.176708;2.248981;2.177832;0.015058;
33;1.97399;0.000000;0.797335;2.138351;0.176514;2.248960;2.177853;0.015059;
34;2.03397;0.000000;0.797632;2.139579;0.176357;2.248972;2.177841;0.015060;
35;2.10597;0.000000;0.797881;2.140728;0.176183;2.249046;2.177765;0.015061;
36;2.16599;0.000000;0.798168;2.141939;0.175935;2.248973;2.177840;0.015061;
37;2.23996;0.000000;0.798449;2.142951;0.175772;2.249138;2.177671;0.015063;
38;2.3;0.000000;0.798709;2.144120;0.175590;2.248988;2.177824;0.015063;
39;2.36011;0.000000;0.798978;2.145168;0.175408;2.249003;2.177809;0.015064;
40;2.42027;0.000000;0.799237;2.146208;0.175275;2.249016;2.177796;0.015065;
41;2.48016;0.000000;0.799452;2.147203;0.175130;2.249048;2.177763;0.015066;
42;2.54014;0.000000;0.799720;2.148192;0.174954;2.248996;2.177816;0.015066;
43;2.61817;0.000000;0.799948;2.149040;0.174808;2.249129;2.177679;0.015068;
44;2.67813;0.000000;0.800171;2.150037;0.174615;2.248983;2.177829;0.015067;
45;2.74016;0.000000;0.800392;2.150912;0.174487;2.249001;2.177811;0.015068;
46;2.80015;0.000000;0.800606;2.151822;0.174395;2.248952;2.177862;0.015068;
47;2.86296;0.000000;0.800818;2.152672;0.174238;2.248943;2.177871;0.015069;
48;2.92015;0.000000;0.801046;2.153514;0.174062;2.248944;2.177869;0.015069;
49;2.98025;0.000000;0.801256;2.154303;0.173940;2.248964;2.177849;0.015070;
50;3.04012;0.000000;0.801419;2.155099;0.173861;2.248937;2.177877;0.015070;
51;3.10012;0.000000;0.801601;2.155844;0.173764;2.248975;2.177838;0.015071;
52;3.1601;0.000000;0.801815;2.156599;0.173642;2.248978;2.177835;0.015071;
53;3.2204;0.000000;0.801985;2.157309;0.173515;2.248977;2.177836;0.015072;
54;3.28014;0.000000;0.802113;2.158013;0.173401;2.248985;2.177850;0.015093;
55;3.33998;0.000000;0.802345;2.158718;0.173320;2.248982;2.177853;0.015094;
56;3.39999;0.000000;0.802526;2.159369;0.173216;2.249009;2.177825;0.015094;
57;3.46001;0.000000;0.802688;2.160027;0.173047;2.248978;2.177857;0.015095;
58;3.51996;0.000000;0.802867;2.160677;0.172902;2.248957;2.177878;0.015095;
59;3.58012;0.000000;0.803021;2.161274;0.172787;2.248966;2.177869;0.015095;
60;3.64017;0.000000;0.803153;2.161870;0.172667;2.248963;2.177872;0.015096;
61;3.70196;0.000000;0.803301;2.162476;0.172642;2.248949;2.177887;0.015096;
62;3.76198;0.000000;0.803461;2.163021;0.172617;2.248988;2.177847;0.015097;
63;3.82196;0.000000;0.803607;2.163583;0.172568;2.248981;2.177854;0.015097;
