message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
0;0;0.000000;0.007993;0.999956;-0.004992;0.780041;0.999794;-0.008085;-0.018597;2.080178;-0.018637;-0.004842;-0.999815;0.432624;0.007993;0.999956;-0.004992;0.780354;0.999794;-0.008085;-0.018597;2.081211;-0.018637;-0.004842;-0.999815;0.432603;0.017270;0.005074;0.000000;0.287835;0.084565;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
1;0.0519485;0.000000;0.008231;0.999954;-0.004982;0.780072;0.999792;-0.008322;-0.018608;2.080656;-0.018649;-0.004828;-0.999814;0.432624;0.007993;0.999956;-0.004992;0.780889;0.999794;-0.008085;-0.018597;2.082986;-0.018637;-0.004842;-0.999815;0.432567;0.029655;0.008678;0.000000;0.206417;0.060073;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
2;0.111779;0.000000;0.008043;0.999955;-0.004960;0.780418;0.999793;-0.008134;-0.018665;2.082313;-0.018705;-0.004809;-0.999813;0.432625;0.007993;0.999956;-0.004992;0.781422;0.999794;-0.008085;-0.018597;2.084761;-0.018637;-0.004842;-0.999815;0.432532;0.029669;0.008647;0.000000;0.000238;-0.000523;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
3;0.171767;0.000000;0.007805;0.999957;-0.004917;0.781075;0.999794;-0.007895;-0.018712;2.084392;-0.018750;-0.004770;-0.999813;0.432632;0.007993;0.999956;-0.004992;0.781958;0.999794;-0.008085;-0.018597;2.086532;-0.018637;-0.004842;-0.999815;0.432496;0.029582;0.008697;0.000000;-0.001452;0.000833;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
4;0.231712;0.000000;0.007863;0.999957;-0.004878;0.781709;0.999793;-0.007954;-0.018732;2.086208;-0.018770;-0.004730;-0.999813;0.432638;0.007993;0.999956;-0.004992;0.782490;0.999794;-0.008085;-0.018597;2.088286;-0.018637;-0.004842;-0.999815;0.432461;0.029318;0.008634;0.000000;-0.004407;-0.001053;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
5;0.293057;0.000000;0.007889;0.999957;-0.004841;0.782344;0.999792;-0.007978;-0.018773;2.088019;-0.018810;-0.004691;-0.999812;0.432637;0.007993;0.999956;-0.004992;0.782994;0.999794;-0.008085;-0.018597;2.089946;-0.018637;-0.004842;-0.999815;0.432427;0.027728;0.008171;0.000000;-0.026502;-0.007707;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
6;0.351813;0.000000;0.008017;0.999956;-0.004831;0.782877;0.999790;-0.008107;-0.018830;2.089688;-0.018868;-0.004679;-0.999811;0.432631;0.007993;0.999956;-0.004992;0.783483;0.999794;-0.008085;-0.018597;2.091543;-0.018637;-0.004842;-0.999815;0.432395;0.026686;0.007948;0.000000;-0.017362;-0.003715;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
7;0.415772;0.000000;0.008068;0.999955;-0.004924;0.783409;0.999785;-0.008160;-0.019046;2.091264;-0.019086;-0.004769;-0.999806;0.432605;0.007993;0.999956;-0.004992;0.783964;0.999794;-0.008085;-0.018597;2.093115;-0.018637;-0.004842;-0.999815;0.432364;0.026271;0.007810;0.000000;-0.006922;-0.002300;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
8;0.475714;0.000000;0.008003;0.999956;-0.004953;0.783882;0.999783;-0.008096;-0.019183;2.092870;-0.019223;-0.004798;-0.999804;0.432571;0.007993;0.999956;-0.004992;0.784432;0.999794;-0.008085;-0.018597;2.094634;-0.018637;-0.004842;-0.999815;0.432333;0.025380;0.007597;0.000000;-0.014846;-0.003562;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
9;0.535742;0.000000;0.007998;0.999956;-0.004981;0.784372;0.999781;-0.008093;-0.019279;2.094433;-0.019318;-0.004826;-0.999802;0.432495;0.007993;0.999956;-0.004992;0.784894;0.999794;-0.008085;-0.018597;2.096130;-0.018637;-0.004842;-0.999815;0.432303;0.025005;0.007488;0.000000;-0.006254;-0.001809;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
