message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ;;;;message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
148;8.96618;0.000000;0.810977;2.070892;0.437695;2.249132;2.178116;0.015745;;;;148;8.96618;0.000000;0.810977;2.070892;0.437695;2.249132;2.178116;0.015745
149;9.02608;0.000000;0.810982;2.070786;0.437694;2.249108;2.178140;0.015745;;;;149;9.02608;0.000000;0.810982;2.070786;0.437694;2.249108;2.178140;0.015745
150;9.08608;0.000000;0.810990;2.070688;0.437694;2.249037;2.178213;0.015744;;;;150;9.08608;0.000000;0.810990;2.070688;0.437694;2.249037;2.178213;0.015744
151;9.15099;0.000000;0.811002;2.070581;0.437693;2.249025;2.178225;0.015744;;;;151;9.15099;0.000000;0.811002;2.070581;0.437693;2.249025;2.178225;0.015744
152;9.211;0.000000;0.811006;2.070466;0.437692;2.249059;2.178190;0.015744;;;;152;9.211;0.000000;0.811006;2.070466;0.437692;2.249059;2.178190;0.015744
153;9.26602;0.000000;0.811014;2.070359;0.437692;2.249071;2.178178;0.015745;;;;153;9.26602;0.000000;0.811014;2.070359;0.437692;2.249071;2.178178;0.015745
154;9.34185;0.000000;0.811019;2.070270;0.437691;2.249060;2.178189;0.015744;;;;154;9.34185;0.000000;0.811019;2.070270;0.437691;2.249060;2.178189;0.015744
155;9.40852;0.000000;0.811026;2.070146;0.437691;2.249106;2.178142;0.015745;;;;155;9.40852;0.000000;0.811026;2.070146;0.437691;2.249106;2.178142;0.015745
156;9.46168;0.938824;0.811029;2.070128;0.437696;2.249103;2.178144;0.015745;;;;;;;;;;;;
157;9.52006;0.940267;0.811002;2.069473;0.437697;2.249127;2.178080;0.015698;;;;;;;;;;;;
158;9.58002;0.938752;0.810927;2.067631;0.437697;2.249425;2.177653;0.015561;;;;;;;;;;;;
159;9.64003;0.936255;0.810846;2.065631;0.437699;2.248809;2.176756;0.013798;;;;;;;;;;;;
160;9.70001;0.936255;0.810781;2.063824;0.437717;2.247726;2.176094;0.011932;;;;;;;;;;;;
161;9.75996;0.928577;0.810725;2.062026;0.437746;2.246901;2.175665;0.010780;;;;;;;;;;;;
162;9.82007;0.934523;0.810676;2.060184;0.437772;2.246680;2.175467;0.010597;;;;;;;;;;;;
163;9.88009;0.933849;0.810624;2.058358;0.437807;2.246805;2.175417;0.011123;;;;;;;;;;;;
164;9.94154;0.933849;0.810569;2.056551;0.437814;2.246819;2.175516;0.011352;;;;;;;;;;;;
165;10.007;0.934258;0.810517;2.054770;0.437811;2.247129;2.175954;0.012237;;;;;;;;;;;;
166;10.06;0.930179;0.810468;2.053024;0.437808;2.249123;2.178073;0.017246;;;;;;;;;;;;
167;10.12;0.941038;0.810410;2.051269;0.437806;2.251339;2.180442;0.022901;;;;;;;;;;;;
168;10.1803;0.941831;0.810359;2.049541;0.437793;2.253450;2.182627;0.028154;;;;;;;;;;;;
169;10.2402;0.942382;0.810304;2.047794;0.437747;2.255683;2.184859;0.033194;;;;;;;;;;;;
170;10.3;0.931134;0.810275;2.046055;0.437684;-2.255004;-2.184254;-0.037509;;;;;;;;;;;;
171;10.3601;0.934482;0.810226;2.044316;0.437653;-2.252713;-2.182134;-0.041907;;;;;;;;;;;;
172;10.42;0.934482;0.810149;2.042589;0.437622;-2.250562;-2.180141;-0.046142;;;;;;;;;;;;
173;10.498;0.939830;0.810083;2.040993;0.437627;-2.248600;-2.178643;-0.049578;;;;;;;;;;;;
174;10.5581;0.941705;0.810017;2.039167;0.437616;-2.246783;-2.176472;-0.053903;;;;;;;;;;;;
175;10.6181;0.938162;0.809969;2.037463;0.437592;-2.244923;-2.174679;-0.057991;;;;;;;;;;;;
176;10.6781;0.943564;0.809918;2.035785;0.437468;-2.243168;-2.173137;-0.060689;;;;;;;;;;;;
177;10.7381;0.938434;0.809871;2.034116;0.437402;-2.241506;-2.171604;-0.063977;;;;;;;;;;;;
178;10.8002;0.945139;0.809819;2.032465;0.437355;-2.239620;-2.169951;-0.067921;;;;;;;;;;;;
179;10.858;0.943745;0.809750;2.030806;0.437308;-2.237786;-2.168209;-0.071920;;;;;;;;;;;;
180;10.9199;0.943745;0.809698;2.029136;0.437256;-2.236000;-2.166395;-0.075902;;;;;;;;;;;;
181;10.9782;0.940148;0.809648;2.027520;0.437199;-2.234063;-2.164678;-0.079913;;;;;;;;;;;;
182;11.0381;0.940270;0.809579;2.025860;0.437128;-2.232266;-2.162890;-0.083825;;;;;;;;;;;;
183;11.0981;0.936450;0.809535;2.024242;0.437057;-2.230584;-2.161384;-0.087220;;;;;;;;;;;;
184;11.158;0.936450;0.809470;2.022599;0.436964;-2.228984;-2.159794;-0.090575;;;;;;;;;;;;
185;11.2359;0.941509;0.809393;2.020992;0.436829;-2.227212;-2.158149;-0.094269;;;;;;;;;;;;
186;11.2881;0.943432;0.809380;2.019460;0.436650;-2.225548;-2.156768;-0.097418;;;;;;;;;;;;
187;11.3479;0.946741;0.809358;2.017820;0.436473;-2.223861;-2.154967;-0.101052;;;;;;;;;;;;
188;11.4079;0.946741;0.809300;2.016238;0.436358;-2.222129;-2.153340;-0.104550;;;;;;;;;;;;
189;11.468;0.943899;0.809246;2.014681;0.436236;-2.220434;-2.151760;-0.107873;;;;;;;;;;;;
190;11.5279;0.945539;0.809206;2.013122;0.436078;-2.218574;-2.150067;-0.111574;;;;;;;;;;;;
191;11.588;0.940860;0.809146;2.011556;0.435908;-2.216808;-2.148370;-0.115151;;;;;;;;;;;;
192;11.648;0.944084;0.809094;2.010016;0.435764;-2.214938;-2.146609;-0.118911;;;;;;;;;;;;
193;11.708;0.942996;0.809052;2.008439;0.435609;-2.213388;-2.145040;-0.122014;;;;;;;;;;;;
194;11.7681;0.942996;0.809000;2.006907;0.435467;-2.211728;-2.143468;-0.125264;;;;;;;;;;;;
195;11.8282;0.940982;0.808969;2.005363;0.435329;-2.210054;-2.141814;-0.128640;;;;;;;;;;;;
196;11.888;0.940982;0.808939;2.003854;0.435165;-2.208216;-2.140201;-0.132239;;;;;;;;;;;;
197;11.9481;0.937777;0.808909;2.002327;0.434992;-2.206502;-2.138618;-0.135691;;;;;;;;;;;;
198;12.008;0.937777;0.808829;2.000824;0.434834;-2.204922;-2.137011;-0.138868;;;;;;;;;;;;
199;12.0681;0.946568;0.808766;1.999345;0.434673;-2.203279;-2.135522;-0.142055;;;;;;;;;;;;
200;12.128;0.942626;0.808730;1.997871;0.434516;-2.201612;-2.134023;-0.145211;;;;;;;;;;;;
201;12.188;0.941448;0.808688;1.996397;0.434341;-2.199872;-2.132381;-0.148634;;;;;;;;;;;;
202;12.2482;0.941448;0.808657;1.994931;0.434133;-2.198219;-2.130798;-0.151944;;;;;;;;;;;;
203;12.3081;0.943108;0.808613;1.993475;0.433900;-2.196378;-2.129143;-0.155560;;;;;;;;;;;;
204;12.3679;0.943108;0.808559;1.992028;0.433730;-2.194876;-2.127709;-0.158391;;;;;;;;;;;;
205;12.4281;0.941315;0.808523;1.990552;0.433585;-2.193386;-2.126200;-0.161339;;;;;;;;;;;;
206;12.488;0.941478;0.808497;1.989110;0.433427;-2.191778;-2.124612;-0.164527;;;;;;;;;;;;
207;12.548;0.938473;0.808450;1.987670;0.433224;-2.190180;-2.123096;-0.167580;;;;;;;;;;;;
208;12.6079;0.942996;0.808385;1.986241;0.432983;-2.188485;-2.121572;-0.170749;;;;;;;;;;;;
209;12.668;0.937472;0.808345;1.984836;0.432761;-2.186914;-2.120113;-0.173716;;;;;;;;;;;;
210;12.728;0.941044;0.808306;1.983420;0.432570;-2.185305;-2.118591;-0.176761;;;;;;;;;;;;
211;12.788;0.938137;0.808248;1.982034;0.432383;-2.183624;-2.117059;-0.179942;;;;;;;;;;;;
212;12.8481;0.939986;0.808216;1.980644;0.432198;-2.181911;-2.115490;-0.183189;;;;;;;;;;;;
213;12.932;0.940513;0.808197;1.979387;0.432001;-2.180262;-2.114287;-0.185772;;;;;;;;;;;;
214;13.0029;0.945941;0.808147;1.977899;0.431758;-2.178652;-2.112446;-0.189002;;;;;;;;;;;;
215;13.0581;0.937382;0.808118;1.976597;0.431554;-2.177145;-2.111210;-0.191612;;;;;;;;;;;;
216;13.1212;0.942503;0.808061;1.975181;0.431308;-2.175649;-2.109631;-0.194561;;;;;;;;;;;;
217;13.1916;0.940055;0.808020;1.973826;0.431067;-2.173969;-2.108085;-0.197702;;;;;;;;;;;;
218;13.244;0.946065;0.807980;1.972488;0.430810;-2.172459;-2.106741;-0.200347;;;;;;;;;;;;
219;13.3042;0.945426;0.807923;1.971117;0.430591;-2.170884;-2.105114;-0.203225;;;;;;;;;;;;
220;13.3643;0.943512;0.807885;1.969769;0.430367;-2.169306;-2.103631;-0.206191;;;;;;;;;;;;
221;13.4241;0.939534;0.807843;1.968439;0.430140;-2.167739;-2.102167;-0.209018;;;;;;;;;;;;
222;13.4841;0.936603;0.807783;1.967111;0.429885;-2.166185;-2.100734;-0.211805;;;;;;;;;;;;
223;13.5441;0.943531;0.807753;1.965778;0.429647;-2.164583;-2.099184;-0.214821;;;;;;;;;;;;
224;13.604;0.942367;0.807735;1.964479;0.429428;-2.162971;-2.097699;-0.217720;;;;;;;;;;;;
225;13.664;0.936067;0.807709;1.963190;0.429195;-2.161399;-2.096199;-0.220561;;;;;;;;;;;;
226;13.7241;0.939813;0.807649;1.961915;0.428933;-2.159940;-2.094897;-0.223016;;;;;;;;;;;;
227;13.7841;0.944499;0.807623;1.960625;0.428653;-2.158522;-2.093561;-0.225440;;;;;;;;;;;;
228;13.844;0.943553;0.807584;1.959346;0.428417;-2.156952;-2.092145;-0.228241;;;;;;;;;;;;
229;13.9041;0.939200;0.807551;1.958083;0.428144;-2.155487;-2.090779;-0.230850;;;;;;;;;;;;
230;13.964;0.943327;0.807515;1.956820;0.427871;-2.153887;-2.089274;-0.233799;;;;;;;;;;;;
231;14.0241;0.943327;0.807479;1.955566;0.427646;-2.152364;-2.087833;-0.236501;;;;;;;;;;;;
232;14.084;0.939029;0.807433;1.954295;0.427410;-2.150817;-2.086295;-0.239307;;;;;;;;;;;;
233;14.144;0.941897;0.807392;1.953059;0.427121;-2.149219;-2.084825;-0.242045;;;;;;;;;;;;
234;14.204;0.941824;0.807369;1.951810;0.426803;-2.147651;-2.083319;-0.244823;;;;;;;;;;;;
235;14.2641;0.943145;0.807340;1.950571;0.426568;-2.146118;-2.081844;-0.247580;;;;;;;;;;;;
236;14.3241;0.944739;0.807294;1.949361;0.426338;-2.144645;-2.080473;-0.250192;;;;;;;;;;;;
237;14.3839;0.944739;0.807243;1.948134;0.426052;-2.143181;-2.079090;-0.252849;;;;;;;;;;;;
238;14.4439;0.943176;0.807209;1.946940;0.425788;-2.141634;-2.077668;-0.255519;;;;;;;;;;;;
239;14.504;0.938219;0.807165;1.945747;0.425592;-2.139991;-2.076082;-0.258584;;;;;;;;;;;;
240;14.5749;0.942675;0.807173;1.944544;0.425225;-2.138429;-2.074591;-0.261394;;;;;;;;;;;;
241;14.6361;0.942863;0.807136;1.943450;0.424891;-2.136859;-2.073333;-0.264024;;;;;;;;;;;;
242;14.696;0.944820;0.807088;1.942192;0.424648;-2.135312;-2.071650;-0.267019;;;;;;;;;;;;
243;14.7562;0.946895;0.807055;1.941005;0.424381;-2.133709;-2.070144;-0.269869;;;;;;;;;;;;
244;14.8162;0.947450;0.807013;1.939846;0.424100;-2.132070;-2.068580;-0.272719;;;;;;;;;;;;
245;14.8761;0.946120;0.806968;1.938678;0.423833;-2.130399;-2.067029;-0.275639;;;;;;;;;;;;
246;14.9361;0.941509;0.806941;1.937524;0.423501;-2.128821;-2.065553;-0.278458;;;;;;;;;;;;
247;14.9959;0.945902;0.806921;1.936350;0.423197;-2.127401;-2.064120;-0.281007;;;;;;;;;;;;
248;15.0559;0.946952;0.806901;1.935203;0.422954;-2.126020;-2.062782;-0.283342;;;;;;;;;;;;
249;15.1161;0.941051;0.806864;1.934068;0.422667;-2.124540;-2.061339;-0.285954;;;;;;;;;;;;
250;15.1763;0.944387;0.806819;1.932916;0.422293;-2.122979;-2.059855;-0.288712;;;;;;;;;;;;
251;15.236;0.942174;0.806800;1.931804;0.422027;-2.121515;-2.058543;-0.291084;;;;;;;;;;;;
252;15.296;0.950381;0.806750;1.930671;0.421820;-2.120088;-2.057168;-0.293603;;;;;;;;;;;;
253;15.3559;0.941367;0.806735;1.929566;0.421493;-2.118630;-2.055836;-0.296051;;;;;;;;;;;;
254;15.4161;0.945386;0.806729;1.928451;0.421088;-2.117107;-2.054344;-0.298799;;;;;;;;;;;;
255;15.4773;0.948112;0.806687;1.927378;0.420824;-2.115559;-2.052897;-0.301440;;;;;;;;;;;;
256;15.559;0.943863;0.806648;1.926286;0.420571;-2.113984;-2.051490;-0.304097;;;;;;;;;;;;
257;15.6189;0.947566;0.806603;1.925278;0.420283;-2.112550;-2.050308;-0.306328;;;;;;;;;;;;
258;15.683;0.949977;0.806565;1.924121;0.419937;-2.111191;-2.048846;-0.308724;;;;;;;;;;;;
259;15.7361;0.946104;0.806530;1.923045;0.419635;-2.109840;-2.047565;-0.310952;;;;;;;;;;;;
260;15.796;0.939284;0.806485;1.921971;0.419311;-2.108528;-2.046261;-0.313235;;;;;;;;;;;;
261;15.863;0.939284;0.806477;1.920898;0.418968;-2.107103;-2.044950;-0.315501;;;;;;;;;;;;
262;15.931;0.945874;0.806486;1.919831;0.418684;-2.105660;-2.043552;-0.317964;;;;;;;;;;;;
263;15.998;0.941767;0.806443;1.918884;0.418417;-2.104277;-2.042492;-0.320104;;;;;;;;;;;;
264;16.0583;0.941767;0.806385;1.917719;0.418081;-2.102861;-2.040804;-0.322847;;;;;;;;;;;;
265;16.118;0.957468;0.806356;1.916695;0.417757;-2.101390;-2.039439;-0.325235;;;;;;;;;;;;
266;16.1843;0.957468;0.806327;1.915652;0.417454;-2.100020;-2.038125;-0.327553;;;;;;;;;;;;
267;16.238;0.943376;0.806287;1.914610;0.417183;-2.098614;-2.036785;-0.329903;;;;;;;;;;;;
268;16.298;0.942835;0.806252;1.913595;0.416850;-2.097220;-2.035562;-0.332078;;;;;;;;;;;;
269;16.3581;0.942835;0.806259;1.912562;0.416450;-2.095911;-2.034277;-0.334315;;;;;;;;;;;;
270;16.418;0.949508;0.806230;1.911545;0.416136;-2.094530;-2.033015;-0.336554;;;;;;;;;;;;
271;16.4784;0.947008;0.806187;1.910549;0.415867;-2.093242;-2.031809;-0.338674;;;;;;;;;;;;
272;16.5381;0.947008;0.806172;1.909546;0.415555;-2.091896;-2.030539;-0.340977;;;;;;;;;;;;
273;16.5982;0.949019;0.806126;1.908569;0.415233;-2.090602;-2.029355;-0.343033;;;;;;;;;;;;
274;16.6581;0.950823;0.806106;1.907576;0.414900;-2.089340;-2.028171;-0.345160;;;;;;;;;;;;
275;16.7272;0.950823;0.806094;1.906589;0.414597;-2.088028;-2.026973;-0.347192;;;;;;;;;;;;
276;16.7801;0.946397;0.806078;1.905604;0.414299;-2.086709;-2.025754;-0.349366;;;;;;;;;;;;
277;16.8401;0.952471;0.806043;1.904622;0.413918;-2.085422;-2.024432;-0.351481;;;;;;;;;;;;
278;16.9;0.952332;0.806004;1.903660;0.413567;-2.084030;-2.023191;-0.353781;;;;;;;;;;;;
279;16.9599;0.947068;0.805999;1.902689;0.413267;-2.082745;-2.021929;-0.355830;;;;;;;;;;;;
280;17.02;0.947068;0.805973;1.901722;0.413004;-2.081453;-2.020685;-0.357930;;;;;;;;;;;;
281;17.0799;0.948491;0.805915;1.900772;0.412653;-2.080179;-2.019503;-0.359938;;;;;;;;;;;;
282;17.14;0.948986;0.805897;1.899813;0.412292;-2.078909;-2.018304;-0.362017;;;;;;;;;;;;
283;17.205;0.948986;0.805881;1.898871;0.411994;-2.077696;-2.017187;-0.363768;;;;;;;;;;;;
284;17.27;0.944574;0.805857;1.897930;0.411676;-2.076364;-2.015948;-0.365926;;;;;;;;;;;;
285;17.322;0.947620;0.805817;1.897002;0.411340;-2.075122;-2.014822;-0.367811;;;;;;;;;;;;
286;17.391;0.947620;0.805794;1.896061;0.410979;-2.073919;-2.013648;-0.369730;;;;;;;;;;;;
287;17.4859;0.953051;0.805766;1.895278;0.410743;-2.072812;-2.012912;-0.371070;;;;;;;;;;;;
288;17.5382;0.949236;0.805734;1.894235;0.410408;-2.071618;-2.011409;-0.373383;;;;;;;;;;;;
289;17.598;0.953178;0.805729;1.893316;0.409989;-2.070306;-2.010088;-0.375375;;;;;;;;;;;;
290;17.658;0.953178;0.805727;1.892387;0.409634;-2.069032;-2.008973;-0.377294;;;;;;;;;;;;
291;17.7214;0.955408;0.805699;1.891500;0.409341;-2.067684;-2.007771;-0.379437;;;;;;;;;;;;
292;17.7781;0.950303;0.805662;1.890616;0.409054;-2.066478;-2.006724;-0.381224;;;;;;;;;;;;
293;17.838;0.950303;0.805636;1.889728;0.408777;-2.065291;-2.005613;-0.382977;;;;;;;;;;;;
294;17.8981;0.956183;0.805601;1.888842;0.408410;-2.064115;-2.004542;-0.384732;;;;;;;;;;;;
295;17.9583;0.945856;0.805568;1.887956;0.408009;-2.063023;-2.003464;-0.386352;;;;;;;;;;;;
296;18.0329;0.955325;0.805556;1.887063;0.407718;-2.061860;-2.002439;-0.388001;;;;;;;;;;;;
297;18.09;0.955325;0.805553;1.886234;0.407419;-2.060684;-2.001399;-0.389739;;;;;;;;;;;;
298;18.1501;0.946794;0.805520;1.885337;0.407062;-2.059468;-2.000130;-0.391787;;;;;;;;;;;;
299;18.2102;0.953464;0.805498;1.884455;0.406732;-2.058374;-1.999081;-0.393396;;;;;;;;;;;;
300;18.2701;0.953464;0.805488;1.883589;0.406450;-2.057191;-1.997982;-0.395252;;;;;;;;;;;;
301;18.33;0.951493;0.805441;1.882732;0.406114;-2.055921;-1.996750;-0.397328;;;;;;;;;;;;
302;18.39;0.955343;0.805410;1.881880;0.405722;-2.054689;-1.995571;-0.399240;;;;;;;;;;;;
303;18.4499;0.955343;0.805381;1.881018;0.405358;-2.053441;-1.994364;-0.401319;;;;;;;;;;;;
304;18.5226;0.947337;0.805389;1.880173;0.405065;-2.052219;-1.993256;-0.403139;;;;;;;;;;;;
305;18.5747;0.946852;0.805351;1.879350;0.404761;-2.051105;-1.992246;-0.404727;;;;;;;;;;;;
306;18.6346;0.953328;0.805306;1.878510;0.404384;-2.050055;-1.991275;-0.406125;;;;;;;;;;;;
307;18.6941;0.954337;0.805320;1.877682;0.404059;-2.048942;-1.990191;-0.407814;;;;;;;;;;;;
308;18.7541;0.954337;0.805283;1.876857;0.403767;-2.047901;-1.989155;-0.409286;;;;;;;;;;;;
309;18.814;0.947857;0.805251;1.876041;0.403435;-2.046746;-1.988039;-0.411079;;;;;;;;;;;;
310;18.8812;0.950231;0.805238;1.875219;0.403093;-2.045587;-1.986975;-0.412755;;;;;;;;;;;;
311;18.934;0.955417;0.805225;1.874415;0.402743;-2.044473;-1.985993;-0.414373;;;;;;;;;;;;
312;18.9989;0.955417;0.805179;1.873620;0.402428;-2.043338;-1.984965;-0.416098;;;;;;;;;;;;
313;19.054;0.951472;0.805166;1.872806;0.402079;-2.042249;-1.983930;-0.417698;;;;;;;;;;;;
314;19.114;0.952236;0.805142;1.872033;0.401788;-2.041063;-1.982823;-0.419515;;;;;;;;;;;;
315;19.174;0.953914;0.805124;1.871239;0.401481;-2.039947;-1.981840;-0.421098;;;;;;;;;;;;
316;19.2369;0.958180;0.805106;1.870454;0.401113;-2.038788;-1.980696;-0.422831;;;;;;;;;;;;
317;19.3045;0.958180;0.805098;1.869656;0.400786;-2.037649;-1.979597;-0.424502;;;;;;;;;;;;
318;19.356;0.958180;0.805066;1.868865;0.400465;-2.036612;-1.978626;-0.426121;;;;;;;;;;;;
319;19.4165;0.948960;0.805053;1.868106;0.400140;-2.035508;-1.977640;-0.427552;;;;;;;;;;;;
320;19.476;0.948960;0.805045;1.867317;0.399783;-2.034448;-1.976658;-0.429068;;;;;;;;;;;;
321;19.547;0.947723;0.805046;1.866563;0.399456;-2.033306;-1.975682;-0.430796;;;;;;;;;;;;
322;19.6036;0.959386;0.805002;1.865793;0.399145;-2.032257;-1.974668;-0.432256;;;;;;;;;;;;
323;19.6601;0.949668;0.804959;1.865012;0.398805;-2.031145;-1.973535;-0.433969;;;;;;;;;;;;
324;19.72;0.956938;0.804946;1.864280;0.398475;-2.029974;-1.972480;-0.435769;;;;;;;;;;;;
325;19.78;0.950670;0.804936;1.863500;0.398120;-2.029052;-1.971565;-0.436978;;;;;;;;;;;;
326;19.84;0.958413;0.804903;1.862763;0.397779;-2.027983;-1.970566;-0.438513;;;;;;;;;;;;
327;19.9001;0.955073;0.804874;1.862025;0.397552;-2.026829;-1.969476;-0.440345;;;;;;;;;;;;
328;19.9603;0.953698;0.804856;1.861264;0.397263;-2.025756;-1.968340;-0.442126;;;;;;;;;;;;
329;20.02;0.957562;0.804838;1.860532;0.396841;-2.024637;-1.967302;-0.443830;;;;;;;;;;;;
330;20.0799;0.957562;0.804824;1.859789;0.396515;-2.023538;-1.966263;-0.445669;;;;;;;;;;;;
331;20.1401;0.958087;0.804793;1.859060;0.396181;-2.022488;-1.965261;-0.447144;;;;;;;;;;;;
332;20.2;0.960714;0.804770;1.858376;0.395845;-2.021520;-1.964425;-0.448337;;;;;;;;;;;;
333;20.2599;0.955047;0.804798;1.857611;0.395472;-2.020507;-1.963391;-0.449938;;;;;;;;;;;;
334;20.3212;0.959020;0.804759;1.856902;0.395229;-2.019511;-1.962367;-0.451475;;;;;;;;;;;;
335;20.3864;0.959403;0.804729;1.856209;0.394941;-2.018524;-1.961546;-0.452827;;;;;;;;;;;;
336;20.44;0.954624;0.804714;1.855484;0.394546;-2.017481;-1.960513;-0.454484;;;;;;;;;;;;
337;20.5001;0.962444;0.804693;1.854788;0.394239;-2.016472;-1.959568;-0.455881;;;;;;;;;;;;
338;20.5601;0.958143;0.804683;1.854089;0.393876;-2.015508;-1.958682;-0.457203;;;;;;;;;;;;
339;20.6202;0.961942;0.804666;1.853392;0.393545;-2.014435;-1.957688;-0.458828;;;;;;;;;;;;
340;20.68;0.960867;0.804639;1.852725;0.393227;-2.013395;-1.956735;-0.460389;;;;;;;;;;;;
341;20.74;0.959494;0.804612;1.852031;0.392922;-2.012447;-1.955843;-0.461606;;;;;;;;;;;;
342;20.8001;0.956376;0.804605;1.851320;0.392610;-2.011367;-1.954768;-0.463247;;;;;;;;;;;;
343;20.8603;0.959307;0.804599;1.850647;0.392291;-2.010321;-1.953817;-0.464654;;;;;;;;;;;;
344;20.9201;0.955941;0.804564;1.849963;0.391975;-2.009311;-1.952828;-0.466141;;;;;;;;;;;;
345;20.98;0.959496;0.804525;1.849280;0.391687;-2.008242;-1.951885;-0.467701;;;;;;;;;;;;
346;21.04;0.954114;0.804550;1.848617;0.391325;-2.007247;-1.951003;-0.468929;;;;;;;;;;;;
347;21.1001;0.960666;0.804552;1.847931;0.390953;-2.006331;-1.950170;-0.470145;;;;;;;;;;;;
348;21.1603;0.959804;0.804523;1.847263;0.390667;-2.005433;-1.949255;-0.471385;;;;;;;;;;;;
349;21.2201;0.953211;0.804484;1.846617;0.390346;-2.004468;-1.948380;-0.472722;;;;;;;;;;;;
350;21.28;0.955598;0.804455;1.845940;0.390007;-2.003471;-1.947438;-0.474184;;;;;;;;;;;;
351;21.34;0.955598;0.804442;1.845286;0.389689;-2.002464;-1.946484;-0.475548;;;;;;;;;;;;
352;21.4;0.958398;0.804437;1.844649;0.389382;-2.001491;-1.945673;-0.476776;;;;;;;;;;;;
353;21.4671;0.957879;0.804406;1.844000;0.389077;-2.000513;-1.944795;-0.478030;;;;;;;;;;;;
354;21.5308;0.957879;0.804419;1.843337;0.388751;-1.999602;-1.943932;-0.479192;;;;;;;;;;;;
355;21.6032;0.954105;0.804405;1.842712;0.388444;-1.998596;-1.942980;-0.480788;;;;;;;;;;;;
356;21.6659;0.956450;0.804367;1.842083;0.388143;-1.997606;-1.941982;-0.482322;;;;;;;;;;;;
357;21.743;0.956450;0.804344;1.841411;0.387812;-1.996590;-1.940989;-0.483857;;;;;;;;;;;;
358;21.8061;0.956450;0.804321;1.840836;0.387489;-1.995585;-1.940152;-0.485227;;;;;;;;;;;;
359;21.858;0.954874;0.804302;1.840191;0.387169;-1.994592;-1.939028;-0.486937;;;;;;;;;;;;
360;21.9179;0.954874;0.804291;1.839544;0.386862;-1.993613;-1.938091;-0.488344;;;;;;;;;;;;
361;21.9781;0.957116;0.804229;1.838951;0.386554;-1.992738;-1.937320;-0.489485;;;;;;;;;;;;
362;22.0381;0.955032;0.804275;1.838305;0.386225;-1.991810;-1.936432;-0.490849;;;;;;;;;;;;
363;22.0979;0.954016;0.804258;1.837688;0.385921;-1.990937;-1.935609;-0.492032;;;;;;;;;;;;
364;22.158;0.965228;0.804242;1.837090;0.385615;-1.990034;-1.934844;-0.493236;;;;;;;;;;;;
365;22.218;0.965228;0.804240;1.836477;0.385302;-1.989141;-1.933985;-0.494607;;;;;;;;;;;;
366;22.278;0.955107;0.804214;1.835853;0.384999;-1.988326;-1.933135;-0.495624;;;;;;;;;;;;
367;22.3381;0.952952;0.804203;1.835242;0.384604;-1.987460;-1.932298;-0.496766;;;;;;;;;;;;
368;22.3981;0.957318;0.804180;1.834684;0.384316;-1.986508;-1.931485;-0.497971;;;;;;;;;;;;
369;22.4631;0.952993;0.804157;1.834087;0.384000;-1.985623;-1.930675;-0.499160;;;;;;;;;;;;
370;22.518;0.957991;0.804141;1.833487;0.383684;-1.984673;-1.929792;-0.500478;;;;;;;;;;;;
371;22.5781;0.960454;0.804155;1.832897;0.383414;-1.983752;-1.928930;-0.501789;;;;;;;;;;;;
372;22.641;0.962006;0.804144;1.832305;0.383091;-1.982775;-1.928017;-0.503103;;;;;;;;;;;;
373;22.698;0.958647;0.804123;1.831706;0.382795;-1.981843;-1.927115;-0.504498;;;;;;;;;;;;
374;22.7581;0.960360;0.804107;1.831134;0.382531;-1.980945;-1.926278;-0.505770;;;;;;;;;;;;
375;22.818;0.962410;0.804091;1.830572;0.382194;-1.980005;-1.925452;-0.506945;;;;;;;;;;;;
376;22.883;0.955479;0.804081;1.829979;0.381839;-1.979212;-1.924704;-0.507869;;;;;;;;;;;;
377;22.943;0.955960;0.804076;1.829394;0.381510;-1.978359;-1.923892;-0.509043;;;;;;;;;;;;
378;22.998;0.952034;0.804048;1.828854;0.381223;-1.977505;-1.923144;-0.509993;;;;;;;;;;;;
379;23.058;0.952034;0.804040;1.828288;0.380940;-1.976612;-1.922347;-0.511226;;;;;;;;;;;;
380;23.118;0.957655;0.804009;1.827701;0.380626;-1.975807;-1.921482;-0.512323;;;;;;;;;;;;
381;23.178;0.953236;0.803985;1.827130;0.380348;-1.974942;-1.920812;-0.513375;;;;;;;;;;;;
382;23.2523;0.956235;0.803973;1.826585;0.380086;-1.973987;-1.919890;-0.514772;;;;;;;;;;;;
383;23.3041;0.958966;0.803936;1.826057;0.379763;-1.973113;-1.919073;-0.516075;;;;;;;;;;;;
384;23.3751;0.958145;0.803977;1.825446;0.379386;-1.972312;-1.918196;-0.517019;;;;;;;;;;;;
385;23.4309;0.961990;0.803982;1.824933;0.379082;-1.971411;-1.917482;-0.518113;;;;;;;;;;;;
386;23.488;0.955353;0.803955;1.824392;0.378807;-1.970528;-1.916567;-0.519378;;;;;;;;;;;;
387;23.5482;0.961757;0.803917;1.823815;0.378532;-1.969577;-1.915541;-0.520905;;;;;;;;;;;;
388;23.608;0.961904;0.803895;1.823281;0.378183;-1.968664;-1.914710;-0.522177;;;;;;;;;;;;
389;23.668;0.958328;0.803878;1.822765;0.377892;-1.967718;-1.913861;-0.523673;;;;;;;;;;;;
