message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ;;;;message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
35;2.1141;0.000000;0.798645;2.164699;0.437371;2.248971;2.178261;0.015670;;;;35;2.1141;0.000000;0.798645;2.164699;0.437371;2.248971;2.178261;0.015670
36;2.17419;0.000000;0.799061;2.162166;0.437392;2.249029;2.178200;0.015670;;;;36;2.17419;0.000000;0.799061;2.162166;0.437392;2.249029;2.178200;0.015670
37;2.23393;0.000000;0.799455;2.159683;0.437413;2.249057;2.178169;0.015670;;;;37;2.23393;0.000000;0.799455;2.159683;0.437413;2.249057;2.178169;0.015670
38;2.29401;0.000000;0.799798;2.157300;0.437435;2.249027;2.178199;0.015669;;;;38;2.29401;0.000000;0.799798;2.157300;0.437435;2.249027;2.178199;0.015669
39;2.36995;0.000000;0.800140;2.154969;0.437450;2.249050;2.178174;0.015669;;;;39;2.36995;0.000000;0.800140;2.154969;0.437450;2.249050;2.178174;0.015669
40;2.42647;0.000000;0.800472;2.152794;0.437465;2.248984;2.178240;0.015668;;;;40;2.42647;0.000000;0.800472;2.152794;0.437465;2.248984;2.178240;0.015668
41;2.48201;0.000000;0.800801;2.150495;0.437476;2.249064;2.178167;0.015704;;;;41;2.48201;0.000000;0.800801;2.150495;0.437476;2.249064;2.178167;0.015704
42;2.54203;0.000000;0.801103;2.148273;0.437491;2.249148;2.178079;0.015704;;;;42;2.54203;0.000000;0.801103;2.148273;0.437491;2.249148;2.178079;0.015704
43;2.60202;0.000000;0.801448;2.146087;0.437498;2.249093;2.178134;0.015703;;;;43;2.60202;0.000000;0.801448;2.146087;0.437498;2.249093;2.178134;0.015703
44;2.66199;0.000000;0.801775;2.143898;0.437506;2.249193;2.178030;0.015704;;;;44;2.66199;0.000000;0.801775;2.143898;0.437506;2.249193;2.178030;0.015704
45;2.72197;0.000000;0.802079;2.141752;0.437514;2.249250;2.177969;0.015704;;;;45;2.72197;0.000000;0.802079;2.141752;0.437514;2.249250;2.177969;0.015704
46;2.78218;0.000000;0.802363;2.139639;0.437516;2.249252;2.177966;0.015704;;;;46;2.78218;0.000000;0.802363;2.139639;0.437516;2.249252;2.177966;0.015704
47;2.84203;0.000000;0.802671;2.137666;0.437516;2.249199;2.178019;0.015703;;;;47;2.84203;0.000000;0.802671;2.137666;0.437516;2.249199;2.178019;0.015703
48;2.90199;0.000000;0.802946;2.135805;0.437517;2.249172;2.178046;0.015702;;;;48;2.90199;0.000000;0.802946;2.135805;0.437517;2.249172;2.178046;0.015702
49;2.96199;0.000000;0.803223;2.133882;0.437518;2.249125;2.178093;0.015702;;;;49;2.96199;0.000000;0.803223;2.133882;0.437518;2.249125;2.178093;0.015702
50;3.02195;0.000000;0.803509;2.132046;0.437524;2.249136;2.178080;0.015701;;;;50;3.02195;0.000000;0.803509;2.132046;0.437524;2.249136;2.178080;0.015701
