message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783706;2.078801;0.187199;-0.092430;3.127144;1.510485;
1;0.0525829;0.000000;0.783706;2.078801;0.187199;-0.092430;3.127144;1.510485;
2;0.112466;0.000000;0.783721;2.079288;0.187204;-0.092422;3.127144;1.510339;
3;0.173863;0.000000;0.783775;2.081134;0.187408;-0.092392;3.127143;1.510168;
4;0.232441;0.000000;0.783841;2.083886;0.188122;-0.092348;3.127141;1.509926;
5;0.292555;0.000000;0.783929;2.086510;0.188722;-0.092305;3.127140;1.509994;
6;0.352351;0.000000;0.784184;2.089019;0.189270;-0.092264;3.127139;1.510147;
7;0.412421;0.000000;0.784479;2.091384;0.189789;-0.092225;3.127138;1.510292;
8;0.472438;0.000000;0.784741;2.093690;0.190332;-0.092187;3.127136;1.510473;
9;0.532369;0.000000;0.784981;2.095981;0.190838;-0.092149;3.127135;1.510555;
10;0.592336;0.000000;0.785191;2.098162;0.191368;-0.092112;3.127134;1.510655;
11;0.652411;0.000000;0.785392;2.100327;0.191904;-0.092076;3.127133;1.510786;
12;0.71243;0.000000;0.785579;2.102441;0.192403;-0.092040;3.127132;1.510857;
13;0.772295;0.000000;0.785747;2.104454;0.192932;-0.092006;3.127131;1.510904;
14;0.832347;0.000000;0.785923;2.106425;0.193426;-0.091972;3.127130;1.510967;
15;0.892448;0.000000;0.786085;2.108370;0.193991;-0.091939;3.127129;1.511005;
16;0.952362;0.000000;0.786198;2.110188;0.194508;-0.091908;3.127128;1.511082;
17;1.01235;0.000000;0.786409;2.112059;0.195032;-0.091876;3.127127;1.511078;
18;1.07229;0.000000;0.786571;2.113878;0.195561;-0.091844;3.127126;1.511101;
19;1.13232;0.000000;0.786727;2.115578;0.196060;-0.091815;3.127126;1.511163;
20;1.19231;0.000000;0.786881;2.117288;0.196631;-0.091785;3.127125;1.511150;
21;1.25234;0.000000;0.787018;2.118903;0.197124;-0.091757;3.127124;1.511169;
22;1.31242;0.000000;0.787129;2.120510;0.197689;-0.091729;3.127123;1.511198;
23;1.37228;0.000000;0.787291;2.122081;0.198236;-0.090296;3.127125;1.512648;
24;1.43235;0.000000;0.787506;2.123571;0.198766;-0.090270;3.127124;1.512694;
25;1.49227;0.000000;0.787636;2.125026;0.199325;-0.090245;3.127123;1.512692;
26;1.5523;0.000000;0.787756;2.126430;0.199848;-0.090220;3.127123;1.512749;
27;1.61232;0.000000;0.787892;2.127869;0.200431;-0.090195;3.127122;1.512788;
28;1.67227;0.000000;0.788037;2.129231;0.200954;-0.090171;3.127121;1.512818;
29;1.73242;0.000000;0.788174;2.130559;0.201537;-0.090148;3.127121;1.512844;
30;1.79227;0.000000;0.788308;2.131845;0.202066;-0.090125;3.127120;1.512843;
31;1.85231;0.000000;0.788432;2.133135;0.202587;-0.091609;3.127129;1.511315;
32;1.91233;0.000000;0.788574;2.134387;0.203146;-0.091587;3.127129;1.511330;
33;1.97232;0.000000;0.788709;2.135554;0.203674;-0.091567;3.127128;1.511389;
34;2.03233;0.000000;0.788803;2.136720;0.204233;-0.091548;3.127127;1.511404;
35;2.0925;0.000000;0.788936;2.137885;0.204732;-0.090125;3.127130;1.512777;
36;2.15243;0.000000;0.789061;2.139001;0.205291;-0.090106;3.127129;1.512764;
37;2.21236;0.000000;0.789204;2.140075;0.205838;-0.090088;3.127129;1.512855;
38;2.27232;0.000000;0.789326;2.141106;0.206366;-0.090071;3.127128;1.512907;
39;2.33239;0.000000;0.789435;2.142111;0.206919;-0.090053;3.127128;1.512913;
40;2.3923;0.000000;0.789542;2.143090;0.207400;-0.090037;3.127127;1.512948;
41;2.4524;0.000000;0.789660;2.144088;0.207947;-0.090020;3.127127;1.512920;
42;2.51244;0.000000;0.789802;2.145035;0.208451;-0.090004;3.127126;1.512940;
43;2.57245;0.000000;0.789905;2.145964;0.208974;-0.089988;3.127126;1.512969;
44;2.63244;0.000000;0.790004;2.146883;0.209491;-0.089972;3.127125;1.513007;
45;2.69242;0.000000;0.790094;2.147777;0.209989;-0.089957;3.127125;1.512988;
46;2.75234;0.000000;0.790196;2.148577;0.210500;-0.089943;3.127125;1.513055;
47;2.81237;0.000000;0.790350;2.149415;0.210986;-0.089929;3.127124;1.513039;
48;2.87243;0.000000;0.790450;2.150215;0.211473;-0.089915;3.127124;1.513030;
49;2.93249;0.000000;0.790520;2.151009;0.211999;-0.091421;3.127133;1.511523;
50;2.9924;0.000000;0.790614;2.151749;0.212486;-0.091409;3.127132;1.511539;
51;3.07641;0.000000;0.790719;2.152447;0.212918;-0.091397;3.127132;1.511603;
52;3.1364;0.000000;0.790819;2.153257;0.213417;-0.091384;3.127132;1.511518;
53;3.19635;0.000000;0.790916;2.153946;0.213909;-0.091372;3.127131;1.511560;
54;3.25638;0.000000;0.791012;2.154644;0.214396;-0.091361;3.127131;1.511559;
55;3.31628;0.000000;0.791065;2.155305;0.214852;-0.091350;3.127131;1.511587;
56;3.37638;0.000000;0.791043;2.155961;0.215322;-0.091339;3.127130;1.511593;
57;3.44837;0.000000;0.791282;2.156608;0.215783;-0.091328;3.127130;1.511606;
58;3.50845;0.000000;0.791556;2.157265;0.216232;-0.091317;3.127130;1.511588;
59;3.57033;0.000000;0.791548;2.157897;0.216725;-0.091306;3.127130;1.511613;
60;3.63215;0.000000;0.791584;2.158497;0.217128;-0.091296;3.127129;1.511633;
61;3.6904;0.000000;0.791668;2.159049;0.217590;-0.091287;3.127129;1.511679;
62;3.75041;0.000000;0.791747;2.159635;0.218077;-0.091277;3.127129;1.511665;
63;3.81045;0.000000;0.791830;2.160190;0.218483;-0.092796;3.127137;1.510130;
64;3.87037;0.000000;0.791918;2.160707;0.218945;-0.092787;3.127137;1.510139;
65;3.93029;0.000000;0.791981;2.161241;0.219396;-0.092779;3.127137;1.510139;
66;3.99038;0.000000;0.792061;2.161766;0.219816;-0.092770;3.127137;1.510128;
67;4.05039;0.000000;0.792145;2.162249;0.220231;-0.092762;3.127136;1.510154;
68;4.11037;0.000000;0.792206;2.162717;0.220685;-0.094286;3.127145;1.508659;
69;4.17041;0.000000;0.792284;2.163226;0.221081;-0.094278;3.127145;1.508634;
70;4.23041;0.000000;0.792377;2.163692;0.221532;-0.094271;3.127145;1.508615;
71;4.29027;0.000000;0.792432;2.164131;0.221940;-0.094264;3.127144;1.508636;
72;4.35037;0.000000;0.792492;2.164569;0.222349;-0.094257;3.127144;1.508667;
73;4.4103;0.000000;0.792563;2.165000;0.222769;-0.094251;3.127144;1.508665;
74;4.47037;0.000000;0.792663;2.165441;0.223172;-0.094244;3.127144;1.508632;
75;4.53041;0.000000;0.792740;2.165838;0.223574;-0.094238;3.127143;1.508702;
76;4.59045;0.000000;0.792805;2.166225;0.223982;-0.094231;3.127143;1.508727;
77;4.65042;0.000000;0.792880;2.166634;0.224364;-0.095761;3.127152;1.507144;
78;4.71042;0.000000;0.792932;2.167046;0.224743;-0.095754;3.127152;1.507140;
79;4.7703;0.000000;0.792944;2.167404;0.225158;-0.095749;3.127151;1.507173;
80;4.83042;0.000000;0.793044;2.167756;0.225603;-0.094347;3.127155;1.508600;
