message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
0;0;0.989182;0.032137;0.999378;0.014503;0.783734;0.999483;-0.032123;-0.001153;2.078829;-0.000687;0.014532;-0.999894;0.187220;0.032126;0.999377;0.014624;0.783705;0.999484;-0.032123;-0.000443;2.077935;0.000027;0.014630;-0.999893;0.187221;-0.014902;0.000000;-0.000000;-0.248373;0.000000;-0.000000;-0.001633;0.011888;0.000000;-0.027219;0.198139;0.000000;
1;0.0519647;0.989182;0.032427;0.999369;0.014503;0.783717;0.999474;-0.032414;-0.001133;2.078313;-0.000662;0.014532;-0.999894;0.187220;0.032105;0.999374;0.014865;0.783677;0.999483;-0.032123;0.000976;2.077046;0.001453;0.014826;-0.999889;0.187221;-0.014828;0.000000;-0.000000;0.001241;0.000000;0.000000;-0.003266;0.023777;0.000000;-0.027219;0.198139;0.000000;
2;0.111808;0.986388;0.032679;0.999360;0.014530;0.783678;0.999466;-0.032667;-0.001052;2.076966;-0.000577;0.014557;-0.999894;0.187219;0.032073;0.999370;0.015227;0.783648;0.999479;-0.032124;0.003106;2.076161;0.003593;0.015120;-0.999879;0.187219;-0.014754;0.000000;-0.000000;0.001235;0.000000;0.000000;-0.004893;0.035666;0.000000;-0.027114;0.198154;0.000000;
3;0.171698;0.985965;0.032606;0.999358;0.014857;0.783702;0.999468;-0.032612;0.000184;2.075780;0.000668;0.014843;-0.999890;0.187275;0.032029;0.999363;0.015709;0.783620;0.999466;-0.032126;0.005945;2.075281;0.006446;0.015510;-0.999859;0.187216;-0.014680;0.000000;-0.000000;0.001229;0.000000;0.000000;-0.006501;0.047558;0.000000;-0.026792;0.198197;0.000000;
4;0.231791;0.983930;0.032493;0.999353;0.015415;0.783776;0.999460;-0.032565;0.004480;2.075231;0.004979;0.015261;-0.999871;0.187342;0.031972;0.999356;0.016306;0.783592;0.999439;-0.032129;0.009495;2.074405;0.010013;0.015993;-0.999822;0.187210;-0.014607;0.000000;-0.000000;0.001223;-0.000000;0.000000;-0.008059;0.059456;0.000000;-0.025967;0.198307;0.000000;
5;0.291888;0.984478;0.032412;0.999345;0.016099;0.783860;0.999432;-0.032555;0.008708;2.074503;0.009227;0.015807;-0.999832;0.187430;0.031900;0.999346;0.017018;0.783564;0.999389;-0.032136;0.013755;2.073533;0.014293;0.016569;-0.999761;0.187202;-0.014534;0.000000;-0.000000;0.001217;0.000000;0.000000;-0.009588;0.071358;0.000000;-0.025488;0.198369;0.000000;
6;0.351748;0.987302;0.032245;0.999339;0.016799;0.783874;0.999390;-0.032463;0.012872;2.073609;0.013408;0.016374;-0.999776;0.187383;0.031813;0.999335;0.017843;0.783536;0.999308;-0.032147;0.018726;2.072666;0.019288;0.017235;-0.999665;0.187189;-0.014461;0.000000;-0.000000;0.001210;0.000000;0.000000;-0.011111;0.083261;0.000000;-0.025377;0.198383;0.000000;
7;0.411824;0.987823;0.032078;0.999326;0.017824;0.783819;0.999312;-0.032400;0.018041;2.072836;0.018606;0.017233;-0.999678;0.187315;0.031709;0.999321;0.018782;0.783509;0.999185;-0.032163;0.024408;2.071803;0.024995;0.017992;-0.999526;0.187173;-0.014389;0.000000;-0.000000;0.001204;-0.000000;0.000000;-0.012627;0.095165;0.000000;-0.025269;0.198397;0.000000;
8;0.471756;0.987823;0.032032;0.999310;0.018798;0.783714;0.999189;-0.032476;0.023822;2.071996;0.024416;0.018020;-0.999539;0.187271;0.031585;0.999304;0.019833;0.783482;0.999007;-0.032187;0.030799;2.070945;0.031416;0.018840;-0.999329;0.187151;-0.014317;0.000000;-0.000000;0.001198;0.000000;0.000000;-0.014143;0.107069;0.000000;-0.025269;0.198397;0.000000;
9;0.531872;0.986945;0.031830;0.999297;0.019810;0.783627;0.999020;-0.032419;0.030148;2.071148;0.030769;0.018831;-0.999349;0.187243;0.031439;0.999285;0.020994;0.783455;0.998762;-0.032219;0.037899;2.070091;0.038549;0.019777;-0.999061;0.187124;-0.014245;0.000000;-0.000000;0.001192;0.000000;0.000000;-0.015617;0.118978;0.000000;-0.024569;0.198485;0.000000;
10;0.591778;0.986903;0.031682;0.999279;0.020915;0.783549;0.998791;-0.032440;0.036935;2.070212;0.037586;0.019720;-0.999099;0.187197;0.031269;0.999263;0.022266;0.783428;0.998434;-0.032262;0.045708;2.069242;0.046393;0.020802;-0.998707;0.187092;-0.014174;0.000000;-0.000000;0.001186;0.000000;0.000000;-0.017102;0.130886;0.000000;-0.024752;0.198462;0.000000;
11;0.651707;0.983878;0.031556;0.999256;0.022171;0.783491;0.998473;-0.032521;0.044646;2.069339;0.045334;0.020728;-0.998757;0.187130;0.031072;0.999237;0.023647;0.783401;0.998006;-0.032317;0.054225;2.068397;0.054948;0.021915;-0.998249;0.187052;-0.014103;0.000000;-0.000000;0.001180;0.000000;0.000000;-0.018590;0.142793;0.000000;-0.024803;0.198456;0.000000;
12;0.71191;0.985729;0.031309;0.999232;0.023560;0.783436;0.998054;-0.032526;0.053201;2.068525;0.053926;0.021848;-0.998306;0.187106;0.030846;0.999208;0.025139;0.783375;0.997460;-0.032388;0.063447;2.067557;0.064211;0.023118;-0.997669;0.187006;-0.014033;0.000000;-0.000000;0.001173;0.000000;0.000000;-0.020093;0.154699;0.000000;-0.025040;0.198426;0.000000;
13;0.773911;0.978447;0.030998;0.999206;0.025017;0.783377;0.997535;-0.032503;0.062191;2.067713;0.062954;0.023028;-0.997751;0.187061;0.030587;0.999174;0.026741;0.783349;0.996776;-0.032477;0.073372;2.066721;0.074180;0.024411;-0.996946;0.186952;-0.013963;0.000000;-0.000000;0.001167;0.000000;0.000000;-0.021600;0.166604;0.000000;-0.025131;0.198415;0.000000;
14;0.836733;0.978447;0.030789;0.999171;0.026640;0.783370;0.996865;-0.032639;0.072076;2.066903;0.072886;0.024337;-0.997043;0.187035;0.030291;0.999136;0.028453;0.783324;0.995933;-0.032586;0.083999;2.065890;0.084853;0.025793;-0.996060;0.186890;-0.013893;0.000000;-0.000000;0.001161;0.000000;0.000000;-0.023108;0.178509;0.000000;-0.025131;0.198415;0.000000;
