message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.783714;2.078812;0.187208;2.248951;2.177833;0.014871;
1;0.0539306;0.000000;0.783733;2.079291;0.187208;2.248972;2.177811;0.014872;
2;0.113906;0.000000;0.783987;2.081122;0.187210;2.248787;2.178000;0.014872;
3;0.173938;0.000000;0.784654;2.083941;0.187222;2.248362;2.178456;0.014894;
4;0.233944;0.000000;0.785314;2.086657;0.187228;2.248354;2.178464;0.014895;
5;0.293957;0.000000;0.785913;2.089231;0.187232;2.248484;2.178330;0.014898;
6;0.353915;0.000000;0.786488;2.091767;0.187236;2.248585;2.178227;0.014901;
7;0.421345;0.000000;0.787066;2.094211;0.187251;2.248686;2.178122;0.014904;
8;0.478737;0.000000;0.787590;2.096556;0.187289;2.248799;2.178006;0.014906;
9;0.538022;0.000000;0.788056;2.098810;0.187386;2.248912;2.177890;0.014909;
10;0.593898;0.000000;0.788578;2.101005;0.187519;2.248971;2.177829;0.014911;
11;0.653899;0.000000;0.789079;2.103212;0.187574;2.248936;2.177865;0.014912;
12;0.713958;0.000000;0.789562;2.105352;0.187627;2.248928;2.177872;0.014914;
13;0.782054;0.000000;0.790019;2.107383;0.187711;2.249002;2.177796;0.014916;
14;0.838404;0.000000;0.790471;2.109408;0.187781;2.249052;2.177745;0.014917;
15;0.893931;0.000000;0.790911;2.111391;0.187852;2.249025;2.177772;0.014919;
16;0.953926;0.000000;0.791350;2.113291;0.187952;2.249035;2.177762;0.014920;
17;1.01393;0.000000;0.791793;2.115209;0.188069;2.249023;2.177773;0.014921;
18;1.07394;0.000000;0.792205;2.117069;0.188150;2.249005;2.177792;0.014923;
19;1.13802;0.000000;0.792588;2.118844;0.188261;2.249012;2.177785;0.014924;
20;1.19396;0.000000;0.792988;2.120595;0.188419;2.249004;2.177793;0.014925;
21;1.25395;0.000000;0.793371;2.122252;0.188505;2.248985;2.177812;0.014926;
22;1.31399;0.000000;0.793758;2.123911;0.188638;2.249001;2.177795;0.014927;
23;1.37384;0.000000;0.794148;2.125494;0.188777;2.248984;2.177812;0.014928;
24;1.43391;0.000000;0.794488;2.127017;0.188887;2.249032;2.177763;0.014930;
25;1.49806;0.000000;0.794853;2.128533;0.189007;2.249031;2.177764;0.014931;
26;1.55394;0.000000;0.795185;2.129945;0.189182;2.249054;2.177740;0.014932;
27;1.61392;0.000000;0.795515;2.131350;0.189356;2.249028;2.177767;0.014933;
28;1.67392;0.000000;0.795799;2.132703;0.189519;2.249031;2.177763;0.014934;
29;1.73843;0.000000;0.796144;2.134058;0.189633;2.248999;2.177796;0.014935;
30;1.79396;0.000000;0.796458;2.135362;0.189807;2.248996;2.177799;0.014936;
31;1.85389;0.000000;0.796759;2.136631;0.190004;2.248990;2.177805;0.014936;
32;1.91666;0.000000;0.797064;2.137876;0.190160;2.248980;2.177815;0.014937;
33;1.97381;0.000000;0.797361;2.139081;0.190294;2.248949;2.177837;0.014902;
34;2.03383;0.000000;0.797631;2.140274;0.190480;2.248945;2.177840;0.014903;
35;2.09386;0.000000;0.797899;2.141477;0.190647;2.248966;2.177819;0.014904;
36;2.1539;0.000000;0.798190;2.142603;0.190760;2.248990;2.177795;0.014905;
37;2.21392;0.000000;0.798471;2.143703;0.190950;2.248998;2.177786;0.014906;
38;2.27403;0.000000;0.798739;2.144786;0.191153;2.248957;2.177828;0.014906;
39;2.33793;0.000000;0.799013;2.145801;0.191355;2.249051;2.177732;0.014908;
40;2.39792;0.000000;0.799233;2.146831;0.191462;2.249027;2.177756;0.014908;
41;2.45795;0.000000;0.799497;2.147864;0.191586;2.249004;2.177779;0.014909;
42;2.5179;0.000000;0.799744;2.148827;0.191813;2.249020;2.177763;0.014910;
43;2.57788;0.000000;0.799972;2.149755;0.191986;2.249008;2.177775;0.014910;
44;2.63793;0.000000;0.800185;2.150665;0.192128;2.248982;2.177801;0.014911;
45;2.69792;0.000000;0.800424;2.151568;0.192343;2.248991;2.177792;0.014912;
46;2.75788;0.000000;0.800682;2.152438;0.192502;2.248984;2.177799;0.014912;
47;2.82181;0.000000;0.800870;2.153296;0.192639;2.248940;2.177844;0.014912;
48;2.87795;0.000000;0.801069;2.154076;0.192782;2.248994;2.177788;0.014913;
49;2.94186;0.000000;0.801274;2.154883;0.192930;2.248980;2.177803;0.014914;
50;3.00191;0.000000;0.801472;2.155665;0.193085;2.248963;2.177820;0.014914;
51;3.07131;0.000000;0.801675;2.156447;0.193293;2.248958;2.177826;0.014915;
52;3.12395;0.000000;0.801867;2.157176;0.193430;2.248958;2.177825;0.014915;
53;3.18592;0.000000;0.802043;2.157860;0.193573;2.248989;2.177793;0.014916;
54;3.24591;0.000000;0.802212;2.158589;0.193722;2.248965;2.177817;0.014916;
55;3.3059;0.000000;0.802381;2.159265;0.193961;2.248960;2.177823;0.014917;
56;3.36593;0.000000;0.802574;2.159935;0.194097;2.248977;2.177806;0.014917;
57;3.42638;0.000000;0.802773;2.160613;0.194269;2.248947;2.177836;0.014918;
58;3.48594;0.000000;0.802914;2.161227;0.194407;2.248946;2.177837;0.014918;
59;3.54593;0.000000;0.803063;2.161842;0.194514;2.248957;2.177825;0.014919;
60;3.6059;0.000000;0.803229;2.162432;0.194699;2.248965;2.177817;0.014919;
61;3.66594;0.000000;0.803402;2.163005;0.194907;2.248959;2.177824;0.014920;
62;3.72593;0.000000;0.803534;2.163558;0.195009;2.248975;2.177807;0.014920;
63;3.78593;0.000000;0.803668;2.164121;0.195141;2.248956;2.177827;0.014920;
64;3.85008;0.000000;0.803828;2.164658;0.195284;2.248969;2.177813;0.014921;
65;3.9239;0.000000;0.803966;2.165133;0.195463;2.249023;2.177757;0.014922;
66;3.98387;0.000000;0.804095;2.165687;0.195607;2.248932;2.177851;0.014921;
67;4.04604;0.000000;0.804250;2.166164;0.195774;2.248950;2.177832;0.014922;
68;4.10391;0.000000;0.804369;2.166647;0.195954;2.248970;2.177812;0.014922;
69;4.16391;0.000000;0.804498;2.167122;0.196134;2.248976;2.177805;0.014923;
70;4.22389;0.000000;0.804631;2.167615;0.196253;2.248925;2.177858;0.014923;
71;4.29003;0.000000;0.804755;2.168064;0.196313;2.248929;2.177854;0.014923;
72;4.34604;0.000000;0.804900;2.168479;0.196468;2.248952;2.177830;0.014923;
73;4.40387;0.000000;0.805022;2.168911;0.196660;2.248953;2.177829;0.014924;
74;4.46389;0.000000;0.805134;2.169341;0.196774;2.248955;2.177827;0.014924;
75;4.52393;0.000000;0.805254;2.169738;0.196936;2.248952;2.177830;0.014924;
76;4.58846;0.000000;0.805362;2.170142;0.197093;2.248915;2.177868;0.014924;
77;4.64392;0.000000;0.805450;2.170487;0.197236;2.248949;2.177822;0.014890;
78;4.70396;0.000000;0.805540;2.170846;0.197363;2.248978;2.177792;0.014890;
79;4.76389;0.000000;0.805652;2.171225;0.197435;2.248926;2.177846;0.014890;
80;4.82394;0.000000;0.805749;2.171585;0.197604;2.248907;2.177865;0.014890;
81;4.88382;0.000000;0.805847;2.171909;0.197695;2.248908;2.177864;0.014890;
82;4.94382;0.000000;0.805962;2.172214;0.197785;2.248988;2.177804;0.014912;
83;5.00384;0.000000;0.806048;2.172539;0.198008;2.248977;2.177815;0.014912;
84;5.06383;0.000000;0.806143;2.172872;0.198135;2.248956;2.177837;0.014912;
85;5.12381;0.000000;0.806219;2.173196;0.198239;2.248921;2.177872;0.014912;
86;5.18389;0.000000;0.806299;2.173502;0.198402;2.248944;2.177849;0.014912;
87;5.24995;0.000000;0.806366;2.173781;0.198518;2.248964;2.177829;0.014912;
88;5.30987;0.000000;0.806458;2.174062;0.198603;2.248960;2.177833;0.014913;
89;5.36994;0.000000;0.806581;2.174327;0.198675;2.248989;2.177803;0.014913;
90;5.42987;0.000000;0.806664;2.174598;0.198796;2.248960;2.177832;0.014913;
91;5.49014;0.000000;0.806717;2.174868;0.198955;2.248955;2.177837;0.014913;
92;5.54991;0.000000;0.806783;2.175147;0.199077;2.248975;2.177817;0.014914;
93;5.60984;0.000000;0.806870;2.175392;0.199132;2.248990;2.177801;0.014914;
94;5.66988;0.000000;0.806935;2.175645;0.199206;2.248960;2.177833;0.014914;
95;5.72983;0.000000;0.807039;2.175883;0.199393;2.248939;2.177854;0.014914;
96;5.78986;0.000000;0.807116;2.176101;0.199563;2.248963;2.177829;0.014914;
97;5.84985;0.000000;0.807194;2.176328;0.199685;2.248953;2.177839;0.014914;
98;5.90984;0.000000;0.807256;2.176554;0.199759;2.248978;2.177813;0.014915;
99;5.96979;0.000000;0.807313;2.176762;0.199815;2.248978;2.177814;0.014915;
100;6.02986;0.000000;0.807363;2.176987;0.199884;2.248956;2.177836;0.014915;
101;6.08982;0.000000;0.807429;2.177196;0.200018;2.248932;2.177861;0.014915;
102;6.14986;0.000000;0.807482;2.177390;0.200103;2.248949;2.177832;0.014880;
103;6.2099;0.000000;0.807543;2.177581;0.200201;2.248946;2.177835;0.014880;
104;6.26988;0.000000;0.807587;2.177761;0.200300;2.248943;2.177838;0.014880;
105;6.32993;0.000000;0.807661;2.177944;0.200392;2.248963;2.177817;0.014880;
106;6.39224;0.000000;0.807731;2.178109;0.200496;2.248982;2.177798;0.014880;
107;6.44993;0.000000;0.807787;2.178300;0.200601;2.248991;2.177789;0.014881;
108;6.51403;0.000000;0.807848;2.178482;0.200681;2.248988;2.177792;0.014881;
109;6.58191;0.000000;0.807890;2.178662;0.200835;2.248961;2.177820;0.014881;
110;6.64187;0.000000;0.807948;2.178844;0.200909;2.248910;2.177872;0.014880;
111;6.70196;0.000000;0.808005;2.178999;0.200930;2.248915;2.177866;0.014881;
112;6.76197;0.000000;0.808058;2.179145;0.200975;2.248908;2.177874;0.014881;
113;6.82192;0.000000;0.808105;2.179291;0.201074;2.248889;2.177894;0.014881;
114;6.88196;0.000000;0.808160;2.179429;0.201173;2.248939;2.177842;0.014881;
115;6.94194;0.000000;0.808195;2.179573;0.201273;2.248968;2.177813;0.014881;
116;7.00197;0.000000;0.808235;2.179692;0.201372;2.249016;2.177762;0.014882;
117;7.06197;0.000000;0.808301;2.179830;0.201423;2.249008;2.177771;0.014882;
118;7.12194;0.000000;0.808350;2.179958;0.201492;2.248998;2.177781;0.014882;
119;7.18195;0.000000;0.808387;2.180085;0.201579;2.248989;2.177791;0.014882;
120;7.24181;0.000000;0.808430;2.180213;0.201685;2.248980;2.177800;0.014882;
121;7.30183;0.000000;0.808487;2.180342;0.201778;2.248982;2.177798;0.014882;
122;7.36181;0.000000;0.808537;2.180462;0.201847;2.248983;2.177796;0.014882;
123;7.4218;0.000000;0.808572;2.180598;0.201928;2.248975;2.177805;0.014882;
124;7.48183;0.000000;0.808617;2.180735;0.202082;2.248883;2.177899;0.014882;
125;7.5418;0.000000;0.808648;2.180843;0.202122;2.248919;2.177862;0.014882;
126;7.60189;0.000000;0.808676;2.180943;0.202168;2.248907;2.177875;0.014882;
127;7.66187;0.000000;0.808719;2.181045;0.202225;2.248942;2.177839;0.014882;
128;7.72181;0.000000;0.808751;2.181136;0.202283;2.248940;2.177841;0.014882;
129;7.78183;0.000000;0.808781;2.181236;0.202347;2.248963;2.177817;0.014883;
130;7.84179;0.000000;0.808807;2.181336;0.202436;2.248962;2.177818;0.014883;
131;7.90186;0.000000;0.808847;2.181428;0.202487;2.248961;2.177820;0.014883;
132;7.96191;0.000000;0.808886;2.181529;0.202551;2.248924;2.177857;0.014882;
133;8.03197;0.000000;0.808941;2.181622;0.202656;2.248934;2.177846;0.014883;
134;8.08397;0.964856;0.808959;2.181642;0.202679;2.248936;2.177844;0.014883;
135;8.14398;0.965871;0.809005;2.181186;0.202682;2.249291;2.177514;0.014940;
136;8.2039;0.964475;0.809132;2.179630;0.202691;2.249513;2.177309;0.015011;
137;8.27004;0.957857;0.809271;2.177811;0.202773;2.249801;2.177496;0.016225;
138;8.32386;0.957396;0.809192;2.176466;0.202880;2.250528;2.178491;0.018823;
139;8.38393;0.957041;0.809044;2.175067;0.202984;2.251573;2.179472;0.021656;
140;8.44392;0.964496;0.808889;2.173622;0.203054;2.252436;2.180614;0.024316;
141;8.5039;0.964496;0.808810;2.172235;0.203009;2.253501;2.181908;0.027592;
142;8.56389;0.961424;0.808666;2.170877;0.202870;2.254736;2.183270;0.030797;
143;8.62391;0.969155;0.808612;2.169386;0.202796;2.255840;2.184578;0.033890;
144;8.68393;0.969155;0.808560;2.167943;0.202710;-2.255988;-2.184682;-0.037547;
145;8.74393;0.970874;0.808492;2.166514;0.202582;-2.254400;-2.183175;-0.041123;
146;8.80756;0.969072;0.808439;2.165111;0.202533;-2.252613;-2.181592;-0.045082;
147;8.86391;0.968516;0.808388;2.163721;0.202481;-2.250647;-2.179923;-0.049239;
148;8.92395;0.971298;0.808326;2.162385;0.202472;-2.248666;-2.178017;-0.053773;
149;8.98391;0.968201;0.808261;2.160972;0.202426;-2.246708;-2.176124;-0.058204;
150;9.04395;0.966491;0.808238;2.159560;0.202375;-2.244795;-2.174380;-0.062432;
151;9.10392;0.969016;0.808211;2.158202;0.202350;-2.242643;-2.172499;-0.067117;
152;9.17006;0.969785;0.808158;2.156787;0.202313;-2.240712;-2.170410;-0.071630;
153;9.22391;0.970758;0.808109;2.155417;0.202167;-2.238659;-2.168302;-0.076305;
154;9.28849;0.970758;0.808082;2.154094;0.202095;-2.236413;-2.166329;-0.080995;
155;9.35518;0.966131;0.808070;2.152742;0.202027;-2.234253;-2.164347;-0.085589;
156;9.40792;0.967606;0.808006;2.151424;0.201947;-2.232044;-2.162427;-0.090196;
157;9.46804;0.971569;0.807915;2.150025;0.201897;-2.229913;-2.160374;-0.094888;
158;9.53851;0.971811;0.807877;2.148682;0.201824;-2.227563;-2.158167;-0.099891;
159;9.58995;0.976266;0.807862;2.147399;0.201666;-2.224942;-2.155896;-0.105202;
160;9.6552;0.969724;0.807816;2.145992;0.201538;-2.222651;-2.153680;-0.110075;
161;9.70993;0.969724;0.807765;2.144616;0.201448;-2.220366;-2.151568;-0.114793;
162;9.76992;0.973074;0.807720;2.143292;0.201332;-2.217977;-2.149362;-0.119752;
163;9.82994;0.978158;0.807671;2.142037;0.201235;-2.215388;-2.147230;-0.124792;
164;9.88987;0.978805;0.807656;2.140694;0.201115;-2.213089;-2.144942;-0.129672;
165;9.94983;0.977584;0.807626;2.139414;0.200949;-2.210599;-2.142504;-0.134909;
166;10.0099;0.978552;0.807614;2.138124;0.200835;-2.208082;-2.140155;-0.140125;
167;10.074;0.979581;0.807604;2.136856;0.200738;-2.205505;-2.137905;-0.145339;
168;10.1339;0.978629;0.807613;2.135625;0.200633;-2.202882;-2.135304;-0.150950;
