message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783715;2.078807;0.187206;-0.088047;3.127111;1.514877;
1;0.0520599;0.000000;0.783718;2.078812;0.187208;-0.086591;3.127100;1.516333;
2;0.112046;0.000000;0.783734;2.079316;0.187208;-0.086581;3.127099;1.516333;
3;0.172079;0.000000;0.783792;2.081205;0.187195;-0.086545;3.127099;1.516195;
4;0.232006;0.000000;0.783926;2.084451;0.186972;-0.086481;3.127097;1.515852;
5;0.292087;0.000000;0.784268;2.088703;0.186306;-0.086398;3.127096;1.515802;
6;0.351973;0.000000;0.784609;2.093478;0.185681;-0.086304;3.127094;1.515830;
7;0.411998;0.000000;0.784954;2.098163;0.185099;-0.086211;3.127092;1.516076;
8;0.472068;0.000000;0.785313;2.102653;0.184529;-0.086121;3.127090;1.516460;
9;0.532085;0.000000;0.785652;2.107276;0.183952;-0.086028;3.127088;1.516611;
10;0.592095;0.000000;0.785976;2.111688;0.183423;-0.085938;3.127086;1.516855;
11;0.652101;0.000000;0.786269;2.115974;0.182881;-0.085851;3.127085;1.516963;
12;0.712102;0.000000;0.786579;2.120187;0.182424;-0.085765;3.127083;1.517105;
13;0.77228;0.000000;0.786864;2.124407;0.181951;-0.087170;3.127091;1.515669;
14;0.832091;0.000000;0.787157;2.128455;0.181505;-0.087089;3.127090;1.515863;
15;0.892077;0.000000;0.787433;2.132541;0.181112;-0.087007;3.127088;1.515910;
16;0.952097;0.000000;0.787802;2.136479;0.180707;-0.086928;3.127086;1.516046;
17;1.0121;0.000000;0.788102;2.140445;0.180326;-0.086848;3.127085;1.516055;
18;1.07207;0.000000;0.788383;2.144242;0.180022;-0.086770;3.127083;1.516228;
19;1.13225;0.000000;0.788688;2.148061;0.179687;-0.086692;3.127082;1.516316;
20;1.19212;0.000000;0.789006;2.151781;0.179304;-0.086616;3.127080;1.516402;
21;1.25217;0.000000;0.789276;2.155331;0.179028;-0.086542;3.127079;1.516478;
22;1.31211;0.000000;0.789563;2.158843;0.178734;-0.086470;3.127077;1.516461;
23;1.37208;0.000000;0.789852;2.162237;0.178475;-0.086399;3.127076;1.516548;
24;1.43209;0.000000;0.790118;2.165583;0.178192;-0.086329;3.127075;1.516630;
25;1.49209;0.000000;0.790389;2.168863;0.177890;-0.086260;3.127073;1.516713;
26;1.55207;0.000000;0.790662;2.172112;0.177719;-0.086192;3.127072;1.516738;
27;1.61211;0.000000;0.790924;2.175260;0.177500;-0.086125;3.127071;1.516815;
28;1.67208;0.000000;0.791216;2.178293;0.177334;-0.086061;3.127070;1.516898;
29;1.73222;0.000000;0.791443;2.181252;0.177162;-0.084611;3.127072;1.518436;
30;1.79205;0.000000;0.791695;2.184184;0.176887;-0.084549;3.127071;1.518462;
31;1.85206;0.000000;0.791934;2.187023;0.176714;-0.084489;3.127070;1.518530;
32;1.91209;0.000000;0.792174;2.189808;0.176616;-0.085968;3.127077;1.517022;
33;1.97211;0.000000;0.792415;2.192575;0.176507;-0.085912;3.127076;1.517036;
34;2.03207;0.000000;0.792649;2.195240;0.176363;-0.085857;3.127075;1.517058;
35;2.09212;0.000000;0.792893;2.197892;0.176223;-0.085802;3.127074;1.517154;
36;2.15216;0.000000;0.793151;2.200496;0.176112;-0.085748;3.127073;1.517179;
