message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783711;2.078816;0.187206;-0.088047;3.127111;1.514867;
1;0.0518828;0.000000;0.783711;2.078816;0.187212;-0.088047;3.127111;1.514867;
2;0.112078;0.000000;0.783711;2.078807;0.187206;-0.088047;3.127111;1.514877;
3;0.171939;0.000000;0.783731;2.079303;0.187206;-0.088038;3.127110;1.514766;
4;0.232072;0.000000;0.783792;2.081154;0.187193;-0.086594;3.127111;1.516064;
5;0.291904;0.000000;0.784114;2.084404;0.187068;-0.086534;3.127110;1.515708;
6;0.351951;0.000000;0.784736;2.087974;0.186563;-0.086467;3.127108;1.515665;
7;0.411943;0.000000;0.785315;2.091199;0.186212;-0.086407;3.127107;1.515937;
8;0.471934;0.000000;0.785836;2.094420;0.185861;-0.086346;3.127106;1.516088;
9;0.531918;0.000000;0.786340;2.097618;0.185545;-0.086285;3.127104;1.516248;
10;0.591951;0.000000;0.786818;2.100623;0.185276;-0.086228;3.127103;1.516513;
11;0.652047;0.000000;0.787248;2.103538;0.185031;-0.086173;3.127102;1.516646;
12;0.711988;0.000000;0.787692;2.106395;0.184785;-0.086118;3.127101;1.516751;
13;0.771937;0.000000;0.788119;2.109160;0.184551;-0.086065;3.127100;1.516854;
14;0.831965;0.000000;0.788533;2.111911;0.184317;-0.086012;3.127099;1.516945;
15;0.89195;0.000000;0.788922;2.114638;0.184142;-0.085960;3.127097;1.516945;
16;0.951965;0.000000;0.789316;2.117205;0.183960;-0.085910;3.127096;1.517099;
17;1.01206;0.000000;0.789723;2.119783;0.183826;-0.085860;3.127095;1.517080;
18;1.07212;0.000000;0.790041;2.122233;0.183752;-0.085812;3.127094;1.517132;
19;1.13207;0.000000;0.790413;2.124617;0.183600;-0.085765;3.127094;1.517219;
20;1.19207;0.000000;0.790796;2.126961;0.183387;-0.085719;3.127093;1.517267;
21;1.25213;0.000000;0.791178;2.129246;0.183233;-0.085674;3.127092;1.517341;
22;1.31206;0.000000;0.791530;2.131473;0.183163;-0.085631;3.127091;1.517364;
23;1.37199;0.000000;0.791849;2.133641;0.183123;-0.085588;3.127090;1.517411;
24;1.43197;0.000000;0.792204;2.135820;0.183047;-0.085545;3.127089;1.517428;
25;1.49195;0.000000;0.792508;2.137878;0.182976;-0.085504;3.127088;1.517461;
26;1.55195;0.000000;0.792842;2.139905;0.182899;-0.085464;3.127088;1.517436;
27;1.61198;0.000000;0.793162;2.141855;0.182858;-0.085425;3.127087;1.517510;
28;1.67196;0.000000;0.793462;2.143789;0.182822;-0.085386;3.127086;1.517593;
29;1.73199;0.000000;0.793754;2.145690;0.182786;-0.085348;3.127085;1.517660;
30;1.79201;0.000000;0.794075;2.147611;0.182743;-0.085310;3.127085;1.517697;
31;1.85202;0.000000;0.794343;2.149436;0.182695;-0.085273;3.127084;1.517690;
32;1.912;0.000000;0.794646;2.151151;0.182664;-0.085239;3.127083;1.517787;
33;1.97403;0.000000;0.794904;2.152874;0.182645;-0.085204;3.127083;1.517756;
34;2.03208;0.000000;0.795157;2.154459;0.182639;-0.085172;3.127082;1.517815;
35;2.09208;0.000000;0.795445;2.156047;0.182631;-0.085140;3.127082;1.517831;
36;2.1521;0.000000;0.795658;2.157598;0.182624;-0.085109;3.127081;1.517854;
37;2.21211;0.000000;0.795920;2.159101;0.182617;-0.085078;3.127080;1.517892;
38;2.2722;0.000000;0.796194;2.160518;0.182615;-0.085050;3.127080;1.517929;
39;2.33198;0.000000;0.796425;2.161916;0.182607;-0.085021;3.127079;1.517943;
