message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783711;2.078807;0.187206;-0.088047;3.127111;1.514877;
1;0.0602346;0.000000;0.783730;2.079286;0.187206;-0.088038;3.127110;1.514819;
2;0.12029;0.000000;0.783788;2.081114;0.187115;-0.088005;3.127110;1.514726;
3;0.180177;0.000000;0.783890;2.084358;0.186482;-0.086535;3.127110;1.515756;
4;0.244165;0.000000;0.784188;2.088550;0.185623;-0.086457;3.127108;1.515770;
5;0.299121;0.000000;0.784636;2.093169;0.184796;-0.086370;3.127106;1.515763;
6;0.359027;0.000000;0.785028;2.097605;0.183914;-0.086286;3.127104;1.515994;
7;0.418984;0.000000;0.785401;2.101839;0.183188;-0.086205;3.127103;1.516287;
8;0.47893;0.000000;0.785753;2.106024;0.182426;-0.086125;3.127101;1.516497;
9;0.540646;0.000000;0.786068;2.110102;0.181693;-0.086047;3.127099;1.516737;
10;0.599046;0.000000;0.786420;2.114183;0.181020;-0.085968;3.127098;1.516803;
11;0.660661;0.000000;0.786736;2.118206;0.180287;-0.085889;3.127096;1.517004;
12;0.718921;0.000000;0.787062;2.122225;0.179643;-0.085811;3.127094;1.517030;
13;0.780935;0.000000;0.787370;2.126007;0.179023;-0.085736;3.127093;1.517232;
14;0.840983;0.000000;0.787658;2.129878;0.178433;-0.085660;3.127091;1.517293;
15;0.90694;0.000000;0.787976;2.133564;0.177782;-0.085587;3.127090;1.517494;
16;0.966953;0.000000;0.788256;2.137372;0.177257;-0.085511;3.127089;1.517428;
17;1.02697;0.000000;0.788518;2.141003;0.176659;-0.085438;3.127087;1.517491;
18;1.08697;0.000000;0.788824;2.144527;0.176134;-0.085367;3.127086;1.517595;
19;1.14694;0.000000;0.789097;2.147984;0.175637;-0.085297;3.127085;1.517701;
20;1.20688;0.000000;0.789382;2.151342;0.175158;-0.085229;3.127083;1.517837;
21;1.26688;0.000000;0.789655;2.154677;0.174721;-0.085161;3.127082;1.517819;
22;1.32689;0.000000;0.789955;2.157983;0.174223;-0.085093;3.127081;1.517807;
23;1.38688;0.000000;0.790258;2.161154;0.173790;-0.085028;3.127080;1.517897;
24;1.44685;0.000000;0.790509;2.164196;0.173405;-0.084966;3.127078;1.518004;
25;1.50689;0.000000;0.790760;2.167214;0.173002;-0.084904;3.127077;1.518053;
26;1.56686;0.000000;0.791022;2.170150;0.172598;-0.084843;3.127076;1.518134;
27;1.62686;0.000000;0.791301;2.173074;0.172254;-0.084782;3.127075;1.518116;
28;1.68694;0.000000;0.791536;2.175901;0.171843;-0.084723;3.127074;1.518227;
29;1.74686;0.000000;0.791781;2.178698;0.171479;-0.084665;3.127073;1.518301;
30;1.80685;0.000000;0.792013;2.181401;0.171164;-0.084608;3.127072;1.518418;
31;1.86683;0.000000;0.792261;2.184030;0.170859;-0.084553;3.127071;1.518459;
32;1.92694;0.000000;0.792480;2.186598;0.170501;-0.084499;3.127070;1.518569;
33;1.98683;0.000000;0.792737;2.189194;0.170186;-0.085982;3.127078;1.516993;
34;2.04687;0.000000;0.792946;2.191723;0.169869;-0.085930;3.127077;1.517031;
35;2.10693;0.000000;0.793181;2.194170;0.169598;-0.085880;3.127076;1.517069;
36;2.16689;0.000000;0.793416;2.196515;0.169286;-0.085831;3.127075;1.517072;
37;2.22685;0.000000;0.793622;2.198764;0.169009;-0.085785;3.127074;1.517215;
38;2.28689;0.000000;0.793801;2.201012;0.168739;-0.085738;3.127073;1.517238;
39;2.34692;0.000000;0.794022;2.203187;0.168525;-0.085859;3.127084;1.517141;
40;2.40682;0.000000;0.794252;2.205340;0.168336;-0.085816;3.127084;1.517149;
41;2.46692;0.000000;0.794452;2.207413;0.168064;-0.085775;3.127083;1.517213;
42;2.52683;0.000000;0.794642;2.209460;0.167792;-0.085734;3.127082;1.517230;
43;2.58685;0.000000;0.794853;2.211442;0.167597;-0.085694;3.127081;1.517271;
44;2.64697;0.000000;0.795048;2.213383;0.167346;-0.087210;3.127088;1.515775;
45;2.707;0.000000;0.795261;2.215251;0.167186;-0.085795;3.127092;1.517201;
46;2.7669;0.000000;0.795428;2.217061;0.166989;-0.087318;3.127099;1.515662;
47;2.82706;0.000000;0.795577;2.218791;0.166853;-0.088846;3.127106;1.514142;
48;2.88703;0.000000;0.795759;2.220496;0.166687;-0.088815;3.127105;1.514177;
49;2.94695;0.000000;0.795933;2.222193;0.166456;-0.088784;3.127104;1.514189;
50;3.00695;0.000000;0.796095;2.223823;0.166360;-0.090319;3.127111;1.512630;
51;3.06692;0.000000;0.796233;2.225386;0.166274;-0.090291;3.127110;1.512658;
52;3.127;0.000000;0.796415;2.226938;0.166114;-0.090263;3.127110;1.512694;
53;3.18687;0.000000;0.796558;2.228424;0.165979;-0.090237;3.127109;1.512724;
54;3.24686;0.000000;0.796708;2.229904;0.165903;-0.090210;3.127108;1.512752;
55;3.3068;0.000000;0.796862;2.231315;0.165810;-0.090185;3.127108;1.512782;
56;3.36681;0.000000;0.797009;2.232699;0.165710;-0.090160;3.127107;1.512798;
57;3.42693;0.000000;0.797143;2.234074;0.165629;-0.090136;3.127106;1.512814;
58;3.48694;0.000000;0.797271;2.235395;0.165542;-0.090112;3.127106;1.512801;
59;3.54692;0.000000;0.797417;2.236632;0.165455;-0.090090;3.127105;1.512864;
60;3.60684;0.000000;0.797555;2.237859;0.165361;-0.090067;3.127105;1.512904;
61;3.66682;0.000000;0.797706;2.239072;0.165280;-0.090046;3.127104;1.512877;
62;3.7268;0.000000;0.797837;2.240246;0.165229;-0.090024;3.127104;1.512900;
63;3.78683;0.000000;0.797946;2.241392;0.165190;-0.090004;3.127103;1.512919;
64;3.84679;0.000000;0.798053;2.242511;0.165146;-0.089983;3.127103;1.512936;
65;3.90692;0.000000;0.798197;2.243601;0.165100;-0.089964;3.127102;1.512980;
66;3.9668;0.000000;0.798301;2.244668;0.165062;-0.089944;3.127102;1.512990;
67;4.02694;0.000000;0.798406;2.245673;0.165030;-0.089926;3.127101;1.513036;
68;4.09221;0.000000;0.798525;2.246663;0.165004;-0.089908;3.127101;1.513058;
69;4.15293;0.000000;0.798650;2.247610;0.164966;-0.089891;3.127101;1.513085;
