message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
0;0;0.000000;0.032146;0.999378;0.014516;0.783733;0.999483;-0.032133;-0.001133;2.078825;-0.000666;0.014545;-0.999894;0.187222;0.032146;0.999378;0.014516;0.783865;0.999483;-0.032133;-0.001133;2.079897;-0.000666;0.014545;-0.999894;0.187223;0.017926;0.001633;0.000000;0.298763;0.027220;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
1;0.0514948;0.000000;0.031939;0.999384;0.014516;0.783752;0.999490;-0.031925;-0.001133;2.079312;-0.000669;0.014545;-0.999894;0.187222;0.032146;0.999378;0.014516;0.784106;0.999483;-0.032133;-0.001133;2.081845;-0.000666;0.014545;-0.999894;0.187224;0.032575;0.002968;0.000000;0.244148;0.022244;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
2;0.111585;0.000000;0.031757;0.999390;0.014516;0.783805;0.999495;-0.031744;-0.001132;2.081039;-0.000671;0.014545;-0.999894;0.187221;0.032146;0.999378;0.014516;0.784346;0.999483;-0.032133;-0.001133;2.083791;-0.000666;0.014545;-0.999894;0.187226;0.032542;0.002955;0.000000;-0.000537;-0.000213;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
3;0.187644;0.000000;0.031712;0.999392;0.014517;0.783933;0.999497;-0.031699;-0.001132;2.083207;-0.000671;0.014546;-0.999894;0.187221;0.032146;0.999378;0.014516;0.784587;0.999483;-0.032133;-0.001133;2.085703;-0.000666;0.014545;-0.999894;0.187227;0.031992;0.002997;0.000000;-0.009179;0.000698;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
4;0.247612;0.000000;0.031585;0.999396;0.014518;0.784305;0.999501;-0.031572;-0.001110;2.085333;-0.000651;0.014546;-0.999894;0.187225;0.032146;0.999378;0.014516;0.784829;0.999483;-0.032133;-0.001133;2.087616;-0.000666;0.014545;-0.999894;0.187228;0.031992;0.002997;0.000000;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
5;0.309551;0.000000;0.031786;0.999389;0.014519;0.784647;0.999494;-0.031773;-0.001110;2.087268;-0.000648;0.014547;-0.999894;0.187227;0.032146;0.999378;0.014516;0.785069;0.999483;-0.032133;-0.001133;2.089487;-0.000666;0.014545;-0.999894;0.187230;0.031300;0.002996;0.000000;-0.011523;-0.000023;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
6;0.36951;0.000000;0.031831;0.999388;0.014519;0.784946;0.999493;-0.031818;-0.001109;2.089170;-0.000646;0.014547;-0.999894;0.187230;0.032146;0.999378;0.014516;0.785309;0.999483;-0.032133;-0.001133;2.091339;-0.000666;0.014545;-0.999894;0.187231;0.030978;0.003017;0.000000;-0.005380;0.000357;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
7;0.429477;0.000000;0.031938;0.999384;0.014520;0.785221;0.999490;-0.031925;-0.001109;2.091048;-0.000644;0.014548;-0.999894;0.187231;0.032146;0.999378;0.014516;0.785550;0.999483;-0.032133;-0.001133;2.093191;-0.000666;0.014545;-0.999894;0.187232;0.030978;0.003017;0.000000;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
8;0.500438;0.000000;0.031999;0.999382;0.014520;0.785479;0.999488;-0.031986;-0.001108;2.092902;-0.000643;0.014548;-0.999894;0.187233;0.032146;0.999378;0.014516;0.785764;0.999483;-0.032133;-0.001133;2.094842;-0.000666;0.014545;-0.999894;0.187234;0.027622;0.002688;0.000000;-0.055930;-0.005474;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
9;0.575318;0.000000;0.032037;0.999381;0.014533;0.785693;0.999486;-0.032025;-0.001087;2.094652;-0.000621;0.014561;-0.999894;0.187236;0.032146;0.999378;0.014516;0.785973;0.999483;-0.032133;-0.001133;2.096429;-0.000666;0.014545;-0.999894;0.187235;0.026534;0.002626;0.000000;-0.018125;-0.001049;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
