message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
0;6.77779;0.937100;0.007910;0.999956;-0.005049;0.808277;0.999795;-0.008003;-0.018619;2.147744;-0.018658;-0.004900;-0.999814;0.431183;0.007913;0.999957;-0.004810;0.808268;0.999807;-0.007998;-0.017939;2.146664;-0.017977;-0.004667;-0.999828;0.431203;-0.018000;-0.000000;-0.000000;-0.300000;-0.000000;-0.000000;-0.003886;0.011353;0.000000;-0.064761;0.189225;0.000000;
1;6.83148;0.938899;0.008187;0.999954;-0.005057;0.808302;0.999793;-0.008280;-0.018590;2.147382;-0.018631;-0.004904;-0.999814;0.431183;0.007917;0.999959;-0.004484;0.808251;0.999823;-0.007993;-0.017042;2.144504;-0.017077;-0.004348;-0.999845;0.431242;-0.036000;-0.000000;-0.000000;-0.300000;-0.000000;-0.000000;-0.005317;0.014995;0.000000;-0.023859;0.060695;0.000000;
2;6.89014;0.937736;0.008446;0.999952;-0.005048;0.808381;0.999793;-0.008538;-0.018447;2.145609;-0.018490;-0.004891;-0.999817;0.431195;0.007921;0.999960;-0.004159;0.808234;0.999838;-0.007987;-0.016155;2.142282;-0.016187;-0.004030;-0.999861;0.431280;-0.037042;-0.000000;-0.000000;-0.017367;-0.000000;-0.000000;-0.005299;0.014841;0.000000;0.000310;-0.002562;-0.000000;
3;6.94986;0.935991;0.008756;0.999950;-0.004740;0.808496;0.999806;-0.008839;-0.017596;2.142899;-0.017637;-0.004585;-0.999834;0.431274;0.007925;0.999961;-0.003840;0.808216;0.999852;-0.007983;-0.015219;2.140071;-0.015249;-0.003719;-0.999877;0.431316;-0.036857;-0.000000;-0.000000;0.003086;0.000000;0.000000;-0.005189;0.015629;0.000000;0.001834;0.013127;-0.000000;
4;7.00986;0.932156;0.008574;0.999955;-0.004167;0.808579;0.999840;-0.008639;-0.015681;2.140596;-0.015717;-0.004032;-0.999868;0.431408;0.007929;0.999962;-0.003527;0.808199;0.999870;-0.007978;-0.014024;2.137871;-0.014051;-0.003416;-0.999895;0.431349;-0.036673;-0.000000;-0.000000;0.003071;0.000000;0.000000;-0.005059;0.019973;0.000000;0.002154;0.072401;-0.000000;
5;7.06975;0.920734;0.008440;0.999957;-0.003784;0.808640;0.999861;-0.008494;-0.014371;2.138300;-0.014402;-0.003662;-0.999890;0.431495;0.007935;0.999963;-0.003229;0.808181;0.999893;-0.007974;-0.012239;2.135682;-0.012264;-0.003132;-0.999920;0.431380;-0.036489;-0.000000;-0.000000;0.003056;0.000000;0.000000;-0.004729;0.029791;0.000000;0.005511;0.163627;-0.000000;
6;7.12974;0.920734;0.008337;0.999960;-0.003339;0.808567;0.999882;-0.008379;-0.012836;2.136079;-0.012864;-0.003231;-0.999912;0.431600;0.007941;0.999964;-0.002931;0.808164;0.999914;-0.007971;-0.010454;2.133504;-0.010477;-0.002848;-0.999941;0.431407;-0.036307;-0.000000;-0.000000;0.003040;0.000000;0.000000;-0.004729;0.029791;0.000000;-0.000000;-0.000000;-0.000000;
7;7.18975;0.929753;0.008190;0.999962;-0.003013;0.808442;0.999908;-0.008222;-0.010756;2.133867;-0.010781;-0.002925;-0.999938;0.431679;0.007948;0.999965;-0.002710;0.808147;0.999937;-0.007969;-0.007953;2.131337;-0.007974;-0.002647;-0.999965;0.431430;-0.036125;-0.000000;-0.000000;0.003025;0.000000;0.000000;-0.003357;0.041712;0.000000;0.022858;0.198689;-0.000000;
8;7.24969;0.929753;0.008163;0.999963;-0.002651;0.808337;0.999932;-0.008185;-0.008309;2.131655;-0.008330;-0.002583;-0.999962;0.431741;0.007956;0.999965;-0.002565;0.808130;0.999957;-0.007969;-0.004736;2.129180;-0.004756;-0.002528;-0.999985;0.431447;-0.035945;-0.000000;-0.000000;0.003010;0.000000;0.000000;-0.001986;0.053634;0.000000;0.022858;0.198689;-0.000000;
9;7.30978;0.929753;0.008061;0.999964;-0.002571;0.808272;0.999953;-0.008075;-0.005380;2.129481;-0.005401;-0.002528;-0.999982;0.431668;0.007965;0.999965;-0.002448;0.808113;0.999967;-0.007968;-0.001261;2.127034;-0.001281;-0.002438;-0.999996;0.431457;-0.035765;-0.000000;-0.000000;0.002995;0.000000;0.000000;-0.001492;0.057925;0.000000;0.008228;0.071520;-0.000000;
10;7.36985;0.935995;0.008047;0.999965;-0.002434;0.808202;0.999966;-0.008051;-0.001673;2.127299;-0.001693;-0.002420;-0.999996;0.431600;0.007975;0.999965;-0.002386;0.808096;0.999964;-0.007968;0.002931;2.124899;0.002912;-0.002410;-0.999993;0.431460;-0.035586;-0.000000;-0.000000;0.002980;-0.000000;0.000000;-0.000471;0.069881;0.000000;0.017012;0.199275;-0.000000;
11;7.44369;0.934722;0.008057;0.999965;-0.002380;0.808151;0.999965;-0.008052;0.002173;2.125153;0.002154;-0.002397;-0.999995;0.431561;0.007987;0.999965;-0.002356;0.808079;0.999939;-0.007968;0.007703;2.122775;0.007684;-0.002417;-0.999968;0.431454;-0.035408;-0.000000;-0.000000;0.002965;0.000000;0.000000;0.000121;0.079526;0.000000;0.009872;0.160745;-0.000000;
12;7.49606;0.938807;0.008004;0.999965;-0.002373;0.808100;0.999944;-0.007988;0.006896;2.123113;0.006877;-0.002428;-0.999973;0.431530;0.007998;0.999965;-0.002352;0.808062;0.999887;-0.007968;0.012752;2.120661;0.012733;-0.002454;-0.999916;0.431437;-0.035231;-0.000000;-0.000000;0.002951;0.000000;0.000000;0.000610;0.084157;0.000000;0.008152;0.077176;-0.000000;
13;7.5567;0.933801;0.007949;0.999966;-0.002336;0.808080;0.999897;-0.007921;0.011968;2.120951;0.011949;-0.002431;-0.999926;0.431488;0.008010;0.999965;-0.002345;0.808045;0.999811;-0.007967;0.017741;2.118558;0.017722;-0.002487;-0.999840;0.431411;-0.035055;-0.000000;-0.000000;0.002936;0.000000;0.000000;0.000553;0.083163;0.000000;-0.000953;-0.016564;0.000000;
14;7.63334;0.935246;0.007957;0.999966;-0.002328;0.808074;0.999820;-0.007916;0.017222;2.118868;0.017203;-0.002465;-0.999849;0.431465;0.008022;0.999965;-0.002345;0.808028;0.999713;-0.007967;0.022579;2.116466;0.022560;-0.002526;-0.999742;0.431373;-0.034880;-0.000000;-0.000000;0.002921;0.000000;0.000000;0.000647;0.080650;-0.000000;0.001562;-0.041874;-0.000000;
15;7.68617;0.943857;0.007887;0.999966;-0.002315;0.808054;0.999731;-0.007835;0.021840;2.116882;0.021821;-0.002487;-0.999759;0.431420;0.008033;0.999965;-0.002344;0.808012;0.999595;-0.007966;0.027323;2.114384;0.027304;-0.002563;-0.999624;0.431327;-0.034705;-0.000000;-0.000000;0.002906;0.000000;0.000000;0.000622;0.079087;-0.000000;-0.000412;-0.026051;0.000000;
16;7.74588;0.932546;0.007961;0.999966;-0.002302;0.808056;0.999613;-0.007896;0.026665;2.114703;0.026646;-0.002513;-0.999642;0.431369;0.008044;0.999965;-0.002356;0.807995;0.999458;-0.007964;0.031955;2.112313;0.031935;-0.002612;-0.999487;0.431270;-0.034532;-0.000000;-0.000000;0.002891;-0.000000;0.000000;0.000811;0.077229;-0.000000;0.003159;-0.030974;-0.000000;
17;7.80588;0.934617;0.008000;0.999965;-0.002269;0.808031;0.999473;-0.007925;0.031487;2.112621;0.031468;-0.002519;-0.999502;0.431319;0.008054;0.999965;-0.002354;0.807978;0.999300;-0.007963;0.036558;2.110252;0.036538;-0.002647;-0.999329;0.431204;-0.034359;-0.000000;-0.000000;0.002876;0.000000;0.000000;0.000592;0.076758;-0.000000;-0.003650;-0.007846;0.000000;
18;7.867;0.933737;0.008026;0.999965;-0.002212;0.808002;0.999311;-0.007941;0.036248;2.110521;0.036229;-0.002501;-0.999340;0.431209;0.008065;0.999965;-0.002358;0.807962;0.999125;-0.007961;0.041048;2.108202;0.041028;-0.002687;-0.999154;0.431129;-0.034188;-0.000000;-0.000000;0.002862;0.000000;0.000000;0.000673;0.074890;-0.000000;0.001346;-0.031137;-0.000000;
19;7.92585;0.938065;0.008098;0.999965;-0.002134;0.807984;0.999135;-0.008005;0.040803;2.108457;0.040785;-0.002462;-0.999165;0.431170;0.008075;0.999965;-0.002359;0.807945;0.998937;-0.007960;0.045408;2.106163;0.045387;-0.002723;-0.998966;0.431045;-0.034017;-0.000000;-0.000000;0.002847;0.000000;0.000000;0.000596;0.072720;-0.000000;-0.001293;-0.036167;0.000000;
20;7.98598;0.933002;0.008105;0.999965;-0.002035;0.807961;0.998940;-0.008005;0.045336;2.106402;0.045319;-0.002400;-0.998970;0.431149;0.008085;0.999965;-0.002351;0.807929;0.998736;-0.007959;0.049624;2.104135;0.049604;-0.002749;-0.998765;0.430953;-0.033847;-0.000000;-0.000000;0.002832;0.000000;0.000000;0.000438;0.070357;0.000000;-0.002622;-0.039387;0.000000;
21;8.04594;0.933002;0.008096;0.999965;-0.001942;0.807938;0.998724;-0.007989;0.049868;2.104391;0.049850;-0.002344;-0.998754;0.431093;0.008095;0.999964;-0.002343;0.807913;0.998518;-0.007957;0.053840;2.102116;0.053820;-0.002776;-0.998547;0.430853;-0.033678;-0.000000;-0.000000;0.002818;0.000000;0.000000;0.000438;0.070357;0.000000;-0.000000;0.000000;-0.000000;
22;8.10597;0.933002;0.008076;0.999965;-0.002054;0.807919;0.998526;-0.007954;0.053684;2.102397;0.053666;-0.002485;-0.998556;0.430874;0.008105;0.999964;-0.002335;0.807896;0.998282;-0.007956;0.058055;2.100109;0.058034;-0.002802;-0.998311;0.430745;-0.033510;-0.000000;-0.000000;0.002803;0.000000;0.000000;0.000438;0.070357;0.000000;-0.000000;-0.000000;-0.000000;
23;8.16943;0.936453;0.008120;0.999965;-0.002159;0.807900;0.998304;-0.007982;0.057664;2.100377;0.057644;-0.002623;-0.998334;0.430725;0.008114;0.999964;-0.002360;0.807880;0.998045;-0.007952;0.061994;2.098112;0.061973;-0.002858;-0.998074;0.430629;-0.033342;-0.000000;-0.000000;0.002788;-0.000000;0.000000;0.000936;0.065760;-0.000000;0.008292;-0.076615;-0.000000;
24;8.26179;0.935244;0.008092;0.999965;-0.002209;0.807876;0.998059;-0.007940;0.061765;2.098393;0.061745;-0.002705;-0.998088;0.430619;0.008124;0.999964;-0.002379;0.807864;0.997791;-0.007949;0.065958;2.096125;0.065937;-0.002910;-0.997820;0.430505;-0.033176;-0.000000;-0.000000;0.002774;0.000000;0.000000;0.000867;0.066201;-0.000000;-0.001140;0.007353;0.000000;
25;8.31399;0.935244;0.007851;0.999966;-0.002320;0.807854;0.997863;-0.007684;0.064882;2.096647;0.064862;-0.002824;-0.997890;0.430503;0.008133;0.999964;-0.002399;0.807848;0.997521;-0.007946;0.069921;2.094149;0.069900;-0.002962;-0.997550;0.430375;-0.033010;-0.000000;-0.000000;0.002759;0.000000;0.000000;0.000867;0.066201;-0.000000;0.000000;0.000000;-0.000000;
26;8.37377;0.935244;0.008267;0.999963;-0.002369;0.807826;0.997546;-0.008083;0.069539;2.094398;0.069518;-0.002938;-0.997576;0.430385;0.008143;0.999964;-0.002419;0.807832;0.997235;-0.007942;0.073883;2.092183;0.073861;-0.003014;-0.997264;0.430237;-0.032846;-0.000000;-0.000000;0.002745;-0.000000;0.000000;0.000867;0.066201;-0.000000;0.000000;-0.000000;-0.000000;
27;8.43386;0.940650;0.008233;0.999963;-0.002394;0.807797;0.997263;-0.008035;0.073496;2.092440;0.073474;-0.002993;-0.997293;0.430286;0.008152;0.999964;-0.002423;0.807816;0.996933;-0.007939;0.077859;2.090227;0.077837;-0.003051;-0.996961;0.430092;-0.032682;-0.000000;-0.000000;0.002730;0.000000;0.000000;0.000615;0.066448;-0.000000;-0.004200;0.004121;0.000000;
28;8.49374;0.940650;0.008266;0.999963;-0.002417;0.807764;0.996975;-0.008054;0.077310;2.090482;0.077287;-0.003049;-0.997004;0.430154;0.008162;0.999964;-0.002428;0.807800;0.996614;-0.007936;0.081833;2.088282;0.081811;-0.003087;-0.996643;0.429940;-0.032519;-0.000000;-0.000000;0.002716;-0.000000;0.000000;0.000615;0.066448;-0.000000;0.000000;0.000000;-0.000000;
29;8.55376;0.940650;0.008300;0.999963;-0.002398;0.807727;0.996662;-0.008078;0.081244;2.088550;0.081221;-0.003064;-0.996691;0.429990;0.008172;0.999964;-0.002432;0.807784;0.996280;-0.007933;0.085806;2.086347;0.085784;-0.003124;-0.996309;0.429781;-0.032357;-0.000000;-0.000000;0.002702;0.000000;0.000000;0.000615;0.066448;-0.000000;0.000000;-0.000000;-0.000000;
30;8.61378;0.940419;0.008348;0.999962;-0.002407;0.807686;0.996322;-0.008113;0.085300;2.086610;0.085278;-0.003110;-0.996352;0.429818;0.008181;0.999964;-0.002392;0.807768;0.995939;-0.007934;0.089679;2.084423;0.089657;-0.003116;-0.995968;0.429616;-0.032196;-0.000000;-0.000000;0.002687;0.000000;0.000000;-0.000138;0.064803;0.000000;-0.012555;-0.027420;0.000000;
31;8.67376;0.940419;0.008282;0.999963;-0.002407;0.807642;0.995984;-0.008034;0.089172;2.084715;0.089149;-0.003136;-0.996013;0.429657;0.008190;0.999964;-0.002352;0.807753;0.995583;-0.007934;0.093551;2.082509;0.093529;-0.003108;-0.995612;0.429443;-0.032035;-0.000000;-0.000000;0.002673;0.000000;0.000000;-0.000138;0.064803;0.000000;-0.000000;0.000000;-0.000000;
32;8.73377;0.940419;0.008229;0.999963;-0.002337;0.807593;0.995628;-0.007976;0.093062;2.082783;0.093040;-0.003093;-0.995658;0.429506;0.008199;0.999964;-0.002312;0.807737;0.995212;-0.007935;0.097421;2.080605;0.097399;-0.003099;-0.995241;0.429265;-0.031876;-0.000000;-0.000000;0.002659;0.000000;0.000000;-0.000138;0.064803;0.000000;-0.000000;0.000000;-0.000000;
33;8.79389;0.941103;0.008261;0.999963;-0.002304;0.807540;0.995259;-0.007999;0.096932;2.080888;0.096910;-0.003094;-0.995288;0.429297;0.008208;0.999964;-0.002274;0.807721;0.994831;-0.007936;0.101230;2.078711;0.101208;-0.003093;-0.994860;0.429079;-0.031717;-0.000000;-0.000000;0.002645;0.000000;0.000000;-0.000112;0.063805;0.000000;0.000434;-0.016627;-0.000000;
34;8.8539;0.936943;0.008284;0.999963;-0.002307;0.807500;0.994895;-0.008010;0.100598;2.078974;0.100576;-0.003129;-0.994924;0.429090;0.008217;0.999964;-0.002226;0.807706;0.994422;-0.007937;0.105178;2.076827;0.105156;-0.003077;-0.994451;0.428888;-0.031559;-0.000000;-0.000000;0.002630;-0.000000;0.000000;-0.000257;0.066153;0.000000;-0.002422;0.039129;0.000000;
35;8.91397;0.938532;0.008212;0.999964;-0.002247;0.807449;0.994473;-0.007931;0.104689;2.077096;0.104667;-0.003095;-0.994502;0.428896;0.008226;0.999964;-0.002183;0.807690;0.993996;-0.007939;0.109128;2.074953;0.109107;-0.003068;-0.994025;0.428689;-0.031402;-0.000000;-0.000000;0.002616;-0.000000;0.000000;-0.000160;0.066226;0.000000;0.001623;0.001214;-0.000000;
36;8.97447;0.936416;0.008290;0.999963;-0.002201;0.807429;0.994063;-0.008002;0.108515;2.075190;0.108494;-0.003087;-0.994092;0.428738;0.008234;0.999964;-0.002137;0.807675;0.993559;-0.007940;0.113040;2.073090;0.113019;-0.003054;-0.993588;0.428485;-0.031246;-0.000000;-0.000000;0.002602;0.000000;0.000000;-0.000240;0.065600;0.000000;-0.001338;-0.010435;0.000000;
37;9.0338;0.940131;0.008248;0.999964;-0.002173;0.807482;0.993617;-0.007951;0.112524;2.073326;0.112503;-0.003087;-0.993647;0.428497;0.008242;0.999964;-0.002086;0.807660;0.993119;-0.007942;0.116841;2.071236;0.116820;-0.003035;-0.993148;0.428274;-0.031091;-0.000000;-0.000000;0.002588;0.000000;0.000000;-0.000319;0.063785;0.000000;-0.001311;-0.030247;0.000000;
38;9.0938;0.943322;0.008267;0.999964;-0.002114;0.807514;0.993186;-0.007966;0.116266;2.071462;0.116245;-0.003061;-0.993216;0.428286;0.008250;0.999964;-0.002051;0.807644;0.992671;-0.007943;0.120589;2.069393;0.120569;-0.003031;-0.992700;0.428057;-0.030936;-0.000000;-0.000000;0.002574;-0.000000;0.000000;-0.000058;0.062919;0.000000;0.004343;-0.014437;-0.000000;
39;9.15391;0.938471;0.008263;0.999964;-0.002069;0.807524;0.992739;-0.007955;0.120027;2.069642;0.120006;-0.003045;-0.992768;0.428101;0.008258;0.999964;-0.002026;0.807629;0.992212;-0.007942;0.124304;2.067559;0.124283;-0.003036;-0.992242;0.427835;-0.030783;-0.000000;-0.000000;0.002560;0.000000;0.000000;0.000088;0.062377;0.000000;0.002439;-0.009031;-0.000000;
40;9.21374;0.938471;0.008223;0.999964;-0.001975;0.807567;0.992255;-0.007914;0.123968;2.067821;0.123948;-0.002979;-0.992284;0.427895;0.008265;0.999964;-0.002000;0.807614;0.991740;-0.007941;0.128016;2.065736;0.127996;-0.003042;-0.991770;0.427606;-0.030630;-0.000000;-0.000000;0.002546;0.000000;0.000000;0.000088;0.062377;0.000000;-0.000000;0.000000;-0.000000;
41;9.274;0.940814;0.008193;0.999964;-0.001980;0.807564;0.991806;-0.007874;0.127507;2.065992;0.127487;-0.003009;-0.991836;0.427684;0.008273;0.999964;-0.002000;0.807599;0.991257;-0.007937;0.131704;2.063922;0.131683;-0.003072;-0.991287;0.427372;-0.030478;-0.000000;-0.000000;0.002533;0.000000;0.000000;0.000510;0.061983;-0.000000;0.007030;-0.006557;-0.000000;
