message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
0;0;0.000000;0.007917;0.999956;-0.005053;0.780058;0.999795;-0.008010;-0.018596;2.080186;-0.018635;-0.004905;-0.999814;0.432600;0.007917;0.999956;-0.005053;0.780444;0.999795;-0.008010;-0.018596;2.081194;-0.018635;-0.004905;-0.999814;0.432580;0.016865;0.006290;0.000000;0.281085;0.104838;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
1;0.0599442;0.000000;0.008162;0.999954;-0.005043;0.780167;0.999793;-0.008255;-0.018606;2.080636;-0.018646;-0.004891;-0.999814;0.432596;0.007917;0.999956;-0.005053;0.781158;0.999795;-0.008010;-0.018596;2.083061;-0.018635;-0.004905;-0.999814;0.432541;0.031217;0.011659;0.000000;0.239193;0.089471;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
2;0.119819;0.000000;0.007991;0.999956;-0.005008;0.780735;0.999794;-0.008084;-0.018644;2.082338;-0.018684;-0.004858;-0.999814;0.432602;0.007917;0.999956;-0.005053;0.781871;0.999795;-0.008010;-0.018596;2.084929;-0.018635;-0.004905;-0.999814;0.432503;0.031228;0.011637;0.000000;0.000181;-0.000354;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
3;0.179829;0.000000;0.007734;0.999958;-0.004962;0.781590;0.999795;-0.007825;-0.018694;2.084532;-0.018732;-0.004817;-0.999813;0.432611;0.007917;0.999956;-0.005053;0.782581;0.999795;-0.008010;-0.018596;2.086784;-0.018635;-0.004905;-0.999814;0.432465;0.031014;0.011592;0.000000;-0.003560;-0.000759;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
4;0.23991;0.000000;0.007771;0.999958;-0.004922;0.782386;0.999794;-0.007862;-0.018737;2.086449;-0.018775;-0.004776;-0.999812;0.432618;0.007917;0.999956;-0.005053;0.783271;0.999795;-0.008010;-0.018596;2.088568;-0.018635;-0.004905;-0.999814;0.432428;0.029826;0.011258;0.000000;-0.019798;-0.005566;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
5;0.299919;0.000000;0.007791;0.999958;-0.004883;0.783145;0.999793;-0.007881;-0.018758;2.088310;-0.018796;-0.004736;-0.999812;0.432617;0.007917;0.999956;-0.005053;0.783960;0.999795;-0.008010;-0.018596;2.090351;-0.018635;-0.004905;-0.999814;0.432392;0.029826;0.011258;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
6;0.359837;0.000000;0.007886;0.999957;-0.004846;0.783832;0.999792;-0.007976;-0.018797;2.090064;-0.018835;-0.004697;-0.999812;0.432609;0.007917;0.999956;-0.005053;0.784615;0.999795;-0.008010;-0.018596;2.092033;-0.018635;-0.004905;-0.999814;0.432357;0.028123;0.010684;0.000000;-0.028381;-0.009567;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
7;0.419846;0.000000;0.007900;0.999957;-0.004923;0.784532;0.999787;-0.007992;-0.019018;2.091803;-0.019056;-0.004772;-0.999807;0.432561;0.007917;0.999956;-0.005053;0.785247;0.999795;-0.008010;-0.018596;2.093657;-0.018635;-0.004905;-0.999814;0.432324;0.027144;0.010330;0.000000;-0.016321;-0.005892;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
8;0.47983;0.000000;0.007924;0.999956;-0.004976;0.785153;0.999785;-0.008017;-0.019114;2.093425;-0.019153;-0.004823;-0.999805;0.432439;0.007917;0.999956;-0.005053;0.785867;0.999795;-0.008010;-0.018596;2.095247;-0.018635;-0.004905;-0.999814;0.432291;0.026593;0.010124;0.000000;-0.009185;-0.003445;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
9;0.539989;0.000000;0.007937;0.999956;-0.005013;0.785800;0.999788;-0.008031;-0.018985;2.095041;-0.019025;-0.004861;-0.999807;0.432336;0.007917;0.999956;-0.005053;0.786477;0.999795;-0.008010;-0.018596;2.096812;-0.018635;-0.004905;-0.999814;0.432259;0.026171;0.009956;0.000000;-0.007031;-0.002788;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
10;0.609596;0.000000;0.007948;0.999956;-0.005012;0.786430;0.999794;-0.008040;-0.018652;2.096625;-0.018692;-0.004863;-0.999813;0.432299;0.007917;0.999956;-0.005053;0.787072;0.999795;-0.008010;-0.018596;2.098323;-0.018635;-0.004905;-0.999814;0.432228;0.025256;0.009714;0.000000;-0.015257;-0.004037;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
11;0.663022;0.000000;0.007970;0.999956;-0.005017;0.786991;0.999796;-0.008061;-0.018522;2.098117;-0.018561;-0.004868;-0.999816;0.432249;0.007917;0.999956;-0.005053;0.787654;0.999795;-0.008010;-0.018596;2.099803;-0.018635;-0.004905;-0.999814;0.432197;0.024758;0.009506;0.000000;-0.008293;-0.003465;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
12;0.722715;0.000000;0.007968;0.999956;-0.005047;0.787579;0.999798;-0.008060;-0.018431;2.099602;-0.018471;-0.004899;-0.999817;0.432212;0.007917;0.999956;-0.005053;0.788218;0.999795;-0.008010;-0.018596;2.101227;-0.018635;-0.004905;-0.999814;0.432168;0.023809;0.009212;0.000000;-0.015822;-0.004899;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
13;0.781866;0.000000;0.007942;0.999956;-0.005041;0.788167;0.999798;-0.008033;-0.018402;2.101063;-0.018442;-0.004894;-0.999818;0.432187;0.007917;0.999956;-0.005053;0.788782;0.999795;-0.008010;-0.018596;2.102651;-0.018635;-0.004905;-0.999814;0.432138;0.023809;0.009212;0.000000;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
14;0.841855;0.000000;0.007942;0.999956;-0.005037;0.788720;0.999798;-0.008033;-0.018433;2.102466;-0.018473;-0.004890;-0.999817;0.432168;0.007917;0.999956;-0.005053;0.789319;0.999795;-0.008010;-0.018596;2.104000;-0.018635;-0.004905;-0.999814;0.432111;0.022567;0.008766;0.000000;-0.020686;-0.007435;-0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
