message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
73;4.39595;0.000000;0.663241;2.094981;0.246050;1.276596;-1.257772;0.139606
74;4.45597;0.000000;0.663025;2.094779;0.246712;1.275379;-1.259059;0.140654
75;4.51596;0.000000;0.662754;2.094593;0.247409;1.274154;-1.260473;0.141650
76;4.57601;0.000000;0.662578;2.094397;0.248059;1.273218;-1.261379;0.143461
77;4.63597;0.000000;0.662358;2.094196;0.248697;1.272223;-1.262410;0.145130
78;4.69597;0.000000;0.662121;2.094002;0.249276;1.271166;-1.263488;0.146654
79;4.75595;0.000000;0.661885;2.093793;0.249886;1.270011;-1.264776;0.147887
80;4.81594;0.000000;0.661661;2.093606;0.250469;1.268918;-1.265915;0.149209
81;4.876;0.000000;0.661442;2.093405;0.251000;1.267774;-1.267184;0.150407
82;4.93595;0.000000;0.661224;2.093196;0.251556;1.266622;-1.268459;0.151598
83;4.99596;0.000000;0.660996;2.092973;0.252055;1.265548;-1.269548;0.152958
84;5.05597;0.000000;0.660811;2.092750;0.252577;1.264498;-1.270566;0.154408
85;5.11593;0.000000;0.660574;2.092505;0.253030;1.263312;-1.271882;0.155512
86;5.17597;0.000000;0.660306;2.092254;0.253492;1.262156;-1.273085;0.156717
87;5.23597;0.000000;0.660101;2.092038;0.253952;1.261113;-1.274136;0.158207
88;5.29595;0.000000;0.659913;2.091808;0.254343;1.260028;-1.275228;0.159560
89;5.35598;0.000000;0.659701;2.091578;0.254741;1.258938;-1.276373;0.160834
90;5.41595;0.000000;0.659475;2.091319;0.255175;1.257760;-1.277644;0.161995
91;5.47596;0.000000;0.659329;2.091059;0.255509;1.256596;-1.278901;0.163234
92;5.53597;0.000000;0.659123;2.090807;0.255862;1.255471;-1.280107;0.164526
93;5.59597;0.000000;0.658895;2.090556;0.256229;1.254404;-1.281163;0.165896
94;5.65594;0.000000;0.658680;2.090305;0.256548;1.253235;-1.282413;0.167022
95;5.71598;0.000000;0.658519;2.090068;0.256856;1.252106;-1.283591;0.168354
96;5.77595;0.000000;0.658577;2.089796;0.257591;1.253808;-1.297486;0.172136
97;5.83796;0.000000;0.658150;2.089616;0.257846;1.258909;-1.308746;0.177653
98;5.89793;0.000000;0.658640;2.089539;0.257902;1.263338;-1.320638;0.181658
99;5.95794;0.000000;0.659311;2.089508;0.257906;1.267343;-1.332939;0.185645
100;6.018;0.000000;0.660214;2.089502;0.257889;1.270951;-1.345625;0.189128
101;6.07995;0.000000;0.661337;2.089652;0.257902;1.274345;-1.358362;0.192603
102;6.13986;0.000000;0.662616;2.090035;0.257938;1.278112;-1.370316;0.196924
103;6.19987;0.000000;0.664101;2.090466;0.257988;1.281316;-1.383117;0.200719
104;6.25991;0.000000;0.665697;2.090963;0.258084;1.284513;-1.395637;0.204596
105;6.31997;0.000000;0.667438;2.091526;0.258256;1.287520;-1.408468;0.208110
106;6.37992;0.000000;0.669283;2.092068;0.258454;1.290595;-1.420590;0.212378
107;6.43991;0.000000;0.671207;2.092633;0.258716;1.293257;-1.433613;0.215502
108;6.49999;0.000000;0.673213;2.093260;0.259035;1.295988;-1.445921;0.219507
