message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783718;2.078812;0.187208;-0.086591;3.127100;1.516333;
1;0.0518843;0.000000;0.783718;2.078812;0.187208;-0.086591;3.127100;1.516333;
2;0.11186;0.000000;0.783733;2.079231;0.187088;-0.086583;3.127099;1.516257;
3;0.174088;0.000000;0.783797;2.080799;0.185963;-0.085143;3.127100;1.517595;
4;0.233868;0.000000;0.784054;2.083519;0.184192;-0.085091;3.127099;1.517314;
5;0.293903;0.000000;0.784709;2.087070;0.181880;-0.085022;3.127098;1.517251;
6;0.353957;0.000000;0.785501;2.091487;0.178938;-0.084935;3.127096;1.517299;
7;0.414811;0.000000;0.786287;2.096254;0.175845;-0.084841;3.127094;1.517424;
8;0.473875;0.000000;0.787023;2.100840;0.172795;-0.084751;3.127092;1.517710;
9;0.533915;0.000000;0.787758;2.105442;0.169750;-0.084659;3.127091;1.517922;
10;0.593917;0.000000;0.788470;2.109966;0.166813;-0.084569;3.127089;1.518145;
11;0.65402;0.000000;0.789122;2.114418;0.163971;-0.084479;3.127087;1.518316;
12;0.713906;0.000000;0.789815;2.118878;0.161165;-0.084389;3.127086;1.518519;
13;0.773916;0.000000;0.790468;2.123397;0.158340;-0.084298;3.127084;1.518513;
14;0.833875;0.000000;0.791146;2.127699;0.155556;-0.084210;3.127082;1.518684;
15;0.893886;0.000000;0.791779;2.131921;0.152796;-0.084124;3.127081;1.518845;
16;0.953926;0.000000;0.792425;2.136098;0.150094;-0.084038;3.127079;1.518924;
17;1.01384;0.000000;0.793054;2.140308;0.147438;-0.083951;3.127078;1.518920;
18;1.07376;0.000000;0.793636;2.144377;0.144836;-0.083867;3.127076;1.519103;
19;1.1339;0.000000;0.794243;2.148444;0.142280;-0.083783;3.127075;1.519199;
20;1.19388;0.000000;0.794853;2.152442;0.139853;-0.083700;3.127074;1.519329;
21;1.25389;0.000000;0.795425;2.156374;0.137521;-0.083617;3.127072;1.519364;
22;1.31515;0.000000;0.796008;2.160263;0.135187;-0.083536;3.127071;1.519381;
23;1.37387;0.000000;0.796588;2.164079;0.132851;-0.083456;3.127070;1.519487;
24;1.43386;0.000000;0.797159;2.167845;0.130547;-0.084898;3.127077;1.517999;
25;1.49384;0.000000;0.797712;2.171429;0.128322;-0.084825;3.127076;1.518115;
26;1.5589;0.000000;0.798274;2.175073;0.126154;-0.084750;3.127075;1.518140;
27;1.61474;0.000000;0.798808;2.178538;0.124044;-0.084678;3.127073;1.518295;
28;1.67888;0.000000;0.799316;2.181954;0.121999;-0.084608;3.127072;1.518421;
29;1.74795;0.000000;0.799764;2.185082;0.120087;-0.084543;3.127071;1.518761;
30;1.80793;0.000000;0.800327;2.188630;0.118124;-0.084469;3.127070;1.518478;
31;1.86783;0.000000;0.800790;2.191990;0.116253;-0.084399;3.127068;1.518466;
32;1.92777;0.000000;0.801316;2.195221;0.114432;-0.084332;3.127067;1.518578;
33;1.98881;0.000000;0.801804;2.198358;0.112622;-0.084266;3.127066;1.518601;
34;2.04789;0.000000;0.802275;2.201392;0.110895;-0.084203;3.127065;1.518742;
35;2.10787;0.000000;0.802736;2.204404;0.109136;-0.084139;3.127064;1.518825;
36;2.16785;0.000000;0.803169;2.207321;0.107460;-0.084078;3.127063;1.518885;
37;2.22788;0.000000;0.803583;2.210091;0.105880;-0.084020;3.127062;1.518959;
38;2.28788;0.000000;0.803996;2.212811;0.104340;-0.083962;3.127061;1.519037;
39;2.34786;0.000000;0.804415;2.215510;0.102810;-0.083905;3.127060;1.519112;
40;2.40787;0.000000;0.804800;2.218120;0.101352;-0.083850;3.127059;1.519122;
41;2.46787;0.000000;0.805202;2.220573;0.099988;-0.082422;3.127063;1.520584;
42;2.5279;0.000000;0.805603;2.223034;0.098622;-0.082371;3.127062;1.520638;
43;2.58787;0.000000;0.805977;2.225450;0.097334;-0.082320;3.127061;1.520654;
44;2.64792;0.000000;0.806334;2.227725;0.096101;-0.082273;3.127061;1.520685;
45;2.70982;0.000000;0.806683;2.229943;0.094876;-0.083785;3.127067;1.519215;
46;2.76985;0.000000;0.807028;2.232134;0.093701;-0.083741;3.127067;1.519223;
47;2.82974;0.000000;0.807352;2.234172;0.092629;-0.083699;3.127066;1.519309;
48;2.88989;0.000000;0.807648;2.236218;0.091564;-0.083657;3.127065;1.519321;
49;2.94986;0.000000;0.807972;2.238151;0.090568;-0.082247;3.127069;1.520731;
50;3.00974;0.000000;0.808243;2.239938;0.089649;-0.082211;3.127069;1.520797;
51;3.07488;0.000000;0.808536;2.241740;0.088751;-0.082174;3.127068;1.520777;
52;3.12988;0.000000;0.808829;2.243535;0.087845;-0.082138;3.127068;1.520789;
53;3.18989;0.000000;0.809077;2.245230;0.086989;-0.083672;3.127074;1.519254;
54;3.25073;0.000000;0.809330;2.246772;0.086184;-0.083642;3.127074;1.519342;
55;3.30991;0.000000;0.809585;2.248336;0.085363;-0.085182;3.127080;1.517797;
56;3.36983;0.000000;0.809838;2.249800;0.084605;-0.085154;3.127080;1.517831;
57;3.42973;0.000000;0.810049;2.251162;0.083867;-0.086702;3.127086;1.516313;
58;3.48988;0.000000;0.810259;2.252558;0.083154;-0.086675;3.127086;1.516295;
59;3.54985;0.000000;0.810486;2.253841;0.082483;-0.086651;3.127085;1.516340;
60;3.60989;0.000000;0.810658;2.255034;0.081871;-0.086629;3.127085;1.516309;
61;3.66987;0.000000;0.810855;2.256182;0.081261;-0.088185;3.127091;1.514770;
62;3.72991;0.000000;0.811002;2.257274;0.080712;-0.088165;3.127090;1.514814;
63;3.78987;0.000000;0.811214;2.258350;0.080158;-0.088145;3.127090;1.514843;
64;3.84989;0.000000;0.811395;2.259377;0.079666;-0.088126;3.127090;1.514834;
65;3.90984;0.000000;0.811532;2.260360;0.079125;-0.088108;3.127089;1.514853;
66;3.96988;0.000000;0.811681;2.261355;0.078600;-0.088089;3.127089;1.514830;
67;4.02987;0.000000;0.811853;2.262247;0.078176;-0.088073;3.127088;1.514870;
68;4.09049;0.000000;0.811989;2.263105;0.077678;-0.088057;3.127088;1.514896;
69;4.14986;0.000000;0.812148;2.263949;0.077238;-0.088041;3.127088;1.514919;
70;4.20996;0.000000;0.812269;2.264761;0.076826;-0.088026;3.127087;1.514907;
71;4.26987;0.000000;0.812401;2.265438;0.076421;-0.088013;3.127087;1.514965;
72;4.3299;0.000000;0.812515;2.266131;0.076060;-0.088001;3.127087;1.514971;
73;4.39004;0.000000;0.812628;2.266805;0.075704;-0.087988;3.127087;1.514953;
74;4.44986;0.000000;0.812743;2.267417;0.075320;-0.087977;3.127086;1.514992;
75;4.50986;0.000000;0.812838;2.268061;0.074960;-0.087965;3.127086;1.514981;
76;4.5698;0.000000;0.812927;2.268678;0.074614;-0.087953;3.127086;1.515000;
77;4.62989;0.000000;0.813053;2.269210;0.074326;-0.087943;3.127086;1.515030;
78;4.68991;0.000000;0.813140;2.269754;0.073975;-0.087933;3.127086;1.515050;
79;4.74987;0.000000;0.813198;2.270293;0.073650;-0.087923;3.127085;1.515006;
80;4.80977;0.000000;0.813277;2.270745;0.073392;-0.087915;3.127085;1.515026;
81;4.86989;0.000000;0.813368;2.271180;0.073133;-0.087906;3.127085;1.515077;
82;4.92974;0.000000;0.813440;2.271640;0.072869;-0.087898;3.127085;1.515045;
83;4.98979;0.000000;0.813496;2.272069;0.072577;-0.087890;3.127085;1.515041;
84;5.04989;0.000000;0.813572;2.272457;0.072338;-0.087883;3.127084;1.515076;
85;5.10983;0.000000;0.813628;2.272851;0.072089;-0.087875;3.127084;1.515079;
86;5.16981;0.000000;0.813689;2.273199;0.071876;-0.087869;3.127084;1.515044;
87;5.22974;0.000000;0.813752;2.273530;0.071682;-0.087863;3.127084;1.515115;
88;5.28988;0.000000;0.813795;2.273867;0.071399;-0.087856;3.127084;1.515101;
89;5.34985;0.000000;0.813866;2.274163;0.071216;-0.087851;3.127084;1.515114;
90;5.40971;0.000000;0.813906;2.274444;0.071013;-0.087845;3.127084;1.515125;
91;5.46986;0.000000;0.813980;2.274713;0.070764;-0.087841;3.127084;1.515102;
92;5.52991;0.000000;0.814004;2.274964;0.070593;-0.087836;3.127083;1.515164;
93;5.58996;0.000000;0.814037;2.275208;0.070434;-0.087831;3.127083;1.515117;
94;5.64988;0.000000;0.814065;2.275450;0.070251;-0.087827;3.127083;1.515113;
95;5.70984;0.000000;0.814107;2.275686;0.070090;-0.087822;3.127083;1.515119;
96;5.76988;0.000000;0.814135;2.275907;0.069907;-0.086461;3.127089;1.516469;
97;5.82987;0.000000;0.814178;2.276112;0.069742;-0.085100;3.127094;1.517806;
98;5.88984;0.000000;0.814209;2.276309;0.069577;-0.085097;3.127094;1.517797;
99;5.94986;0.000000;0.814246;2.276490;0.069431;-0.085093;3.127094;1.517850;
100;6.01114;0.000000;0.814268;2.276664;0.069316;-0.083732;3.127100;1.519217;
101;6.06987;0.000000;0.814291;2.276805;0.069201;-0.083729;3.127099;1.519190;
102;6.1299;0.000000;0.814335;2.276950;0.069055;-0.083727;3.127099;1.519207;
103;6.18991;0.000000;0.814335;2.277106;0.068943;-0.083724;3.127099;1.519204;
104;6.25491;0.000000;0.814356;2.277246;0.068787;-0.083722;3.127099;1.519209;
105;6.30999;0.000000;0.814390;2.277381;0.068677;-0.083719;3.127099;1.519214;
106;6.36988;0.000000;0.814410;2.277512;0.068552;-0.083717;3.127099;1.519262;
107;6.42989;0.000000;0.814432;2.277654;0.068401;-0.083715;3.127099;1.519235;
108;6.4899;0.000000;0.814470;2.277771;0.068298;-0.083713;3.127099;1.519215;
109;6.54988;0.000000;0.814471;2.277881;0.068223;-0.083711;3.127099;1.519207;
110;6.61993;0.000000;0.814480;2.277983;0.068105;-0.083709;3.127099;1.519230;
111;6.67189;0.960337;0.814487;2.278011;0.068073;-0.083708;3.127099;1.519233;
112;6.73191;0.960337;0.814572;2.277551;0.068051;-0.083717;3.127099;1.519491;
113;6.79192;0.961404;0.814772;2.275876;0.067979;-0.073768;3.127114;1.529631;
114;6.8519;0.957721;0.814747;2.273784;0.067972;0.010375;3.127095;1.613956;
115;6.91192;0.955229;0.814588;2.272093;0.068001;0.132071;3.126811;1.735544;
116;6.97207;0.951278;0.814431;2.270273;0.068055;0.239680;3.126404;1.843099;
117;7.03197;0.951278;0.814279;2.268530;0.068042;0.385893;3.125576;1.989272;
118;7.09175;0.957260;0.814222;2.266850;0.068031;0.535585;3.124275;2.138718;
119;7.15178;0.955795;0.814122;2.265229;0.068041;0.683451;3.122418;2.286468;
120;7.21173;0.960873;0.814047;2.263518;0.068029;0.822303;3.119620;2.425297;
121;7.27173;0.958538;0.814009;2.261823;0.068024;0.941866;3.116095;2.544709;
122;7.33173;0.962296;0.813930;2.260069;0.068002;1.040958;3.111739;2.643768;
123;7.39174;0.961808;0.813856;2.258397;0.067950;1.126984;3.106185;2.729822;
124;7.45175;0.961808;0.813820;2.256732;0.067892;1.194056;3.099948;2.796786;
125;7.51186;0.960402;0.813759;2.255052;0.067841;1.247135;3.093005;2.849781;
126;7.57173;0.965134;0.813664;2.253347;0.067734;1.290606;3.085259;2.893214;
127;7.63176;0.968303;0.813606;2.251753;0.067643;1.325982;3.076403;2.928521;
128;7.6919;0.968380;0.813595;2.250079;0.067584;1.354058;3.066879;2.956558;
129;7.75176;0.968380;0.813525;2.248401;0.067446;1.377459;3.056747;2.979928;
130;7.81177;0.967467;0.813465;2.246826;0.067331;1.396789;3.046021;2.999082;
131;7.87189;0.967467;0.813415;2.245135;0.067155;1.411808;3.035375;3.014061;
132;7.9319;0.970481;0.813364;2.243516;0.066985;1.424218;3.024473;3.026385;
133;7.99192;0.970717;0.813335;2.241858;0.066808;1.434792;3.013411;3.037010;
134;8.05186;0.975071;0.813257;2.240318;0.066562;1.443638;3.001947;3.045716;
135;8.11186;0.974525;0.813219;2.238683;0.066361;1.451418;2.990310;3.053391;
136;8.17276;0.970586;0.813191;2.237095;0.066101;1.458191;2.978743;3.060045;
137;8.23203;0.974002;0.813176;2.235504;0.065844;1.464302;2.966752;3.066050;
138;8.2919;0.973009;0.813103;2.233987;0.065564;1.469672;2.955014;3.071250;
139;8.35188;0.973009;0.813058;2.232351;0.065243;1.474468;2.943513;3.075920;
140;8.41189;0.974680;0.812982;2.230777;0.064937;1.478550;2.931945;3.079935;
141;8.4719;0.976239;0.812942;2.229195;0.064594;1.482583;2.920024;3.083865;
142;8.53197;0.975407;0.812923;2.227703;0.064238;1.486236;2.907940;3.087393;
143;8.59186;0.975407;0.812912;2.226166;0.063900;1.489231;2.895643;3.090319;
144;8.65192;0.973401;0.812885;2.224772;0.063590;1.491829;2.883012;3.092689;
145;8.71182;0.975339;0.812876;2.223310;0.063243;1.494509;2.869989;3.095351;
146;8.77179;0.974432;0.812808;2.221751;0.062778;1.498039;2.857071;3.098745;
147;8.83177;0.974432;0.812748;2.220147;0.062283;1.501358;2.844195;3.102028;
148;8.89187;0.972985;0.812691;2.218631;0.061810;1.504259;2.830938;3.104873;
149;8.95189;0.973858;0.812607;2.217088;0.061346;1.506984;2.817598;3.107665;
150;9.01185;0.979554;0.812489;2.215629;0.060854;1.509495;2.803922;3.110012;
151;9.07189;0.978267;0.812351;2.214230;0.060387;1.511737;2.790115;3.112094;
152;9.13187;0.979086;0.812193;2.212678;0.059862;1.513633;2.776482;3.113825;
153;9.19193;0.979120;0.812080;2.211282;0.059318;1.515380;2.762573;3.115375;
154;9.25192;0.979120;0.812107;2.209854;0.058755;1.516890;2.749043;3.116647;
