message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783666;2.078742;0.187166;-0.107248;3.127265;1.495668;
1;0.0520194;0.000000;0.783666;2.078742;0.187166;-0.107248;3.127265;1.495668;
2;0.111991;0.000000;0.783681;2.079109;0.186944;-0.107245;3.127264;1.495482;
3;0.172005;0.000000;0.783743;2.080544;0.185664;-0.107235;3.127263;1.495421;
4;0.232007;0.000000;0.783842;2.083123;0.183698;-0.107217;3.127261;1.495144;
5;0.29205;0.000000;0.784005;2.085949;0.181602;-0.107196;3.127259;1.495028;
6;0.352027;0.000000;0.784277;2.088507;0.179574;-0.107177;3.127257;1.495186;
7;0.411901;0.000000;0.784568;2.091007;0.177559;-0.107157;3.127256;1.495326;
8;0.471974;0.000000;0.784870;2.093490;0.175557;-0.107138;3.127254;1.495476;
9;0.531937;0.000000;0.785129;2.095907;0.173620;-0.107119;3.127252;1.495520;
10;0.591891;0.000000;0.785338;2.098180;0.171738;-0.107100;3.127250;1.495678;
11;0.651869;0.000000;0.785569;2.100445;0.169880;-0.107082;3.127248;1.495759;
12;0.711945;0.000000;0.785769;2.102695;0.168058;-0.107063;3.127247;1.495827;
13;0.77189;0.000000;0.785966;2.104945;0.166248;-0.107044;3.127245;1.495842;
14;0.831885;0.000000;0.786146;2.107093;0.164522;-0.107025;3.127244;1.495877;
15;0.891884;0.000000;0.786346;2.109174;0.162821;-0.107007;3.127242;1.495959;
16;0.951894;0.000000;0.786520;2.111229;0.161120;-0.106989;3.127240;1.495973;
17;1.01186;0.000000;0.786674;2.113217;0.159467;-0.106971;3.127239;1.496033;
18;1.07187;0.000000;0.786853;2.115214;0.157809;-0.106953;3.127238;1.496018;
19;1.13186;0.000000;0.787003;2.117149;0.156168;-0.105521;3.127239;1.497411;
20;1.19184;0.000000;0.787132;2.119001;0.154582;-0.105504;3.127237;1.497411;
21;1.25195;0.000000;0.787286;2.120837;0.152995;-0.105487;3.127236;1.497432;
22;1.31185;0.000000;0.787463;2.122623;0.151427;-0.105471;3.127235;1.497458;
23;1.37187;0.000000;0.787600;2.124400;0.149871;-0.105454;3.127233;1.497483;
24;1.43186;0.000000;0.787734;2.126106;0.148363;-0.104025;3.127235;1.498900;
25;1.4919;0.000000;0.787857;2.127738;0.146897;-0.104010;3.127234;1.499006;
26;1.55197;0.000000;0.787984;2.129354;0.145467;-0.103995;3.127232;1.499022;
27;1.61189;0.000000;0.788084;2.130927;0.144091;-0.103980;3.127231;1.498990;
28;1.67184;0.000000;0.788223;2.132415;0.142739;-0.103966;3.127230;1.499025;
29;1.73198;0.000000;0.788353;2.133938;0.141417;-0.103951;3.127229;1.499009;
30;1.79277;0.000000;0.788461;2.135401;0.140107;-0.103937;3.127228;1.499007;
31;1.85214;0.000000;0.788555;2.136812;0.138851;-0.103924;3.127227;1.499011;
32;1.91202;0.000000;0.788656;2.138173;0.137601;-0.103910;3.127226;1.498976;
33;1.97203;0.000000;0.788772;2.139491;0.136375;-0.103897;3.127225;1.499012;
34;2.03203;0.000000;0.788859;2.140757;0.135185;-0.103885;3.127225;1.499108;
35;2.09203;0.000000;0.788959;2.142016;0.133995;-0.103872;3.127224;1.499093;
36;2.15203;0.000000;0.789066;2.143215;0.132823;-0.103860;3.127223;1.499126;
37;2.21208;0.000000;0.789144;2.144404;0.131681;-0.103848;3.127222;1.499060;
38;2.27205;0.000000;0.789234;2.145543;0.130551;-0.103836;3.127221;1.499119;
39;2.33196;0.000000;0.789278;2.146680;0.129457;-0.103825;3.127221;1.499189;
40;2.39197;0.000000;0.789345;2.147792;0.128380;-0.103813;3.127220;1.499179;
41;2.452;0.000000;0.789448;2.148829;0.127328;-0.103802;3.127219;1.499204;
42;2.51198;0.000000;0.789502;2.149890;0.126276;-0.103791;3.127218;1.499178;
43;2.57202;0.000000;0.789551;2.150933;0.125253;-0.103780;3.127218;1.499171;
44;2.632;0.000000;0.789614;2.151900;0.124273;-0.103770;3.127217;1.499155;
45;2.69216;0.000000;0.789701;2.152843;0.123310;-0.103760;3.127216;1.499169;
46;2.7522;0.000000;0.789770;2.153750;0.122372;-0.103751;3.127216;1.499211;
47;2.81199;0.000000;0.789839;2.154640;0.121457;-0.103741;3.127215;1.499186;
48;2.87199;0.000000;0.789895;2.155470;0.120572;-0.103732;3.127215;1.499220;
49;2.93203;0.000000;0.789946;2.156291;0.119681;-0.103723;3.127214;1.499198;
50;2.99201;0.000000;0.789987;2.157051;0.118857;-0.103715;3.127213;1.499223;
51;3.05198;0.000000;0.790005;2.157836;0.118038;-0.103707;3.127213;1.499207;
52;3.11299;0.000000;0.790029;2.158552;0.117219;-0.103699;3.127212;1.499249;
53;3.17209;0.000000;0.790069;2.159269;0.116448;-0.103691;3.127212;1.499269;
54;3.23203;0.000000;0.790121;2.159987;0.115653;-0.103683;3.127211;1.499246;
55;3.29199;0.000000;0.790166;2.160657;0.114880;-0.105221;3.127220;1.497705;
56;3.354;0.000000;0.790206;2.161349;0.114139;-0.105213;3.127219;1.497689;
57;3.41197;0.000000;0.790227;2.161971;0.113392;-0.105207;3.127219;1.497730;
58;3.47203;0.000000;0.790246;2.162549;0.112693;-0.105201;3.127218;1.497755;
59;3.53202;0.000000;0.790271;2.163171;0.111964;-0.105194;3.127218;1.497709;
60;3.59207;0.000000;0.790311;2.163725;0.111264;-0.105189;3.127218;1.497710;
61;3.65208;0.000000;0.790350;2.164262;0.110601;-0.105183;3.127217;1.497740;
62;3.71213;0.000000;0.790372;2.164781;0.109932;-0.105177;3.127217;1.497737;
63;3.776;0.000000;0.790388;2.165292;0.109257;-0.102368;3.127223;1.500578;
64;3.83603;0.000000;0.790389;2.165758;0.108634;-0.102509;3.127235;1.500445;
65;3.89605;0.000000;0.790375;2.166248;0.108019;-0.102504;3.127235;1.500404;
66;3.95761;0.000000;0.790410;2.166738;0.107379;-0.101096;3.127238;1.501821;
67;4.01598;0.000000;0.790445;2.167155;0.106806;-0.101092;3.127238;1.501826;
68;4.076;0.000000;0.790489;2.167572;0.106250;-0.101089;3.127238;1.501842;
69;4.13595;0.000000;0.790499;2.167977;0.105641;-0.101085;3.127237;1.501857;
