message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.784002;2.350005;0.186996;-0.073827;3.127158;1.529048;
1;0.052222;0.000000;0.784002;2.350005;0.186996;-0.073827;3.127158;1.529048;
2;0.112115;0.000000;0.784139;2.349518;0.186999;-0.073834;3.127158;1.529304;
3;0.172135;0.000000;0.784648;2.347704;0.186870;-0.073860;3.127158;1.529471;
4;0.23316;0.000000;0.785503;2.344629;0.186380;-0.073904;3.127159;1.529701;
5;0.292119;0.000000;0.786293;2.341288;0.185887;-0.073952;3.127160;1.529641;
6;0.352089;0.000000;0.786988;2.338216;0.185447;-0.073995;3.127160;1.529377;
7;0.414116;0.000000;0.787709;2.335140;0.185061;-0.072422;3.127156;1.530879;
8;0.474135;0.000000;0.788376;2.332165;0.184715;-0.072464;3.127156;1.530733;
9;0.534149;0.000000;0.789038;2.329335;0.184318;-0.072505;3.127157;1.530453;
10;0.594101;0.000000;0.789687;2.326494;0.183957;-0.072546;3.127157;1.530313;
11;0.654109;0.000000;0.790349;2.323647;0.183697;-0.072586;3.127158;1.530324;
12;0.714105;0.000000;0.790977;2.320912;0.183412;-0.072625;3.127158;1.530251;
13;0.77413;0.000000;0.791598;2.318312;0.183124;-0.072662;3.127159;1.530227;
14;0.834145;0.000000;0.792185;2.315777;0.182890;-0.072698;3.127159;1.530211;
15;0.894167;0.000000;0.792760;2.313313;0.182770;-0.072733;3.127160;1.530106;
16;0.954117;0.000000;0.793330;2.310893;0.182540;-0.072767;3.127160;1.530006;
17;1.01411;0.000000;0.793885;2.308506;0.182358;-0.072801;3.127160;1.530009;
18;1.07412;0.000000;0.794436;2.306128;0.182170;-0.072834;3.127161;1.530012;
19;1.13516;0.000000;0.794957;2.303851;0.181993;-0.072866;3.127161;1.529985;
20;1.19566;0.000000;0.795465;2.301600;0.181834;-0.072898;3.127162;1.529917;
21;1.25411;0.000000;0.795956;2.299399;0.181711;-0.072929;3.127162;1.529889;
22;1.31622;0.000000;0.796422;2.297284;0.181617;-0.072958;3.127162;1.529893;
23;1.37413;0.000000;0.796865;2.295254;0.181493;-0.072986;3.127163;1.529907;
24;1.4342;0.000000;0.797311;2.293183;0.181369;-0.074375;3.127157;1.528579;
25;1.49409;0.000000;0.797737;2.291178;0.181359;-0.074404;3.127158;1.528466;
26;1.55409;0.000000;0.798156;2.289189;0.181331;-0.074432;3.127158;1.528517;
27;1.61415;0.000000;0.798548;2.287321;0.181289;-0.074458;3.127159;1.528497;
28;1.674;0.000000;0.798944;2.285463;0.181212;-0.074485;3.127159;1.528521;
29;1.73588;0.000000;0.799336;2.283604;0.181044;-0.074511;3.127159;1.528491;
30;1.79434;0.000000;0.799740;2.281874;0.180969;-0.074535;3.127160;1.528388;
31;1.85415;0.000000;0.800134;2.280215;0.180942;-0.074559;3.127160;1.528349;
32;1.91402;0.000000;0.800554;2.278583;0.180918;-0.073215;3.127166;1.529646;
33;1.9741;0.000000;0.800975;2.276947;0.180906;-0.073238;3.127166;1.529631;
34;2.03394;0.000000;0.801372;2.275359;0.180901;-0.073259;3.127166;1.529568;
35;2.09393;0.000000;0.801749;2.273831;0.180902;-0.073280;3.127167;1.529534;
36;2.15411;0.000000;0.802118;2.272265;0.180903;-0.073301;3.127167;1.529551;
37;2.21536;0.000000;0.802465;2.270780;0.180905;-0.074692;3.127162;1.528131;
38;2.27412;0.000000;0.802784;2.269385;0.180906;-0.074711;3.127162;1.528081;
39;2.33424;0.000000;0.803096;2.268015;0.180907;-0.074730;3.127163;1.528067;
40;2.39412;0.000000;0.803421;2.266675;0.180907;-0.074749;3.127163;1.528067;
41;2.45413;0.000000;0.803735;2.265368;0.180907;-0.074767;3.127163;1.528060;
42;2.51409;0.000000;0.804005;2.264126;0.180909;-0.074784;3.127163;1.527985;
43;2.57439;0.000000;0.804254;2.262916;0.180917;-0.074801;3.127164;1.527959;
44;2.63408;0.000000;0.804493;2.261686;0.180920;-0.074818;3.127164;1.527984;
45;2.69413;0.000000;0.804757;2.260496;0.180933;-0.074834;3.127164;1.527938;
46;2.75413;0.000000;0.805044;2.259355;0.180955;-0.074850;3.127164;1.527951;
47;2.81409;0.000000;0.805280;2.258278;0.181082;-0.074865;3.127165;1.527919;
48;2.87412;0.000000;0.805486;2.257196;0.181223;-0.074880;3.127165;1.527908;
49;2.93479;0.000000;0.805701;2.256124;0.181350;-0.074894;3.127165;1.527941;
50;2.99408;0.000000;0.805922;2.255089;0.181393;-0.074908;3.127165;1.527947;
