message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.783714;2.078821;0.187214;2.248940;2.177844;0.014871;
1;0.0600294;0.000000;0.783714;2.078812;0.187214;2.248951;2.177833;0.014871;
2;0.120018;0.000000;0.783736;2.079231;0.187166;2.248906;2.177879;0.014871;
3;0.179976;0.000000;0.784004;2.080870;0.186369;2.248743;2.178066;0.014894;
4;0.239936;0.000000;0.784893;2.083754;0.184948;2.248305;2.178515;0.014893;
5;0.299943;0.000000;0.785990;2.087513;0.183179;2.248185;2.178637;0.014895;
6;0.359938;0.000000;0.787279;2.091861;0.181115;2.248146;2.178676;0.014898;
7;0.419889;0.000000;0.788541;2.096264;0.179018;2.248220;2.178601;0.014901;
8;0.479903;0.000000;0.789749;2.100456;0.177009;2.248445;2.178369;0.014906;
9;0.539925;0.000000;0.790918;2.104633;0.175026;2.248643;2.178165;0.014911;
10;0.59993;0.000000;0.792075;2.108753;0.173107;2.248761;2.178043;0.014915;
11;0.659924;0.000000;0.793180;2.112710;0.171288;2.248895;2.177905;0.014919;
12;0.719949;0.000000;0.794301;2.116660;0.169507;2.248909;2.177891;0.014922;
13;0.779926;0.000000;0.795396;2.120585;0.167736;2.248894;2.177905;0.014924;
14;0.839886;0.000000;0.796491;2.124504;0.166009;2.248877;2.177922;0.014927;
15;0.900111;0.000000;0.797544;2.128292;0.164334;2.248987;2.177809;0.014930;
16;0.96005;0.000000;0.798602;2.132108;0.162673;2.248991;2.177804;0.014933;
17;1.02008;0.000000;0.799670;2.135882;0.161002;2.248978;2.177817;0.014936;
18;1.08008;0.000000;0.800734;2.139622;0.159413;2.248900;2.177897;0.014938;
19;1.15014;0.000000;0.801786;2.143154;0.157850;2.249023;2.177771;0.014941;
20;1.20206;0.000000;0.802797;2.146588;0.156332;2.249026;2.177767;0.014944;
21;1.26192;0.000000;0.803785;2.150021;0.154830;2.249076;2.177715;0.014947;
22;1.32194;0.000000;0.804753;2.153382;0.153349;2.249057;2.177734;0.014949;
23;1.38705;0.000000;0.805697;2.156786;0.151895;2.248959;2.177835;0.014950;
24;1.44192;0.000000;0.806623;2.160004;0.150499;2.248946;2.177848;0.014953;
25;1.50206;0.000000;0.807515;2.163126;0.149135;2.248976;2.177806;0.014920;
26;1.56203;0.000000;0.808450;2.166325;0.147761;2.248970;2.177812;0.014922;
27;1.62215;0.000000;0.809327;2.169351;0.146501;2.248980;2.177801;0.014924;
28;1.68205;0.000000;0.810154;2.172248;0.145295;2.248998;2.177783;0.014926;
29;1.74207;0.000000;0.810973;2.175159;0.144086;2.248934;2.177848;0.014928;
30;1.80206;0.000000;0.811784;2.177935;0.142929;2.248961;2.177820;0.014930;
31;1.86211;0.000000;0.812593;2.180628;0.141818;2.249048;2.177730;0.014933;
32;1.92206;0.000000;0.813389;2.183308;0.140734;2.249051;2.177727;0.014935;
33;1.9881;0.000000;0.814173;2.185949;0.139697;2.249036;2.177741;0.014936;
34;2.04209;0.000000;0.814923;2.188503;0.138658;2.249059;2.177718;0.014938;
35;2.10206;0.000000;0.815663;2.190990;0.137679;2.249027;2.177751;0.014940;
36;2.16203;0.000000;0.816396;2.193454;0.136685;2.248979;2.177800;0.014941;
37;2.23205;0.000000;0.817078;2.195704;0.135706;2.249192;2.177581;0.014944;
38;2.29204;0.000000;0.817786;2.198113;0.134763;2.248947;2.177832;0.014944;
39;2.35205;0.000000;0.818430;2.200332;0.133872;2.248990;2.177788;0.014946;
40;2.41207;0.000000;0.819111;2.202523;0.133012;2.248969;2.177809;0.014947;
41;2.47218;0.000000;0.819706;2.204610;0.132163;2.249008;2.177769;0.014949;
42;2.5381;0.000000;0.820341;2.206687;0.131334;2.248986;2.177792;0.014950;
43;2.59209;0.000000;0.820918;2.208680;0.130513;2.248966;2.177811;0.014952;
44;2.65476;0.000000;0.821485;2.210564;0.129801;2.249028;2.177771;0.014973;
45;2.71205;0.000000;0.822049;2.212462;0.129021;2.248997;2.177802;0.014974;
46;2.77205;0.000000;0.822600;2.214272;0.128314;2.248980;2.177820;0.014975;
47;2.84206;0.000000;0.823133;2.215911;0.127633;2.249157;2.177638;0.014977;
48;2.90477;0.000000;0.823659;2.217669;0.126949;2.249027;2.177771;0.014978;
49;2.96208;0.000000;0.824156;2.219312;0.126265;2.248985;2.177801;0.014944;
50;3.02207;0.000000;0.824656;2.220873;0.125649;2.249023;2.177763;0.014945;
51;3.08207;0.000000;0.825123;2.222431;0.125029;2.249001;2.177785;0.014946;
52;3.14211;0.000000;0.825608;2.223958;0.124466;2.248999;2.177787;0.014947;
53;3.20211;0.000000;0.826078;2.225439;0.123868;2.248944;2.177843;0.014947;
54;3.26198;0.000000;0.826482;2.226795;0.123344;2.248947;2.177840;0.014948;
55;3.32209;0.000000;0.826909;2.228110;0.122847;2.248969;2.177818;0.014949;
56;3.38199;0.000000;0.827306;2.229404;0.122322;2.248977;2.177809;0.014950;
57;3.44211;0.000000;0.827705;2.230673;0.121868;2.248958;2.177829;0.014951;
58;3.50208;0.000000;0.828073;2.231843;0.121386;2.248982;2.177791;0.014918;
59;3.56206;0.000000;0.828428;2.232998;0.120871;2.248974;2.177798;0.014918;
60;3.62211;0.000000;0.828795;2.234089;0.120445;2.249006;2.177789;0.014938;
61;3.68203;0.000000;0.829122;2.235192;0.119984;2.248975;2.177808;0.014904;
62;3.74195;0.000000;0.829458;2.236248;0.119519;2.248980;2.177802;0.014905;
63;3.80196;0.000000;0.829792;2.237259;0.119126;2.248969;2.177814;0.014906;
64;3.86195;0.000000;0.830103;2.238243;0.118709;2.248948;2.177822;0.014872;
65;3.92195;0.000000;0.830406;2.239214;0.118258;2.248944;2.177826;0.014872;
66;3.98195;0.000000;0.830707;2.240140;0.117869;2.248947;2.177823;0.014873;
67;4.042;0.000000;0.830984;2.241009;0.117507;2.248979;2.177789;0.014874;
68;4.10207;0.000000;0.831275;2.241833;0.117138;2.249018;2.177749;0.014875;
69;4.16197;0.000000;0.831542;2.242720;0.116769;2.248934;2.177836;0.014875;
70;4.22193;0.000000;0.831788;2.243488;0.116421;2.248937;2.177819;0.014841;
71;4.28605;0.000000;0.832037;2.244207;0.116106;2.248965;2.177790;0.014842;
72;4.35408;0.000000;0.832256;2.244978;0.115792;2.248928;2.177828;0.014842;
73;4.41806;0.000000;0.832504;2.245642;0.115429;2.248950;2.177806;0.014843;
74;4.47793;0.000000;0.832720;2.246339;0.115105;2.248892;2.177864;0.014843;
75;4.53799;0.000000;0.832928;2.246971;0.114831;2.248899;2.177857;0.014843;
76;4.59794;0.000000;0.833172;2.247572;0.114529;2.248949;2.177805;0.014844;
77;4.65793;0.000000;0.833335;2.248133;0.114256;2.248997;2.177757;0.014845;
78;4.71798;0.000000;0.833496;2.248740;0.113945;2.248942;2.177813;0.014845;
79;4.77801;0.000000;0.833716;2.249310;0.113664;2.248930;2.177825;0.014845;
80;4.83803;0.000000;0.833922;2.249814;0.113404;2.248994;2.177760;0.014846;
81;4.89796;0.000000;0.834067;2.250317;0.113176;2.248951;2.177803;0.014846;
82;4.95811;0.000000;0.834231;2.250806;0.112909;2.248943;2.177811;0.014846;
83;5.01808;0.000000;0.834363;2.251271;0.112628;2.248921;2.177834;0.014846;
84;5.07807;0.000000;0.834514;2.251693;0.112382;2.248953;2.177802;0.014847;
85;5.13803;0.000000;0.834681;2.252127;0.112152;2.248950;2.177804;0.014847;
86;5.19801;0.000000;0.834839;2.252568;0.111922;2.248912;2.177842;0.014847;
87;5.25794;0.000000;0.834962;2.252959;0.111704;2.248882;2.177874;0.014847;
88;5.32212;0.000000;0.835117;2.253336;0.111530;2.248909;2.177846;0.014848;
89;5.38604;0.000000;0.835236;2.253679;0.111272;2.248968;2.177785;0.014848;
90;5.44604;0.000000;0.835348;2.254059;0.111019;2.248948;2.177805;0.014848;
91;5.50605;0.000000;0.835463;2.254420;0.110808;2.248867;2.177888;0.014848;
92;5.56605;0.000000;0.835584;2.254755;0.110615;2.248866;2.177889;0.014848;
93;5.62605;0.000000;0.835711;2.255072;0.110404;2.248887;2.177868;0.014849;
94;5.68607;0.000000;0.835834;2.255361;0.110206;2.248976;2.177777;0.014850;
95;5.74606;0.000000;0.835932;2.255628;0.110023;2.249003;2.177748;0.014850;
96;5.80609;0.000000;0.836023;2.255884;0.109830;2.248971;2.177782;0.014850;
97;5.8661;0.000000;0.836112;2.256158;0.109661;2.248928;2.177826;0.014850;
98;5.92611;0.000000;0.836201;2.256433;0.109485;2.248897;2.177858;0.014850;
99;5.98607;0.000000;0.836267;2.256685;0.109259;2.248888;2.177867;0.014850;
100;6.04599;0.000000;0.836350;2.256894;0.109098;2.248921;2.177833;0.014850;
101;6.10994;0.000000;0.836413;2.257099;0.108982;2.248942;2.177811;0.014850;
102;6.17007;0.000000;0.836482;2.257315;0.108859;2.248929;2.177824;0.014851;
103;6.22996;0.000000;0.836555;2.257503;0.108693;2.248937;2.177817;0.014851;
104;6.28994;0.000000;0.836643;2.257685;0.108490;2.248943;2.177810;0.014851;
105;6.35009;0.000000;0.836721;2.257874;0.108323;2.248974;2.177778;0.014851;
106;6.41008;0.000000;0.836781;2.258070;0.108172;2.248959;2.177794;0.014851;
107;6.47029;0.000000;0.836844;2.258238;0.108044;2.248953;2.177800;0.014851;
108;6.53009;0.000000;0.836901;2.258433;0.107947;2.248914;2.177840;0.014851;
109;6.5901;0.000000;0.836949;2.258618;0.107875;2.248885;2.177869;0.014851;
110;6.65009;0.000000;0.837006;2.258776;0.107712;2.248902;2.177852;0.014851;
111;6.71009;0.000000;0.837064;2.258907;0.107562;2.248915;2.177839;0.014852;
112;6.77005;0.000000;0.837107;2.259034;0.107421;2.248904;2.177849;0.014852;
113;6.8301;0.000000;0.837149;2.259162;0.107327;2.248882;2.177872;0.014851;
114;6.89411;0.000000;0.837212;2.259275;0.107195;2.248858;2.177898;0.014851;
115;6.9502;0.000000;0.837271;2.259396;0.107033;2.248882;2.177873;0.014852;
116;7.01016;0.000000;0.837314;2.259506;0.106915;2.248917;2.177837;0.014852;
117;7.07047;0.000000;0.837345;2.259613;0.106805;2.248928;2.177825;0.014852;
118;7.13009;0.000000;0.837384;2.259722;0.106683;2.248939;2.177814;0.014852;
119;7.19012;0.000000;0.837424;2.259831;0.106578;2.248986;2.177766;0.014853;
120;7.24998;0.000000;0.837449;2.259952;0.106474;2.248986;2.177789;0.014871;
121;7.31007;0.000000;0.837474;2.260049;0.106366;2.248973;2.177803;0.014871;
122;7.38001;0.000000;0.837501;2.260156;0.106257;2.248936;2.177841;0.014871;
123;7.4321;0.962375;0.837508;2.260199;0.106230;2.248929;2.177873;0.014889;
124;7.49206;0.962375;0.837582;2.259770;0.106195;2.249308;2.177535;0.014977;
125;7.55482;0.963696;0.837819;2.258202;0.106120;2.249592;2.177393;0.015303;
126;7.61209;0.963696;0.837918;2.256146;0.106186;2.250156;2.177516;0.016877;
127;7.67207;0.950866;0.837739;2.254461;0.106222;2.250661;2.178264;0.019010;
128;7.73209;0.960122;0.837531;2.252753;0.106172;2.251349;2.179084;0.021007;
129;7.79209;0.958113;0.837396;2.251064;0.106210;2.252350;2.180358;0.023843;
130;7.85483;0.958113;0.837236;2.249372;0.106204;2.253618;2.181932;0.027163;
131;7.91265;0.956297;0.837152;2.247736;0.106174;2.255419;2.183691;0.031273;
132;7.97809;0.964890;0.837107;2.246089;0.106214;-2.256346;-2.184889;-0.035631;
133;8.04211;0.958202;0.836997;2.244530;0.106199;-2.253776;-2.182930;-0.040673;
134;8.10214;0.958202;0.836944;2.242787;0.106087;-2.251101;-2.179984;-0.046931;
135;8.16611;0.965180;0.836880;2.241130;0.106060;-2.247972;-2.177030;-0.053672;
136;8.22206;0.965180;0.836847;2.239565;0.106079;-2.244497;-2.173912;-0.060836;
137;8.29009;0.962163;0.836797;2.237939;0.105956;-2.241221;-2.171178;-0.067448;
138;8.35008;0.965213;0.836713;2.236300;0.105842;-2.237547;-2.167536;-0.075327;
139;8.41014;0.968383;0.836627;2.234671;0.105826;-2.233652;-2.163794;-0.083588;
140;8.46994;0.969336;0.836638;2.233076;0.105736;-2.229683;-2.159876;-0.092190;
141;8.53008;0.965723;0.836551;2.231461;0.105589;-2.225638;-2.155912;-0.100596;
142;8.59007;0.965723;0.836534;2.229918;0.105512;-2.221365;-2.152071;-0.109217;
143;8.65397;0.967137;0.836456;2.228360;0.105364;-2.217006;-2.148245;-0.117724;
144;8.71392;0.967533;0.836424;2.226767;0.105203;-2.212578;-2.144218;-0.126372;
145;8.77392;0.963580;0.836378;2.225116;0.105051;-2.208129;-2.139961;-0.135308;
146;8.83394;0.963580;0.836364;2.223536;0.104866;-2.203542;-2.135767;-0.144178;
147;8.89393;0.970104;0.836318;2.222073;0.104715;-2.198849;-2.131468;-0.153231;
