message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
0;6.86997;0.000000;0.032175;0.999376;0.014602;0.798626;0.999482;-0.032164;-0.000984;2.146179;-0.000514;0.014626;-0.999893;0.187386;0.032175;0.999376;0.014602;0.798626;0.999482;-0.032164;-0.000984;2.146179;-0.000514;0.014626;-0.999893;0.187386;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
1;6.92215;0.974358;0.032188;0.999375;0.014602;0.798634;0.999482;-0.032177;-0.000984;2.146196;-0.000514;0.014626;-0.999893;0.187386;0.032165;0.999374;0.014735;0.798591;0.999483;-0.032164;-0.000276;2.145099;0.000198;0.014736;-0.999891;0.187386;-0.018000;0.000000;-0.000000;-0.300000;0.000000;-0.000000;-0.001827;0.011860;0.000000;-0.030458;0.197667;0.000000;
2;6.98231;0.974392;0.032536;0.999364;0.014601;0.798656;0.999470;-0.032525;-0.000964;2.145697;-0.000488;0.014625;-0.999893;0.187387;0.032149;0.999371;0.014940;0.798552;0.999482;-0.032164;0.000799;2.143874;0.001279;0.014906;-0.999888;0.187386;-0.020425;0.000000;-0.000000;-0.040416;0.000000;-0.000000;-0.002843;0.018024;0.000000;-0.016927;0.102729;0.000000;
3;7.04218;0.974991;0.032736;0.999357;0.014634;0.798729;0.999464;-0.032726;-0.000881;2.144249;-0.000402;0.014655;-0.999893;0.187396;0.032132;0.999369;0.015144;0.798513;0.999481;-0.032165;0.001886;2.142656;0.002372;0.015075;-0.999884;0.187385;-0.020323;0.000000;-0.000000;0.001701;0.000000;0.000000;-0.002818;0.018214;0.000000;0.000424;0.003163;-0.000000;
4;7.10219;0.968198;0.032840;0.999349;0.014950;0.798873;0.999461;-0.032841;-0.000194;2.142656;0.000298;0.014948;-0.999888;0.187465;0.032113;0.999367;0.015340;0.798474;0.999478;-0.032165;0.003159;2.141443;0.003650;0.015230;-0.999877;0.187382;-0.020221;0.000000;-0.000000;0.001693;-0.000000;0.000000;-0.002583;0.021309;0.000000;0.003909;0.051591;-0.000000;
5;7.17262;0.965860;0.032731;0.999349;0.015203;0.798960;0.999461;-0.032763;0.001841;2.141528;0.002338;0.015134;-0.999883;0.187526;0.032083;0.999365;0.015527;0.798435;0.999469;-0.032166;0.005118;2.140236;0.005614;0.015355;-0.999866;0.187377;-0.020120;0.000000;-0.000000;0.001684;0.000000;0.000000;-0.002070;0.032740;0.000000;0.008559;0.190511;-0.000000;
6;7.22467;0.965860;0.032634;0.999348;0.015462;0.798866;0.999455;-0.032708;0.004571;2.140481;0.005074;0.015305;-0.999870;0.187604;0.032052;0.999363;0.015714;0.798397;0.999457;-0.032166;0.007077;2.139036;0.007578;0.015479;-0.999851;0.187371;-0.020020;0.000000;-0.000000;0.001676;-0.000000;0.000000;-0.002070;0.032740;0.000000;-0.000000;-0.000000;-0.000000;
7;7.28428;0.971197;0.032517;0.999348;0.015690;0.798726;0.999445;-0.032626;0.006766;2.139256;0.007274;0.015462;-0.999854;0.187653;0.032011;0.999361;0.015884;0.798358;0.999436;-0.032167;0.009652;2.137841;0.010157;0.015566;-0.999827;0.187362;-0.019920;0.000000;-0.000000;0.001667;0.000000;0.000000;-0.001459;0.042986;0.000000;0.010171;0.170776;-0.000000;
8;7.34402;0.970353;0.032356;0.999350;0.015904;0.798581;0.999428;-0.032507;0.009307;2.138075;0.009818;0.015593;-0.999830;0.187666;0.031969;0.999360;0.016046;0.798320;0.999407;-0.032168;0.012270;2.136653;0.012778;0.015644;-0.999796;0.187350;-0.019820;0.000000;-0.000000;0.001659;-0.000000;0.000000;-0.001291;0.043688;0.000000;0.002800;0.011697;-0.000000;
9;7.41198;0.968496;0.032182;0.999353;0.016089;0.798473;0.999405;-0.032375;0.011907;2.136902;0.012421;0.015696;-0.999800;0.187534;0.031924;0.999359;0.016226;0.798282;0.999369;-0.032169;0.015045;2.135470;0.015558;0.015735;-0.999755;0.187334;-0.019721;0.000000;-0.000000;0.001651;0.000000;0.000000;-0.001529;0.046343;0.000000;-0.003963;0.044246;0.000000;
