message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.671339;2.006710;0.226941;1.354926;-1.170040;0.045994
1;0.0599735;0.000000;0.670646;2.008367;0.226530;1.354176;-1.171226;0.047081
2;0.119982;0.000000;0.668776;2.011266;0.225082;1.353121;-1.172781;0.047613
3;0.17998;0.000000;0.667263;2.013796;0.223680;1.351957;-1.173990;0.048941
4;0.23999;0.000000;0.666048;2.016406;0.222335;1.350994;-1.174761;0.050748
5;0.299984;0.000000;0.665046;2.018944;0.221092;1.349866;-1.176122;0.052010
6;0.359911;0.000000;0.664238;2.021510;0.219914;1.348790;-1.177293;0.053398
7;0.419952;0.000000;0.663564;2.024084;0.218798;1.347732;-1.178438;0.054853
8;0.479948;0.000000;0.663084;2.026645;0.217790;1.346598;-1.179981;0.055893
9;0.539963;0.000000;0.662673;2.029186;0.216815;1.345576;-1.180976;0.057353
10;0.599901;0.000000;0.662404;2.031723;0.215908;1.344563;-1.182184;0.058752
11;0.659981;0.000000;0.662179;2.034186;0.215099;1.343467;-1.183454;0.059972
12;0.719918;0.000000;0.662054;2.036621;0.214337;1.342415;-1.184688;0.061189
13;0.779897;0.000000;0.661955;2.039051;0.213648;1.341415;-1.185709;0.062713
14;0.839955;0.000000;0.661861;2.041427;0.213012;1.340339;-1.186953;0.064008
15;0.899931;0.000000;0.661787;2.043813;0.212500;1.339250;-1.188340;0.065181
16;0.959961;0.000000;0.661748;2.046151;0.211990;1.338151;-1.189678;0.066420
17;1.01998;0.000000;0.661935;2.048396;0.211559;1.337103;-1.190825;0.067746
18;1.07998;0.000000;0.662252;2.050579;0.211208;1.336087;-1.191857;0.069212
19;1.13999;0.000000;0.662583;2.052740;0.210930;1.334980;-1.193229;0.070362
20;1.19995;0.000000;0.662877;2.054845;0.210716;1.333901;-1.194524;0.071670
21;1.25996;0.000000;0.663198;2.056883;0.210595;1.332891;-1.195681;0.072998
22;1.31997;0.000000;0.663493;2.058902;0.210506;1.331833;-1.196966;0.074252
23;1.37998;0.000000;0.663780;2.060855;0.210421;1.330731;-1.198248;0.075418
24;1.43998;0.000000;0.664031;2.062708;0.210354;1.329661;-1.199446;0.076713
25;1.49992;0.000000;0.664294;2.064517;0.210375;1.328611;-1.200534;0.078075
26;1.55994;0.000000;0.664575;2.066281;0.210699;1.327596;-1.201551;0.079532
27;1.61997;0.000000;0.664835;2.067989;0.211017;1.326493;-1.202877;0.080697
28;1.67996;0.000000;0.665103;2.069645;0.211362;1.325396;-1.204164;0.081946
29;1.73996;0.000000;0.665387;2.071227;0.211765;1.324327;-1.205414;0.083203
30;1.79997;0.000000;0.665639;2.072767;0.212165;1.323308;-1.206565;0.084591
31;1.85994;0.000000;0.665839;2.074244;0.212626;1.322271;-1.207687;0.085987
32;1.91988;0.000000;0.666049;2.075646;0.213146;1.321185;-1.209016;0.087150
33;1.98199;0.000000;0.666254;2.076969;0.213699;1.320085;-1.210205;0.088446
34;2.04197;0.000000;0.666455;2.078263;0.214256;1.319033;-1.211331;0.089809
35;2.10189;0.000000;0.666620;2.079491;0.214847;1.317887;-1.212715;0.090912
36;2.16197;0.000000;0.666770;2.080662;0.215509;1.316846;-1.213798;0.092244
37;2.22198;0.000000;0.666927;2.081796;0.216184;1.315816;-1.214930;0.093637
38;2.28198;0.000000;0.667058;2.082865;0.216899;1.314714;-1.216267;0.094782
39;2.34198;0.000000;0.667160;2.083868;0.217657;1.313694;-1.217336;0.096300
40;2.40199;0.000000;0.667254;2.084849;0.218395;1.312604;-1.218562;0.097490
41;2.46198;0.000000;0.667354;2.085779;0.219199;1.311535;-1.219777;0.098816
