message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
64;3.87401;0.000000;0.665223;2.095152;0.239214;1.286495;-1.247187;0.128420
65;3.93393;0.000000;0.665019;2.095207;0.240048;1.285438;-1.248326;0.129730
66;3.99394;0.000000;0.664813;2.095226;0.240840;1.284349;-1.249488;0.131031
67;4.05394;0.000000;0.664604;2.095230;0.241609;1.283248;-1.250680;0.132299
68;4.11394;0.000000;0.664394;2.095233;0.242403;1.282172;-1.251835;0.133562
69;4.19395;0.000000;0.664204;2.095237;0.243057;1.281082;-1.253005;0.134840
70;4.25392;0.000000;0.663926;2.095234;0.243893;1.280039;-1.254123;0.136049
71;4.31403;0.000000;0.663717;2.095208;0.244638;1.278949;-1.255287;0.137267
72;4.37392;0.000000;0.663461;2.095102;0.245341;1.277789;-1.256507;0.138458
73;4.43392;0.000000;0.663245;2.094959;0.246056;1.276629;-1.257721;0.139573
74;4.49395;0.000000;0.663017;2.094772;0.246754;1.275413;-1.259022;0.140600
75;4.55393;0.000000;0.662757;2.094585;0.247406;1.274217;-1.260327;0.141653
76;4.61393;0.000000;0.662567;2.094376;0.248038;1.273314;-1.261149;0.143636
77;4.67399;0.000000;0.662376;2.094181;0.248705;1.272286;-1.262227;0.145213
78;4.73397;0.000000;0.662131;2.093987;0.249300;1.271192;-1.263421;0.146688
79;4.79401;0.000000;0.661874;2.093793;0.249872;1.270068;-1.264649;0.147921
80;4.85402;0.000000;0.661665;2.093599;0.250433;1.268951;-1.265872;0.149180
81;4.91404;0.000000;0.661436;2.093390;0.251012;1.267820;-1.267103;0.150391
82;4.97399;0.000000;0.661198;2.093182;0.251554;1.266635;-1.268416;0.151562
83;5.03401;0.000000;0.660985;2.092966;0.252054;1.265515;-1.269611;0.152819
84;5.09402;0.000000;0.660780;2.092736;0.252554;1.264480;-1.270628;0.154281
85;5.16202;0.000000;0.660562;2.092505;0.253023;1.263364;-1.271773;0.155562
86;5.22201;0.000000;0.660327;2.092261;0.253500;1.262178;-1.273105;0.156647
87;5.286;0.000000;0.660098;2.092039;0.253943;1.261152;-1.274056;0.158162
88;5.34601;0.000000;0.659888;2.091816;0.254341;1.260074;-1.275159;0.159504
89;5.40602;0.000000;0.659668;2.091579;0.254741;1.258958;-1.276352;0.160811
90;5.46601;0.000000;0.659471;2.091319;0.255186;1.257793;-1.277575;0.161991
91;5.52601;0.000000;0.659296;2.091067;0.255507;1.256642;-1.278825;0.163204
92;5.586;0.000000;0.659100;2.090808;0.255877;1.255564;-1.279913;0.164651
93;5.64602;0.000000;0.658901;2.090556;0.256234;1.254397;-1.281185;0.165793
94;5.70603;0.000000;0.658717;2.090304;0.256554;1.253256;-1.282385;0.167025
95;5.76599;0.000000;0.658544;2.090060;0.256849;1.252166;-1.283462;0.168434
96;5.826;0.000000;0.658585;2.089796;0.257566;1.253812;-1.297579;0.172115
97;5.898;0.000000;0.658203;2.089614;0.257689;1.258771;-1.308680;0.176687
98;5.95801;0.000000;0.658597;2.089518;0.257878;1.263410;-1.320380;0.181605
99;6.02801;0.000000;0.659363;2.089478;0.257822;1.267092;-1.332998;0.184596
100;6.08801;0.000000;0.660202;2.089495;0.257894;1.271001;-1.345654;0.188816
101;6.14802;0.000000;0.661302;2.089646;0.257905;1.274508;-1.358079;0.192723
102;6.20798;0.000000;0.662635;2.090034;0.257939;1.278143;-1.370270;0.196973
103;6.268;0.000000;0.664095;2.090481;0.258015;1.281320;-1.383217;0.200579
104;6.328;0.000000;0.665665;2.090986;0.258086;1.284599;-1.395479;0.204675
105;6.388;0.000000;0.667422;2.091526;0.258267;1.287576;-1.408403;0.208077
106;6.44801;0.000000;0.669250;2.092076;0.258453;1.290604;-1.420611;0.212313
107;6.50801;0.000000;0.671207;2.092626;0.258732;1.293321;-1.433451;0.215593
108;6.568;0.000000;0.673205;2.093260;0.259041;1.295996;-1.445914;0.219499
109;6.62796;0.000000;0.675286;2.093859;0.259446;1.298374;-1.459072;0.222632
110;6.68796;0.000000;0.677390;2.094506;0.259881;1.300880;-1.471283;0.226690
111;6.74799;0.000000;0.679546;2.095134;0.260427;1.303065;-1.484177;0.229978
112;6.808;0.000000;0.681650;2.095811;0.260997;1.305224;-1.496796;0.233483
113;6.868;0.000000;0.683729;2.096470;0.261655;1.307254;-1.509677;0.236831
114;6.928;0.000000;0.685758;2.097126;0.262389;1.309144;-1.522518;0.239976
