message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783661;2.078722;0.187159;-0.113147;3.127295;1.489769;
1;0.0519316;0.000000;0.783661;2.078722;0.187159;-0.113147;3.127295;1.489769;
2;0.111829;0.000000;0.783675;2.079004;0.186817;-0.113146;3.127295;1.489616;
3;0.171933;0.000000;0.783734;2.080169;0.185251;-0.111645;3.127283;1.491037;
4;0.233082;0.000000;0.783825;2.082326;0.182829;-0.110208;3.127283;1.492220;
5;0.291776;0.000000;0.783958;2.084964;0.179832;-0.110193;3.127281;1.492110;
6;0.351717;0.000000;0.784232;2.087684;0.176731;-0.110177;3.127279;1.492119;
7;0.411717;0.000000;0.784515;2.090174;0.173715;-0.110161;3.127277;1.492331;
8;0.471876;0.000000;0.784844;2.092690;0.170724;-0.110146;3.127275;1.492448;
9;0.531913;0.000000;0.785100;2.095123;0.167836;-0.110130;3.127273;1.492534;
10;0.596041;0.000000;0.785349;2.097472;0.165057;-0.110115;3.127271;1.492632;
11;0.651903;0.000000;0.785574;2.099779;0.162344;-0.110099;3.127269;1.492736;
12;0.711712;0.000000;0.785806;2.102087;0.159626;-0.110083;3.127267;1.492786;
13;0.771711;0.000000;0.785980;2.104379;0.156938;-0.110067;3.127266;1.492813;
14;0.831866;0.000000;0.786194;2.106603;0.154210;-0.110052;3.127264;1.492865;
15;0.893871;0.000000;0.786404;2.108819;0.151482;-0.110035;3.127262;1.492905;
16;0.953694;0.000000;0.786572;2.110968;0.148857;-0.110019;3.127260;1.492927;
17;1.01377;0.000000;0.786720;2.113023;0.146286;-0.110004;3.127259;1.492982;
18;1.07375;0.000000;0.786864;2.115070;0.143769;-0.109988;3.127257;1.492970;
19;1.13371;0.000000;0.787049;2.117050;0.141349;-0.109973;3.127256;1.492995;
20;1.19372;0.000000;0.787219;2.119038;0.138959;-0.109957;3.127254;1.492966;
21;1.25373;0.000000;0.787340;2.120984;0.136587;-0.109941;3.127252;1.492965;
22;1.31374;0.000000;0.787488;2.122871;0.134239;-0.109926;3.127251;1.493023;
23;1.37368;0.000000;0.787622;2.124707;0.131910;-0.109911;3.127250;1.493042;
24;1.43372;0.000000;0.787769;2.126450;0.129605;-0.109896;3.127248;1.493072;
25;1.49373;0.000000;0.787885;2.128226;0.127337;-0.109881;3.127247;1.493095;
26;1.56004;0.000000;0.788002;2.129957;0.125098;-0.108454;3.127248;1.494525;
27;1.61387;0.000000;0.788126;2.131675;0.122872;-0.108439;3.127247;1.494530;
28;1.67389;0.000000;0.788241;2.133333;0.120747;-0.108425;3.127246;1.494529;
29;1.73387;0.000000;0.788352;2.134923;0.118701;-0.108412;3.127244;1.494552;
30;1.79876;0.000000;0.788462;2.136488;0.116702;-0.108398;3.127243;1.494561;
31;1.85389;0.000000;0.788524;2.138000;0.114781;-0.108385;3.127242;1.494511;
32;1.91387;0.000000;0.788618;2.139411;0.112937;-0.108372;3.127241;1.494546;
33;1.9739;0.000000;0.788686;2.140803;0.111070;-0.108360;3.127240;1.494622;
34;2.03384;0.000000;0.788751;2.142187;0.109245;-0.108347;3.127239;1.494622;
35;2.09391;0.000000;0.788835;2.143521;0.107408;-0.108335;3.127238;1.494670;
36;2.15385;0.000000;0.788940;2.144848;0.105642;-0.108323;3.127237;1.494641;
37;2.21404;0.000000;0.789016;2.146088;0.103931;-0.108311;3.127236;1.494689;
38;2.27386;0.000000;0.789064;2.147374;0.102196;-0.106892;3.127238;1.496073;
39;2.33384;0.000000;0.789093;2.148552;0.100562;-0.106881;3.127237;1.496092;
40;2.39418;0.000000;0.789136;2.149688;0.098994;-0.106871;3.127236;1.496095;
41;2.4539;0.000000;0.789188;2.150868;0.097402;-0.106860;3.127235;1.496104;
42;2.52002;0.000000;0.789226;2.151969;0.095900;-0.106850;3.127235;1.496081;
43;2.58388;0.000000;0.789284;2.152955;0.094472;-0.108384;3.127243;1.494621;
44;2.6439;0.000000;0.789331;2.153998;0.093065;-0.108375;3.127242;1.494559;
45;2.70388;0.000000;0.789325;2.154960;0.091718;-0.108367;3.127241;1.494585;
46;2.76387;0.000000;0.789405;2.155918;0.090365;-0.108358;3.127240;1.494566;
47;2.82383;0.000000;0.789429;2.156805;0.089077;-0.108350;3.127240;1.494572;
48;2.88389;0.000000;0.789412;2.157655;0.087844;-0.108342;3.127239;1.494596;
49;2.94882;0.000000;0.789428;2.158490;0.086586;-0.108335;3.127239;1.494629;
50;3.00388;0.000000;0.789474;2.159284;0.085376;-0.108328;3.127238;1.494635;
