message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783638;2.078706;0.187151;-0.120728;3.127360;1.482190;
1;0.0521115;0.000000;0.783638;2.078706;0.187151;-0.120728;3.127360;1.482190;
2;0.116057;0.000000;0.783650;2.078910;0.186761;-0.120728;3.127360;1.482071;
3;0.172035;0.000000;0.783705;2.079823;0.185006;-0.120728;3.127359;1.481964;
4;0.231974;0.000000;0.783784;2.081633;0.182332;-0.120727;3.127357;1.481771;
5;0.292085;0.000000;0.783882;2.083980;0.178759;-0.120726;3.127355;1.481572;
6;0.351937;0.000000;0.784140;2.086619;0.174674;-0.119295;3.127354;1.483019;
7;0.411993;0.000000;0.784463;2.089210;0.170610;-0.119294;3.127352;1.483120;
8;0.472018;0.000000;0.784795;2.091691;0.166662;-0.119292;3.127349;1.483274;
9;0.531941;0.000000;0.785086;2.094139;0.162860;-0.119289;3.127347;1.483381;
10;0.591946;0.000000;0.785375;2.096623;0.159083;-0.119287;3.127345;1.483372;
11;0.651937;0.000000;0.785617;2.099006;0.155283;-0.119283;3.127342;1.483516;
12;0.711982;0.000000;0.785845;2.101390;0.151509;-0.119280;3.127340;1.483552;
13;0.775945;0.000000;0.786047;2.103629;0.147892;-0.119276;3.127338;1.483659;
14;0.835937;0.000000;0.786247;2.105904;0.144246;-0.119272;3.127336;1.483661;
15;0.896116;0.000000;0.786446;2.108145;0.140691;-0.119267;3.127334;1.483682;
16;0.956119;0.000000;0.786609;2.110335;0.137275;-0.119262;3.127332;1.483697;
17;1.01609;0.000000;0.786816;2.112492;0.133926;-0.119257;3.127329;1.483698;
18;1.07607;0.000000;0.786963;2.114624;0.130517;-0.119252;3.127327;1.483686;
19;1.13609;0.000000;0.787124;2.116679;0.127140;-0.119246;3.127326;1.483719;
20;1.19597;0.000000;0.787286;2.118735;0.123847;-0.119241;3.127324;1.483688;
21;1.2561;0.000000;0.787414;2.120740;0.120585;-0.119234;3.127322;1.483695;
22;1.31597;0.000000;0.787552;2.122711;0.117430;-0.119228;3.127320;1.483709;
23;1.37757;0.000000;0.787682;2.124611;0.114420;-0.117803;3.127321;1.485156;
24;1.43609;0.000000;0.787809;2.126412;0.111499;-0.117797;3.127319;1.485183;
25;1.49614;0.000000;0.787959;2.128248;0.108525;-0.117791;3.127318;1.485193;
26;1.55607;0.000000;0.788043;2.130040;0.105552;-0.117785;3.127316;1.485199;
27;1.61609;0.000000;0.788142;2.131790;0.102627;-0.117779;3.127314;1.485199;
28;1.67609;0.000000;0.788215;2.133514;0.099756;-0.117773;3.127313;1.485187;
29;1.73619;0.000000;0.788328;2.135172;0.097016;-0.117767;3.127311;1.485188;
30;1.80008;0.000000;0.788439;2.136812;0.094342;-0.117760;3.127310;1.485166;
31;1.8561;0.000000;0.788489;2.138434;0.091716;-0.117754;3.127308;1.485164;
32;1.91603;0.000000;0.788567;2.139971;0.089215;-0.117747;3.127307;1.485196;
33;1.97595;0.000000;0.788627;2.141448;0.086810;-0.117741;3.127305;1.485210;
34;2.03595;0.000000;0.788688;2.142882;0.084387;-0.117735;3.127304;1.485253;
35;2.09605;0.000000;0.788744;2.144325;0.081952;-0.117729;3.127303;1.485220;
36;2.15598;0.000000;0.788788;2.145699;0.079666;-0.117722;3.127302;1.485235;
37;2.21593;0.000000;0.788784;2.146986;0.077506;-0.117716;3.127300;1.485272;
38;2.27598;0.000000;0.788849;2.148233;0.075417;-0.117710;3.127299;1.485250;
39;2.33613;0.000000;0.788876;2.149461;0.073340;-0.117704;3.127298;1.485281;
40;2.39597;0.000000;0.788895;2.150657;0.071344;-0.119254;3.127306;1.483720;
41;2.45606;0.000000;0.788895;2.151790;0.069452;-0.119249;3.127305;1.483707;
42;2.516;0.000000;0.788946;2.152908;0.067600;-0.119244;3.127303;1.483703;
43;2.57607;0.000000;0.788968;2.154008;0.065761;-0.119239;3.127302;1.483664;
44;2.636;0.000000;0.789001;2.155040;0.064023;-0.119234;3.127301;1.483705;
45;2.69601;0.000000;0.788975;2.156017;0.062346;-0.119230;3.127301;1.483707;
46;2.75598;0.000000;0.788977;2.156961;0.060703;-0.119225;3.127300;1.483695;
47;2.81608;0.000000;0.788997;2.157855;0.059150;-0.119221;3.127299;1.483742;
48;2.87608;0.000000;0.788981;2.158690;0.057625;-0.120779;3.127306;1.482199;
49;2.93599;0.000000;0.788962;2.159518;0.056203;-0.119367;3.127309;1.483581;
50;2.99598;0.000000;0.788961;2.160265;0.054846;-0.119364;3.127309;1.483610;
51;3.05599;0.000000;0.788945;2.161036;0.053466;-0.119361;3.127308;1.483567;
52;3.11601;0.000000;0.788916;2.161790;0.052134;-0.119358;3.127307;1.483609;
53;3.17597;0.000000;0.788878;2.162471;0.050903;-0.117947;3.127310;1.484985;
54;3.2361;0.000000;0.788846;2.163135;0.049723;-0.116692;3.127325;1.486257;
55;3.29604;0.000000;0.788828;2.163757;0.048599;-0.115281;3.127329;1.487681;
