message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
73;4.46793;0.000000;0.663298;2.094958;0.246057;1.276487;-1.258191;0.139409
74;4.52795;0.000000;0.663066;2.094764;0.246755;1.275283;-1.259471;0.140431
75;4.59198;0.000000;0.662801;2.094585;0.247404;1.274069;-1.260842;0.141495
76;4.65193;0.000000;0.662621;2.094389;0.248055;1.273146;-1.261736;0.143385
77;4.71195;0.000000;0.662412;2.094195;0.248704;1.272131;-1.262798;0.145006
78;4.77193;0.000000;0.662160;2.094001;0.249307;1.271059;-1.263892;0.146486
79;4.83195;0.000000;0.661918;2.093793;0.249898;1.269911;-1.265169;0.147677
80;4.89193;0.000000;0.661692;2.093606;0.250472;1.268806;-1.266372;0.148962
81;4.95202;0.000000;0.661469;2.093405;0.251025;1.267686;-1.267554;0.150267
82;5.01205;0.000000;0.661242;2.093189;0.251567;1.266520;-1.268827;0.151416
83;5.07192;0.000000;0.661039;2.092973;0.252062;1.265400;-1.270039;0.152656
84;5.13191;0.000000;0.660825;2.092750;0.252566;1.264330;-1.271097;0.154052
85;5.19185;0.000000;0.660605;2.092512;0.253047;1.263241;-1.272185;0.155450
86;5.25184;0.000000;0.660356;2.092268;0.253518;1.262067;-1.273466;0.156615
87;5.31201;0.000000;0.660133;2.092038;0.253970;1.261016;-1.274515;0.158015
88;5.37198;0.000000;0.659944;2.091815;0.254355;1.259911;-1.275665;0.159311
89;5.43184;0.000000;0.659730;2.091577;0.254778;1.258814;-1.276801;0.160689
90;5.49193;0.000000;0.659542;2.091325;0.255196;1.257631;-1.278113;0.161837
91;5.56989;0.000000;0.659367;2.091087;0.255505;1.256484;-1.279337;0.163055
92;5.63005;0.000000;0.659147;2.090807;0.255886;1.255393;-1.280458;0.164336
93;5.68984;0.000000;0.658943;2.090563;0.256224;1.254285;-1.281605;0.165621
94;5.74985;0.000000;0.658739;2.090311;0.256543;1.253143;-1.282799;0.166879
95;5.80984;0.000000;0.658571;2.090066;0.256857;1.252067;-1.283872;0.168280
96;5.86987;0.000000;0.658605;2.089810;0.257601;1.253675;-1.298031;0.171774
97;5.92994;0.000000;0.658169;2.089630;0.257861;1.258898;-1.309091;0.177650
98;5.98994;0.000000;0.658689;2.089545;0.257907;1.263244;-1.321075;0.181493
99;6.04992;0.000000;0.659339;2.089515;0.257934;1.267250;-1.333342;0.185514
100;6.10998;0.000000;0.660248;2.089509;0.257915;1.270863;-1.346011;0.188919
101;6.16994;0.000000;0.661369;2.089659;0.257929;1.274317;-1.358750;0.192444
102;6.22994;0.000000;0.662666;2.090034;0.257951;1.277973;-1.370761;0.196916
103;6.28993;0.000000;0.664148;2.090465;0.258027;1.281177;-1.383680;0.200434
104;6.34995;0.000000;0.665740;2.090977;0.258099;1.284482;-1.395918;0.204487
105;6.40991;0.000000;0.667475;2.091525;0.258285;1.287439;-1.408855;0.207916
106;6.46993;0.000000;0.669315;2.092074;0.258485;1.290522;-1.421006;0.212188
107;6.52992;0.000000;0.671243;2.092632;0.258746;1.293203;-1.433952;0.215355
108;6.5899;0.000000;0.673236;2.093252;0.259067;1.295875;-1.446400;0.219285
109;6.64984;0.000000;0.675330;2.093851;0.259452;1.298248;-1.459545;0.222406
110;6.70986;0.000000;0.677460;2.094512;0.259915;1.300799;-1.471678;0.226573
111;6.77988;0.000000;0.679481;2.095112;0.260355;1.302872;-1.484367;0.229216
112;6.83988;0.000000;0.681671;2.095796;0.261019;1.305026;-1.497591;0.233049
113;6.89998;0.000000;0.683728;2.096485;0.261668;1.307164;-1.510023;0.236715
114;6.96004;0.000000;0.685788;2.097134;0.262426;1.309003;-1.523162;0.239631
115;7.01993;0.000000;0.687963;2.097807;0.263184;1.310896;-1.535349;0.243614
116;7.07985;0.000000;0.690393;2.098420;0.264039;1.312457;-1.548627;0.246288
117;7.1399;0.000000;0.692713;2.099085;0.264972;1.314111;-1.561157;0.249852
118;7.19985;0.000000;0.694959;2.099685;0.265967;1.315527;-1.574187;0.252712
119;7.25995;0.000000;0.697147;2.100298;0.266989;1.316915;-1.586946;0.255801
120;7.31996;0.000000;0.699308;2.100898;0.268119;1.318261;-1.599579;0.259145
121;7.37993;0.000000;0.701410;2.101441;0.269249;1.319416;-1.612522;0.262001
122;7.43994;0.000000;0.703473;2.101979;0.270420;1.320499;-1.625361;0.264821
123;7.49989;0.000000;0.705477;2.102497;0.271662;1.321498;-1.638235;0.267603
124;7.5599;0.000000;0.707469;2.102972;0.272989;1.322421;-1.651063;0.270308
125;7.61984;0.000000;0.709363;2.103456;0.274274;1.323243;-1.664117;0.272923
126;7.67987;0.000000;0.711259;2.103912;0.275616;1.324014;-1.676644;0.276091
127;7.73994;0.000000;0.713070;2.104324;0.276985;1.324639;-1.689525;0.278559
128;7.79997;0.000000;0.714888;2.104690;0.278428;1.325236;-1.702493;0.280867
129;7.85999;0.000000;0.716650;2.105089;0.279892;1.325919;-1.715057;0.283413
130;7.91994;0.000000;0.718355;2.105451;0.281379;1.326421;-1.728058;0.285460
