message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.671333;2.006711;0.226942;1.354904;-1.170146;0.045874
1;0.0599931;0.000000;0.670439;2.008289;0.226266;1.354518;-1.169836;0.048525
2;0.119901;0.000000;0.668546;2.011190;0.224776;1.353275;-1.172021;0.048019
3;0.17999;0.000000;0.667163;2.013786;0.223465;1.352031;-1.173644;0.048981
4;0.23999;0.000000;0.665986;2.016437;0.222198;1.351053;-1.174582;0.050744
5;0.299996;0.000000;0.665054;2.018995;0.221003;1.349852;-1.176165;0.051899
6;0.360016;0.000000;0.664270;2.021559;0.219864;1.348792;-1.177300;0.053409
7;0.419971;0.000000;0.663626;2.024129;0.218784;1.347733;-1.178445;0.054864
8;0.479973;0.000000;0.663139;2.026684;0.217784;1.346568;-1.180063;0.055869
9;0.548003;0.000000;0.662765;2.029110;0.216858;1.345520;-1.181150;0.057266
10;0.607969;0.000000;0.662401;2.031768;0.215919;1.344570;-1.182146;0.058834
11;0.667995;0.000000;0.662185;2.034230;0.215088;1.343465;-1.183541;0.059884
12;0.728001;0.000000;0.662074;2.036656;0.214330;1.342410;-1.184700;0.061178
13;0.787988;0.000000;0.661980;2.039100;0.213642;1.341415;-1.185764;0.062674
14;0.847997;0.000000;0.661891;2.041476;0.213031;1.340318;-1.187108;0.063872
15;0.907996;0.000000;0.661820;2.043855;0.212514;1.339211;-1.188523;0.065029
16;0.967952;0.000000;0.661805;2.046184;0.212004;1.338160;-1.189752;0.066334
17;1.03401;0.000000;0.662028;2.048352;0.211585;1.337107;-1.190806;0.067782
18;1.09395;0.000000;0.662327;2.050603;0.211220;1.336109;-1.191813;0.069257
19;1.154;0.000000;0.662619;2.052760;0.210966;1.334983;-1.193252;0.070330
20;1.21396;0.000000;0.662921;2.054865;0.210734;1.333896;-1.194589;0.071552
21;1.27397;0.000000;0.663232;2.056903;0.210626;1.332898;-1.195693;0.073019
22;1.33397;0.000000;0.663543;2.058913;0.210539;1.331811;-1.197083;0.074169
23;1.39398;0.000000;0.663814;2.060868;0.210458;1.330729;-1.198294;0.075363
24;1.45398;0.000000;0.664050;2.062715;0.210384;1.329663;-1.199460;0.076677
25;1.51399;0.000000;0.664302;2.064539;0.210388;1.328624;-1.200539;0.078087
26;1.57399;0.000000;0.664584;2.066296;0.210688;1.327577;-1.201643;0.079457
27;1.64399;0.000000;0.664841;2.067914;0.211056;1.326475;-1.202891;0.080758
28;1.70399;0.000000;0.665107;2.069644;0.211387;1.325430;-1.204145;0.081890
29;1.76396;0.000000;0.665392;2.071234;0.211791;1.324342;-1.205428;0.083194
30;1.82396;0.000000;0.665649;2.072766;0.212191;1.323271;-1.206684;0.084483
31;1.88995;0.000000;0.665838;2.074207;0.212664;1.322281;-1.207700;0.085955
32;1.95002;0.000000;0.666060;2.075646;0.213194;1.321174;-1.209044;0.087114
33;2.01001;0.000000;0.666251;2.076976;0.213688;1.320094;-1.210222;0.088411
34;2.06997;0.000000;0.666453;2.078270;0.214293;1.319052;-1.211372;0.089697
35;2.12998;0.000000;0.666643;2.079483;0.214868;1.317840;-1.212871;0.090762
36;2.19;0.000000;0.666791;2.080676;0.215542;1.316833;-1.213893;0.092169
37;2.24999;0.000000;0.666936;2.081796;0.216203;1.315813;-1.214978;0.093585
38;2.31;0.000000;0.667060;2.082872;0.216936;1.314733;-1.216253;0.094842
39;2.36999;0.000000;0.667146;2.083876;0.217646;1.313703;-1.217360;0.096239
40;2.42997;0.000000;0.667243;2.084842;0.218433;1.312601;-1.218602;0.097449
41;2.49598;0.000000;0.667359;2.085749;0.219225;1.311508;-1.219851;0.098735
42;2.55594;0.000000;0.667416;2.086636;0.219998;1.310502;-1.220894;0.100125
43;2.62197;0.000000;0.667472;2.087427;0.220824;1.309309;-1.222332;0.101184
