message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.783667;2.078751;0.187172;2.248896;2.177797;0.014349;
1;0.0517523;0.000000;0.783667;2.078751;0.187172;2.248896;2.177797;0.014349;
2;0.111778;0.000000;0.783667;2.078751;0.187172;2.248896;2.177797;0.014349;
3;0.171769;0.000000;0.783681;2.079195;0.187130;2.248711;2.177986;0.014348;
4;0.231637;0.000000;0.783838;2.080892;0.186446;2.248557;2.178143;0.014348;
5;0.291666;0.000000;0.784459;2.083626;0.185394;2.248192;2.178536;0.014370;
6;0.351749;0.000000;0.785202;2.086363;0.184386;2.248163;2.178563;0.014372;
7;0.411677;0.000000;0.785861;2.088953;0.183376;2.248306;2.178415;0.014376;
8;0.471788;0.000000;0.786464;2.091444;0.182401;2.248448;2.178267;0.014379;
9;0.53179;0.000000;0.787053;2.093827;0.181443;2.248613;2.178097;0.014382;
10;0.591741;0.000000;0.787613;2.096230;0.180503;2.248673;2.178034;0.014385;
11;0.651806;0.000000;0.788148;2.098551;0.179567;2.248770;2.177932;0.014388;
12;0.711768;0.000000;0.788670;2.100797;0.178674;2.248858;2.177840;0.014390;
13;0.771755;0.000000;0.789153;2.103003;0.177780;2.248870;2.177827;0.014392;
14;0.831782;0.000000;0.789670;2.105125;0.176921;2.248883;2.177811;0.014394;
15;0.891717;0.000000;0.790123;2.107181;0.176092;2.248936;2.177756;0.014396;
16;0.951779;0.000000;0.790595;2.109196;0.175275;2.248960;2.177730;0.014398;
17;1.01315;0.000000;0.791054;2.111196;0.174457;2.248923;2.177767;0.014400;
18;1.07715;0.000000;0.791532;2.113146;0.173651;2.248962;2.177725;0.014402;
19;1.13176;0.000000;0.791956;2.115046;0.172880;2.248948;2.177738;0.014403;
20;1.19713;0.000000;0.792376;2.116879;0.172133;2.248950;2.177735;0.014405;
21;1.25379;0.000000;0.792783;2.118714;0.171373;2.248963;2.177720;0.014407;
22;1.31373;0.000000;0.793191;2.120507;0.170661;2.248913;2.177771;0.014408;
23;1.37379;0.000000;0.793588;2.122181;0.169955;2.248942;2.177739;0.014409;
24;1.43379;0.000000;0.793991;2.123848;0.169279;2.248948;2.177733;0.014411;
25;1.51578;0.000000;0.794295;2.125298;0.168651;2.249129;2.177545;0.014414;
26;1.57578;0.000000;0.794709;2.127046;0.167937;2.248894;2.177786;0.014413;
27;1.63581;0.000000;0.795087;2.128596;0.167308;2.248920;2.177757;0.014415;
28;1.69586;0.000000;0.795440;2.130077;0.166684;2.248939;2.177737;0.014416;
29;1.75577;0.000000;0.795789;2.131542;0.166066;2.248919;2.177756;0.014417;
30;1.81576;0.000000;0.796126;2.132944;0.165479;2.248938;2.177758;0.014440;
31;1.87573;0.000000;0.796435;2.134358;0.164885;2.248913;2.177783;0.014441;
32;1.93577;0.000000;0.796749;2.135687;0.164320;2.248937;2.177757;0.014443;
33;1.99577;0.000000;0.797081;2.137017;0.163744;2.248925;2.177769;0.014444;
34;2.05566;0.000000;0.797383;2.138322;0.163191;2.248875;2.177820;0.014444;
35;2.11567;0.000000;0.797683;2.139601;0.162608;2.248880;2.177813;0.014445;
36;2.17575;0.000000;0.797958;2.140846;0.162067;2.248918;2.177774;0.014447;
37;2.23577;0.000000;0.798250;2.142040;0.161532;2.248937;2.177753;0.014448;
38;2.29573;0.000000;0.798536;2.143226;0.161003;2.248968;2.177721;0.014449;
39;2.35575;0.000000;0.798810;2.144368;0.160497;2.248910;2.177780;0.014450;
40;2.41568;0.000000;0.799097;2.145460;0.159962;2.248929;2.177760;0.014451;
41;2.47563;0.000000;0.799331;2.146533;0.159529;2.248910;2.177778;0.014452;
42;2.5357;0.000000;0.799579;2.147529;0.159047;2.248978;2.177708;0.014453;
43;2.59568;0.000000;0.799841;2.148526;0.158560;2.248974;2.177712;0.014454;
44;2.65564;0.000000;0.800056;2.149487;0.158133;2.248966;2.177719;0.014455;
45;2.71587;0.000000;0.800274;2.150422;0.157658;2.248955;2.177730;0.014455;
46;2.78066;0.000000;0.800507;2.151375;0.157224;2.248922;2.177763;0.014456;
47;2.83572;0.000000;0.800722;2.152277;0.156826;2.248907;2.177778;0.014456;
48;2.89577;0.000000;0.800942;2.153170;0.156345;2.248891;2.177794;0.014457;
49;2.95573;0.000000;0.801143;2.153984;0.155936;2.248925;2.177758;0.014458;
50;3.0157;0.000000;0.801313;2.154823;0.155563;2.248891;2.177793;0.014458;
51;3.07802;0.000000;0.801510;2.155585;0.155136;2.248919;2.177764;0.014459;
52;3.13709;0.000000;0.801702;2.156365;0.154745;2.248913;2.177769;0.014460;
53;3.20091;0.000000;0.801875;2.157130;0.154358;2.248878;2.177794;0.014425;
54;3.26114;0.000000;0.802039;2.157857;0.153955;2.248890;2.177781;0.014426;
55;3.3158;0.000000;0.802205;2.158549;0.153577;2.248910;2.177761;0.014426;
56;3.3758;0.000000;0.802387;2.159189;0.153227;2.248959;2.177709;0.014427;
57;3.43576;0.000000;0.802539;2.159843;0.152903;2.248961;2.177729;0.014449;
58;3.49576;0.000000;0.802712;2.160518;0.152494;2.248920;2.177771;0.014449;
59;3.55578;0.000000;0.802872;2.161150;0.152163;2.248885;2.177807;0.014449;
60;3.61573;0.000000;0.803013;2.161763;0.151839;2.248908;2.177783;0.014450;
61;3.67575;0.000000;0.803140;2.162358;0.151473;2.248916;2.177774;0.014450;
62;3.73579;0.000000;0.803282;2.162910;0.151107;2.248920;2.177770;0.014451;
63;3.79572;0.000000;0.803401;2.163461;0.150808;2.248912;2.177778;0.014451;
64;3.85562;0.000000;0.803548;2.164014;0.150501;2.248856;2.177835;0.014451;
65;3.9157;0.000000;0.803680;2.164522;0.150159;2.248878;2.177811;0.014452;
66;3.97564;0.000000;0.803793;2.165012;0.149842;2.248922;2.177766;0.014453;
67;4.03567;0.000000;0.803886;2.165536;0.149525;2.248887;2.177802;0.014453;
68;4.09568;0.000000;0.804011;2.166012;0.149265;2.248842;2.177837;0.014418;
69;4.15564;0.000000;0.804120;2.166467;0.148941;2.248918;2.177759;0.014419;
70;4.2157;0.000000;0.804260;2.166907;0.148629;2.248908;2.177769;0.014419;
71;4.27566;0.000000;0.804367;2.167379;0.148300;2.248879;2.177799;0.014419;
72;4.33569;0.000000;0.804480;2.167826;0.148054;2.248858;2.177819;0.014419;
73;4.39575;0.000000;0.804584;2.168207;0.147803;2.248924;2.177774;0.014441;
74;4.45576;0.000000;0.804684;2.168591;0.147480;2.248896;2.177802;0.014441;
75;4.51576;0.000000;0.804774;2.168967;0.147200;2.248903;2.177795;0.014441;
76;4.57572;0.000000;0.804882;2.169352;0.146966;2.248923;2.177774;0.014442;
77;4.63573;0.000000;0.804974;2.169706;0.146710;2.248903;2.177817;0.014462;
78;4.69568;0.000000;0.805042;2.170036;0.146442;2.248869;2.177851;0.014462;
79;4.75716;0.000000;0.805108;2.170331;0.146163;2.248926;2.177792;0.014463;
80;4.81715;0.000000;0.805176;2.170638;0.145941;2.248957;2.177750;0.014428;
81;4.87573;0.000000;0.805264;2.170970;0.145660;2.248911;2.177797;0.014428;
82;4.9357;0.000000;0.805341;2.171283;0.145476;2.248875;2.177833;0.014428;
83;4.99563;0.000000;0.805406;2.171574;0.145197;2.248883;2.177847;0.014449;
84;5.05568;0.000000;0.805486;2.171844;0.144941;2.248890;2.177840;0.014449;
85;5.11567;0.000000;0.805553;2.172098;0.144707;2.248902;2.177816;0.014414;
86;5.1757;0.000000;0.805613;2.172366;0.144469;2.248933;2.177785;0.014415;
87;5.2357;0.000000;0.805663;2.172634;0.144274;2.248916;2.177802;0.014415;
88;5.29567;0.000000;0.805742;2.172895;0.144090;2.248898;2.177821;0.014415;
89;5.35563;0.000000;0.805837;2.173157;0.143792;2.248868;2.177851;0.014415;
90;5.41572;0.000000;0.805896;2.173381;0.143566;2.248917;2.177801;0.014415;
91;5.47564;0.000000;0.805936;2.173604;0.143360;2.248871;2.177847;0.014415;
92;5.53571;0.000000;0.805979;2.173801;0.143184;2.248917;2.177800;0.014416;
