message_number;message_time_s;Ellipse_factor;X;Y;Z;AX;AY;AZ
0;0;0.000000;0.783683;2.078817;0.187209;2.248943;2.177846;0.014822;
1;0.0539492;0.000000;0.783701;2.079115;0.186957;2.248753;2.178041;0.014820;
2;0.113774;0.000000;0.783992;2.080329;0.185517;2.248637;2.178160;0.014820;
3;0.173682;0.000000;0.784820;2.082119;0.183869;2.248330;2.178474;0.014819;
4;0.233874;0.000000;0.785560;2.083708;0.182344;2.248379;2.178424;0.014821;
5;0.293684;0.000000;0.786219;2.085267;0.180788;2.248483;2.178316;0.014823;
6;0.353754;0.000000;0.786899;2.086786;0.179262;2.248618;2.178178;0.014825;
7;0.413912;0.000000;0.787517;2.088205;0.177771;2.248717;2.178076;0.014827;
8;0.474625;0.000000;0.788101;2.089583;0.176346;2.248763;2.178028;0.014828;
9;0.533839;0.000000;0.788675;2.090938;0.174944;2.248830;2.177959;0.014830;
10;0.593685;0.000000;0.789198;2.092261;0.173559;2.248833;2.177956;0.014831;
11;0.653845;0.000000;0.789732;2.093525;0.172198;2.248889;2.177898;0.014832;
12;0.713974;0.000000;0.790220;2.094773;0.170879;2.248907;2.177879;0.014833;
13;0.773794;0.000000;0.790704;2.095929;0.169607;2.248961;2.177823;0.014835;
14;0.833666;0.000000;0.791192;2.097068;0.168347;2.248990;2.177794;0.014836;
15;0.89381;0.000000;0.791676;2.098235;0.167080;2.249033;2.177749;0.014837;
16;0.954081;0.000000;0.792136;2.099385;0.165820;2.249015;2.177767;0.014838;
17;1.01364;0.000000;0.792576;2.100468;0.164631;2.248989;2.177794;0.014838;
18;1.07364;0.000000;0.793001;2.101509;0.163471;2.248958;2.177825;0.014839;
19;1.13365;0.000000;0.793430;2.102525;0.162306;2.249007;2.177775;0.014840;
20;1.19365;0.000000;0.793857;2.103516;0.161152;2.248981;2.177801;0.014840;
21;1.25365;0.000000;0.794216;2.104457;0.160040;2.248985;2.177797;0.014841;
22;1.31368;0.000000;0.794601;2.105380;0.158934;2.248976;2.177806;0.014842;
