message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783714;2.078812;0.187208;-0.086591;3.127100;1.516333;
1;0.0516209;0.000000;0.783714;2.078812;0.187208;-0.086591;3.127100;1.516333;
2;0.111694;0.000000;0.783734;2.079291;0.187202;-0.086582;3.127099;1.516253;
3;0.171637;0.000000;0.783808;2.081119;0.187045;-0.086546;3.127099;1.516108;
4;0.231663;0.000000;0.784267;2.084105;0.186394;-0.085079;3.127099;1.517173;
5;0.291649;0.000000;0.784835;2.087181;0.185774;-0.085019;3.127097;1.517200;
6;0.351622;0.000000;0.785278;2.089937;0.185254;-0.084966;3.127096;1.517468;
7;0.41164;0.000000;0.785607;2.092688;0.184799;-0.084912;3.127095;1.517616;
8;0.471685;0.000000;0.786336;2.095402;0.184257;-0.084858;3.127094;1.517748;
9;0.531606;0.000000;0.786816;2.098063;0.183767;-0.084806;3.127093;1.517906;
10;0.591739;0.000000;0.787191;2.100685;0.183335;-0.084754;3.127092;1.518070;
11;0.651747;0.000000;0.787617;2.103256;0.182862;-0.084703;3.127091;1.518151;
12;0.711651;0.000000;0.788009;2.105711;0.182460;-0.084654;3.127090;1.518249;
13;0.771626;0.000000;0.788410;2.108115;0.182004;-0.084606;3.127090;1.518351;
14;0.836673;0.000000;0.788772;2.110505;0.181577;-0.084558;3.127089;1.518419;
15;0.899772;0.000000;0.789132;2.112725;0.181180;-0.084514;3.127088;1.518574;
16;0.959704;0.000000;0.789499;2.114946;0.180789;-0.084469;3.127087;1.518511;
17;1.01969;0.000000;0.789848;2.117101;0.180367;-0.084426;3.127086;1.518560;
18;1.07967;0.000000;0.790163;2.119257;0.180005;-0.084382;3.127085;1.518532;
19;1.13977;0.000000;0.790539;2.121381;0.179643;-0.084339;3.127085;1.518576;
20;1.20641;0.000000;0.790878;2.123386;0.179262;-0.084299;3.127084;1.518638;
21;1.25972;0.000000;0.791219;2.125298;0.178966;-0.084260;3.127083;1.518698;
22;1.31972;0.000000;0.791540;2.127185;0.178644;-0.084222;3.127083;1.518765;
23;1.37976;0.000000;0.791808;2.129046;0.178347;-0.084184;3.127082;1.518808;
24;1.4464;0.000000;0.792159;2.130877;0.177978;-0.084146;3.127081;1.518847;
25;1.50175;0.000000;0.792434;2.132629;0.177710;-0.084110;3.127081;1.518897;
26;1.56172;0.000000;0.792704;2.134343;0.177464;-0.085574;3.127090;1.517412;
27;1.62196;0.000000;0.792995;2.136037;0.177189;-0.085541;3.127089;1.517442;
28;1.68238;0.000000;0.793304;2.137717;0.176867;-0.085507;3.127089;1.517405;
29;1.74184;0.000000;0.793586;2.139362;0.176640;-0.085475;3.127088;1.517397;
30;1.80176;0.000000;0.793837;2.140973;0.176353;-0.085443;3.127087;1.517515;
31;1.8618;0.000000;0.794104;2.142542;0.176144;-0.085411;3.127087;1.517551;
