message_number;message_time_s;ellipse_factor;prev_real_position_0_0;prev_real_position_0_1;prev_real_position_0_2;prev_real_position_0_3;prev_real_position_1_0;prev_real_position_1_1;prev_real_position_1_2;prev_real_position_1_3;prev_real_position_2_0;prev_real_position_2_1;prev_real_position_2_2;prev_real_position_2_3;np_0_0;np_0_1;np_0_2;np_0_3;np_1_0;np_1_1;np_1_2;np_1_3;np_2_0;np_2_1;np_2_2;np_2_3;velocity_0;velocity_1;velocity_2;acceleration_0;acceleration_1;acceleration_2;angular_velocity_0;angular_velocity_1;angular_velocity_2;angular_acceleration_0;angular_acceleration_1;angular_acceleration_2;
12;0.721829;0.991144;0.031294;0.999178;0.025768;0.783455;0.998081;-0.032617;0.052639;2.068494;0.053436;0.024071;-0.998281;0.187102;0.030768;0.999140;0.027782;0.783375;0.997488;-0.032468;0.062954;2.067557;0.063802;0.025775;-0.997630;0.187001;-0.014033;0.000000;-0.000000;0.001173;0.000000;0.000000;-0.026332;0.153758;0.000000;-0.033263;0.197214;0.000000;
13;0.781857;0.990374;0.030982;0.999140;0.027547;0.783379;0.997561;-0.032634;0.061703;2.067682;0.062549;0.025568;-0.997714;0.187065;0.030482;0.999091;0.029785;0.783350;0.996814;-0.032583;0.072806;2.066721;0.073710;0.027470;-0.996901;0.186948;-0.013963;0.000000;-0.000000;0.001167;0.000000;0.000000;-0.028333;0.165590;0.000000;-0.033338;0.197202;0.000000;
14;0.841855;0.990445;0.030688;0.999092;0.029568;0.783371;0.996898;-0.032739;0.071573;2.066903;0.072476;0.027279;-0.996997;0.186966;0.030154;0.999035;0.031925;0.783324;0.995983;-0.032725;0.083354;2.065890;0.084318;0.029283;-0.996009;0.186887;-0.013893;0.000000;-0.000000;0.001161;0.000000;0.000000;-0.030319;0.177425;0.000000;-0.033109;0.197240;0.000000;
15;0.901753;0.986372;0.030334;0.999035;0.031759;0.783355;0.996090;-0.032852;0.082003;2.066039;0.082967;0.029147;-0.996126;0.186942;0.029778;0.998971;0.034202;0.783299;0.994972;-0.032898;0.094594;2.065064;0.095622;0.031214;-0.994928;0.186817;-0.013824;0.000000;-0.000000;0.001154;0.000000;0.000000;-0.032321;0.189257;0.000000;-0.033359;0.197198;0.000000;
16;0.961753;0.991568;0.029833;0.998977;0.033992;0.783329;0.995104;-0.032889;0.093205;2.065236;0.094227;0.031045;-0.995067;0.186877;0.029351;0.998898;0.036618;0.783275;0.993759;-0.033105;0.106523;2.064243;0.107618;0.033263;-0.993636;0.186738;-0.013755;0.000000;-0.000000;0.001147;0.000000;0.000000;-0.034354;0.201083;0.000000;-0.033878;0.197110;0.000000;
17;1.02171;0.988989;0.029400;0.998904;0.036416;0.783301;0.993924;-0.033080;0.104977;2.064342;0.106066;0.033108;-0.993808;0.186782;0.028867;0.998815;0.039177;0.783251;0.992318;-0.033352;0.119135;2.063427;0.120301;0.035437;-0.992105;0.186649;-0.013687;0.000000;-0.000000;0.001141;0.000000;0.000000;-0.036491;0.212892;0.000000;-0.035620;0.196802;0.000000;
18;1.0818;0.990558;0.028908;0.998825;0.038893;0.783261;0.992530;-0.033296;0.117368;2.063523;0.118525;0.035209;-0.992327;0.186703;0.028320;0.998721;0.041879;0.783227;0.990622;-0.033644;0.132425;2.062616;0.133664;0.037736;-0.990308;0.186551;-0.013619;0.000000;-0.000000;0.001133;0.000000;0.000000;-0.038653;0.224695;0.000000;-0.036037;0.196727;0.000000;
19;1.14166;0.990558;0.028341;0.998735;0.041547;0.783231;0.990864;-0.033552;0.130625;2.062731;0.131853;0.037465;-0.990561;0.186574;0.027706;0.998615;0.044722;0.783204;0.988644;-0.033985;0.146385;2.061810;0.147702;0.040158;-0.988216;0.186442;-0.013551;0.000000;-0.000000;0.001126;0.000000;0.000000;-0.040815;0.236499;0.000000;-0.036037;0.196727;0.000000;
20;1.20182;0.992566;0.027734;0.998628;0.044416;0.783244;0.988925;-0.033891;0.144493;2.061950;0.145800;0.039917;-0.988509;0.186513;0.027017;0.998496;0.047709;0.783181;0.986354;-0.034382;0.161008;2.061010;0.162406;0.042708;-0.985799;0.186323;-0.013484;0.000000;-0.000000;0.001119;0.000000;0.000000;-0.043053;0.248288;0.000000;-0.037292;0.196493;0.000000;
21;1.26172;0.994956;0.027075;0.998511;0.047363;0.783186;0.986670;-0.034299;0.159076;2.061104;0.160464;0.042425;-0.986130;0.186355;0.026249;0.998360;0.050871;0.783160;0.983724;-0.034846;0.176277;2.060216;0.177761;0.045416;-0.983025;0.186192;-0.013418;0.000000;-0.000000;0.001111;0.000000;0.000000;-0.045848;0.259958;0.000000;-0.046587;0.194498;0.000000;
