message_number;message_time_s;Ellipse_factor;X;Y;Z;alfa;beta;gamma
0;0;0.000000;0.783714;2.078812;0.187214;-0.086591;3.127100;1.516333;
1;0.0530534;0.000000;0.783714;2.078812;0.187214;-0.086591;3.127100;1.516333;
2;0.112358;0.000000;0.783734;2.079299;0.187214;-0.086582;3.127099;1.516374;
3;0.171789;0.000000;0.783791;2.081162;0.187213;-0.086545;3.127099;1.516222;
4;0.231761;0.000000;0.783873;2.083957;0.187212;-0.086491;3.127097;1.515886;
5;0.291735;0.000000;0.783991;2.086562;0.187211;-0.086440;3.127096;1.515960;
6;0.351759;0.000000;0.784276;2.089102;0.187219;-0.084982;3.127097;1.517510;
7;0.41172;0.000000;0.784552;2.091509;0.187239;-0.084935;3.127096;1.517690;
8;0.471732;0.000000;0.784803;2.093841;0.187270;-0.084889;3.127095;1.517838;
9;0.531819;0.000000;0.785040;2.096251;0.187337;-0.084842;3.127094;1.517888;
10;0.591933;0.000000;0.785260;2.098483;0.187404;-0.084798;3.127093;1.518023;
11;0.652969;0.000000;0.785458;2.100631;0.187464;-0.084755;3.127092;1.518148;
12;0.711748;0.000000;0.785642;2.102737;0.187549;-0.084713;3.127092;1.518191;
13;0.77178;0.000000;0.785841;2.104732;0.187615;-0.084674;3.127091;1.518274;
14;0.831739;0.000000;0.786002;2.106668;0.187657;-0.084635;3.127090;1.518350;
15;0.895985;0.000000;0.786131;2.108613;0.187711;-0.084596;3.127089;1.518383;
16;0.951771;0.000000;0.786312;2.110534;0.187789;-0.084558;3.127089;1.518424;
17;1.01602;0.000000;0.786494;2.112412;0.187849;-0.084520;3.127088;1.518448;
18;1.07177;0.000000;0.786664;2.114308;0.187903;-0.084482;3.127087;1.518443;
19;1.13172;0.000000;0.786809;2.116085;0.188005;-0.084446;3.127087;1.518509;
20;1.19172;0.000000;0.786897;2.117811;0.188166;-0.084411;3.127086;1.518535;
21;1.25182;0.000000;0.787073;2.119495;0.188274;-0.084377;3.127085;1.518567;
22;1.31174;0.000000;0.787322;2.121138;0.188323;-0.084343;3.127085;1.518594;
23;1.37175;0.000000;0.787446;2.122660;0.188442;-0.084312;3.127084;1.518671;
24;1.43173;0.000000;0.787573;2.124182;0.188664;-0.084281;3.127084;1.518693;
25;1.4917;0.000000;0.787728;2.125689;0.188795;-0.084251;3.127083;1.518724;
26;1.5517;0.000000;0.787861;2.127170;0.188945;-0.084220;3.127083;1.518751;
27;1.61171;0.000000;0.787989;2.128582;0.189052;-0.084191;3.127082;1.518825;
28;1.67171;0.000000;0.788118;2.129961;0.189220;-0.084163;3.127082;1.518839;
29;1.73172;0.000000;0.788248;2.131288;0.189387;-0.084136;3.127081;1.518847;
30;1.79169;0.000000;0.788377;2.132574;0.189506;-0.084109;3.127081;1.518882;
31;1.85172;0.000000;0.788504;2.133880;0.189665;-0.085581;3.127090;1.517389;
32;1.91169;0.000000;0.788628;2.135140;0.189887;-0.085556;3.127089;1.517398;
33;1.97172;0.000000;0.788747;2.136409;0.190036;-0.085531;3.127089;1.517398;
34;2.03176;0.000000;0.788900;2.137611;0.190197;-0.085507;3.127089;1.517388;
35;2.09173;0.000000;0.789012;2.138752;0.190334;-0.085484;3.127088;1.517414;
36;2.15175;0.000000;0.789095;2.139849;0.190507;-0.085462;3.127088;1.517479;
37;2.21169;0.000000;0.789206;2.140913;0.190698;-0.085441;3.127087;1.517539;
38;2.27177;0.000000;0.789317;2.141969;0.190877;-0.085419;3.127087;1.517532;
39;2.33173;0.000000;0.789432;2.142999;0.191026;-0.085399;3.127086;1.517599;
40;2.39175;0.000000;0.789553;2.144056;0.191211;-0.085378;3.127086;1.517560;
41;2.45172;0.000000;0.789654;2.145035;0.191390;-0.085358;3.127086;1.517565;
42;2.51174;0.000000;0.789774;2.145981;0.191551;-0.085339;3.127085;1.517621;
43;2.57173;0.000000;0.789871;2.146925;0.191706;-0.085320;3.127085;1.517676;
44;2.63175;0.000000;0.789972;2.147836;0.191927;-0.085301;3.127085;1.517662;
45;2.69174;0.000000;0.790078;2.148661;0.192070;-0.085285;3.127084;1.517713;
46;2.75176;0.000000;0.790192;2.149530;0.192273;-0.085267;3.127084;1.517705;
47;2.81191;0.000000;0.790269;2.150372;0.192463;-0.085250;3.127084;1.517703;
48;2.87187;0.000000;0.790370;2.151224;0.192648;-0.085233;3.127083;1.517703;
49;2.93186;0.000000;0.790462;2.152014;0.192815;-0.085217;3.127083;1.517717;
50;2.99185;0.000000;0.790536;2.152813;0.192970;-0.085201;3.127083;1.517732;
51;3.05172;0.000000;0.790642;2.153536;0.193137;-0.085186;3.127082;1.517781;
52;3.1119;0.000000;0.790725;2.154276;0.193327;-0.085171;3.127082;1.517788;
53;3.17186;0.000000;0.790802;2.154989;0.193470;-0.085157;3.127082;1.517770;
